rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/iterations,time/fps,time/time_elapsed,train/loss,train/clip_range,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/explained_variance,train/entropy_loss,train/approx_kl,train/n_updates,train/clip_fraction
30.266600000000004,1847544,298.99,1,219,4,,,,,,,,,,
30.267499999999995,1848568,298.58,2,149,13,0.30834871530532837,0.2,-0.006831351027358323,0.0001,0.7770585939288139,0.8692038059234619,-0.3372254092246294,0.013737861,7199,0.06298828125
30.267899999999994,1849592,298.47,3,141,21,0.005491336807608604,0.2,-0.005669853475410491,0.0001,0.051270760712213814,0.993560791015625,-0.5041575543582439,0.0030340801,7203,0.010498046875
30.4467,1850616,300.66,4,135,30,-0.0018759099766612053,0.2,-0.008298014756292105,0.0001,0.03193858475424349,0.9958807826042175,-0.4997433628886938,0.007081379,7207,0.043212890625
30.4463,1851640,300.43,5,132,38,0.012389986775815487,0.2,-0.006802573974709958,0.0001,0.09885660000145435,0.9865365624427795,-0.5833491571247578,0.0059088143,7211,0.030517578125
30.4475,1852664,299.75,6,127,48,0.0006786733865737915,0.2,-0.005192552067455836,0.0001,0.050313391257077456,0.9940690398216248,-0.5305054187774658,0.0044468376,7215,0.03515625
30.3724,1853688,301.01,7,128,55,0.015925340354442596,0.2,-0.005294753413181752,0.0001,0.07643287256360054,0.9909844994544983,-0.5729322545230389,0.005690827,7219,0.036865234375
30.3733,1854712,300.8,8,128,63,0.031131640076637268,0.2,-0.009337253693956882,0.0001,0.1993582989089191,0.9693532586097717,-0.5810500383377075,0.011336259,7223,0.054443359375
30.302700000000005,1855736,300.26,9,128,71,-0.009576965123414993,0.2,-0.007472407654859126,0.0001,0.03670407348545268,0.9947298765182495,-0.5248337909579277,0.0052515133,7227,0.030517578125
30.302000000000003,1856760,300.6,10,126,80,0.03324713185429573,0.2,-0.00566353986505419,0.0001,0.11762213008478284,0.9834529757499695,-0.4742218628525734,0.00810576,7231,0.04443359375
30.2175,1857784,300.17,11,120,93,-0.01326385885477066,0.2,-0.007602608617162332,0.0001,0.052226771716959774,0.994552731513977,-0.5689197964966297,0.007903935,7235,0.0361328125
30.217,1858808,300.2,12,118,103,0.0660022422671318,0.2,-0.007654164626728743,0.0001,0.18256560154259205,0.9756948947906494,-0.4634376969188452,0.008266144,7239,0.03515625
30.2139,1859832,302.03,13,117,112,0.01774490252137184,0.2,-0.0064857229590415955,0.0001,0.08483582292683423,0.9890091419219971,-0.5170022826641798,0.0057333224,7243,0.025634765625
30.034900000000004,1860856,300.0,14,116,122,-0.005373882129788399,0.2,-0.008988880697870627,0.0001,0.052822466124780476,0.9942793250083923,-0.6120091415941715,0.0060696914,7247,0.037353515625
29.9639,1861880,300.37,15,116,131,0.1745721399784088,0.2,-0.002681840618606657,0.0001,0.5001587867736816,0.9466418027877808,-0.480003222823143,0.0037378464,7251,0.02490234375
29.9634,1862904,300.97,16,114,143,0.11722423136234283,0.2,-0.006229773280210793,0.0001,0.23145883716642857,0.9705222249031067,-0.5355234760791063,0.008968931,7255,0.0625
29.9625,1863928,301.3,17,114,152,0.00342637300491333,0.2,-0.004918712831567973,0.0001,0.05072044301778078,0.9933460354804993,-0.5405261889100075,0.0041283346,7259,0.03857421875
29.820400000000003,1864952,301.29,18,114,161,0.07583515346050262,0.2,-0.010525186013962542,0.0001,0.21761978843382426,0.9663307070732117,-0.502580036010061,0.03689921,7263,0.03264508928571429
29.6826,1865976,299.95,19,113,171,0.13034023344516754,0.2,-0.0014436767232837155,0.0001,0.4263284020125866,0.9616939425468445,-0.5844912193715572,0.004782617,7267,0.019775390625
29.445300000000003,1867000,298.38,20,113,180,0.2033255398273468,0.2,-0.0034875042329076678,0.0001,0.4341733157634735,0.9464616775512695,-0.5876896753907204,0.0041279327,7271,0.015380859375
29.0515,1868024,296.57,21,113,189,0.3373948931694031,0.2,-0.005750330863520503,0.0001,0.7192898895591497,0.8647328615188599,-0.48569460585713387,0.0056064064,7275,0.020263671875
29.00859999999999,1869048,295.87,22,113,198,0.17923538386821747,0.2,-0.0036253936123102903,0.0001,0.8207887653261423,0.8846117854118347,-0.5095229707658291,0.005727927,7279,0.029052734375
29.008499999999998,1870072,295.73,23,113,207,0.01897335983812809,0.2,-0.007500907377107069,0.0001,0.15780731104314327,0.9815861582756042,-0.6247671134769917,0.0037775142,7283,0.019287109375
