decision,raw_frames,x,y,max_x,action,action_name,prob_0,prob_1,prob_2,prob_3,prob_4,action_entropy_nats,native_reward,native_reward_sum,no_progress_decisions,life,game_time,flag_get,terminated,truncated,game_score,score_gain,coins,one_ups,custom_one_up_bonus,augmented_score_gain,flag_height_bonus,flag_touch_y,flag_score_tier,flag_top_tier,post_flag_frames,flag_resolution_complete,flag_resolution_status,objective_reward,objective_reward_sum
1,4,40,79,40,3,right+B,0.11526592075824738,0.36135390400886536,0.1551409214735031,0.22919858992099762,0.1390407383441925,1.5179213285446167,0.0,0.0,1,2,400,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
2,8,42,93,42,2,right+A,0.11522582173347473,0.36126139760017395,0.15531666576862335,0.2290334552526474,0.13916271924972534,1.5180649757385254,2.0,2.0,0,2,400,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
3,12,45,109,45,2,right+A,0.11519580334424973,0.36313068866729736,0.15475675463676453,0.22725340723991394,0.13966339826583862,1.517210841178894,3.0,5.0,0,2,400,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
4,16,49,121,49,0,NOOP,0.11619717627763748,0.36326566338539124,0.15815015137195587,0.21888820827007294,0.14349880814552307,1.520749568939209,4.0,9.0,0,2,400,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
5,20,53,122,53,4,right+A+B,0.11550728976726532,0.36298707127571106,0.15650030970573425,0.22342704236507416,0.1415783017873764,1.5190361738204956,3.0,12.0,0,2,399,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
6,24,58,113,58,4,right+A+B,0.1156151294708252,0.3634931147098541,0.15484663844108582,0.22547948360443115,0.1405656933784485,1.5177886486053467,5.0,17.0,0,2,399,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
7,28,65,94,65,1,right,0.11555615812540054,0.36375802755355835,0.15452541410923004,0.22465065121650696,0.1415097862482071,1.5179433822631836,7.0,24.0,0,2,399,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
8,32,71,79,71,2,right+A,0.11490335315465927,0.36366987228393555,0.1535278856754303,0.229217991232872,0.1386808454990387,1.5157912969589233,6.0,30.0,0,2,399,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
9,36,78,79,78,1,right,0.11509443819522858,0.3631373643875122,0.1543540507555008,0.22795702517032623,0.13945713639259338,1.5168819427490234,7.0,37.0,0,2,399,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
10,40,86,79,86,3,right+B,0.11510401219129562,0.3636050224304199,0.1571086347103119,0.22380198538303375,0.14038033783435822,1.5181324481964111,7.0,44.0,0,2,398,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
