time/iterations,time/total_timesteps,time/fps,time/time_elapsed,train/policy_gradient_loss,train/clip_range,rollout/ep_len_mean,train/explained_variance,train/entropy_loss,rollout/ep_rew_mean,train/approx_kl,train/value_loss,train/loss,train/learning_rate,train/clip_fraction,train/n_updates
1,2421748,300,3,,,,,,,,,,,,
2,2422772,210,9,-0.001093998784199357,0.2,277.75,0.9757580161094666,-0.15050643682479858,25.600625,0.00022487057,0.037371674668975174,0.017575295642018318,1e-05,0.00048828125,9439
3,2423796,191,16,-0.001931846869410947,0.2,238.5,0.9877145290374756,-0.17110321018844843,21.943,0.00053699303,0.02883870422374457,0.006895553320646286,1e-05,0.001220703125,9443
4,2424820,184,22,-0.000768740545026958,0.2,246.92857142857142,0.7609298825263977,-0.16503273509442806,22.99178571428572,0.00043913175,0.750141091644764,0.40857115387916565,1e-05,0.001220703125,9447
5,2425844,179,28,-0.0006777966918889433,0.2,251.61111111111111,0.9876112341880798,-0.1541517013683915,23.642500000000002,8.20799e-05,0.030080696335062385,0.010453139431774616,1e-05,0.000244140625,9451
6,2426868,176,34,-0.00033393429475836456,0.2,254.5909090909091,0.9940815567970276,-0.1513815801590681,24.056590909090914,5.6241406e-05,0.012196970521472394,0.0024494570679962635,1e-05,0.0,9455
7,2427892,174,41,-0.00021699577337130904,0.2,256.65384615384613,0.9956656694412231,-0.15018313750624657,24.34326923076923,4.677626e-05,0.00926759306457825,0.002858443884178996,1e-05,0.0,9459
8,2428916,173,47,-0.0005889605381526053,0.2,258.1666666666667,0.9970678091049194,-0.14826653990894556,24.553499999999993,9.47683e-05,0.006276228639762849,0.00022316724061965942,1e-05,0.0,9463
9,2429940,172,53,-0.0007839110039640218,0.2,260.38235294117646,0.9978666305541992,-0.15309514570981264,24.677647058823528,0.00023166463,0.0044614220096264035,-0.0012750973692163825,1e-05,0.00048828125,9467
10,2430964,171,59,-0.002164368939702399,0.2,261.1842105263158,0.9927895069122314,-0.17970178462564945,24.808421052631573,0.00050666375,0.0200328923529014,0.004634261131286621,1e-05,0.001708984375,9471
11,2431988,170,65,-0.0006364916334860027,0.2,261.8333333333333,0.9986071586608887,-0.14795874431729317,24.914285714285718,0.00028196757,0.0031225430575432256,0.0013675243826583028,1e-05,0.0009765625,9475
12,2433012,170,72,-0.0009473168756812811,0.2,262.3695652173913,0.998820960521698,-0.14822228252887726,25.001739130434792,0.0004318006,0.0025363757740706205,-0.005863221362233162,1e-05,0.001708984375,9479
13,2434036,170,78,-0.0010034510778496042,0.2,262.82,0.9990149140357971,-0.15030658710747957,25.075200000000006,0.0004175186,0.002120810306223575,-0.00494702672585845,1e-05,0.0009765625,9483
14,2435060,169,84,-0.000709491316229105,0.2,263.0192307692308,0.9992401599884033,-0.1525479545816779,25.107692307692314,0.00031536404,0.0018048977144644596,-0.0018654376035556197,1e-05,0.0009765625,9487
15,2436084,169,90,-0.0006453754904214293,0.2,263.57142857142856,0.9992526769638062,-0.150919446721673,25.14504464285715,0.0003890936,0.0015704659963375889,-0.0015318556688725948,1e-05,0.001220703125,9491
16,2437108,169,96,-0.003576948627596721,0.2,263.79661016949154,0.9954813718795776,-0.15061660669744015,25.184449152542385,0.0008880067,0.010911883175140247,0.004443668760359287,1e-05,0.00439453125,9495
17,2438132,169,102,-0.0014105153386481106,0.2,264.06349206349205,0.9992232918739319,-0.14441387774422765,25.23115079365081,0.00078672374,0.0017490003519924358,0.0008524472359567881,1e-05,0.0048828125,9499
18,2439156,168,109,-0.000995098118437454,0.2,261.82089552238807,0.9957584738731384,-0.14666576497256756,24.98526119402986,0.00012834003,0.009179207583656535,0.0008139265701174736,1e-05,0.000244140625,9503
19,2440180,168,115,-0.001477933197747916,0.2,262.16901408450707,0.8341742753982544,-0.15202195942401886,25.037922535211283,0.0001655725,0.4428188973106444,0.2627314329147339,1e-05,0.000244140625,9507
20,2441204,168,121,-0.0007636542432010174,0.2,262.48,0.9986335039138794,-0.145951590500772,25.084966666666677,0.00032445183,0.003956626809667796,-0.0008870363235473633,1e-05,0.001220703125,9511
21,2442228,168,127,-0.002710925735300407,0.2,262.75949367088606,0.9991551637649536,-0.15177643671631813,25.12683544303799,0.0010436738,0.002177460824896116,-0.005733177065849304,1e-05,0.00390625,9515
22,2443252,168,133,-0.000654669915093109,0.2,263.0120481927711,0.9993463754653931,-0.14554427471011877,25.164668674698806,0.0003313037,0.0019233170751249418,0.0003252534079365432,1e-05,0.0,9519
23,2444276,168,140,-0.0012183810176793486,0.2,263.2413793103448,0.9993882775306702,-0.15028968453407288,25.199396551724153,0.00036692584,0.0016004405551939271,-0.0033514280803501606,1e-05,0.001220703125,9523
24,2445300,167,146,-0.0019200403767172247,0.2,263.9010989010989,0.9992186427116394,-0.14315168280154467,25.217032967032978,0.0004959351,0.0021319816005416214,-0.002769937738776207,1e-05,0.00244140625,9527
25,2446324,167,152,-0.001982693502213806,0.2,264.0736842105263,0.9938764572143555,-0.16910529881715775,25.24663157894738,0.00043344114,0.019596813479438424,0.002608709968626499,1e-05,0.001220703125,9531
26,2447348,167,158,-0.0010365962225478142,0.2,264.2323232323232,0.9994341731071472,-0.14122121687978506,25.26222222222223,0.00039879844,0.001604698525625281,-0.004415963310748339,1e-05,0.00146484375,9535
27,2448372,167,164,-0.0030612816335633397,0.2,264.27,0.9959331154823303,-0.14316378720104694,25.26880000000001,0.00039920543,0.011074901151005179,-0.0047607095912098885,1e-05,0.0009765625,9539
28,2449396,167,170,-0.0008895135833881795,0.2,263.88,0.9995346665382385,-0.14509988483041525,25.281900000000014,0.00038127357,0.0013810011369059794,-0.0019454576540738344,1e-05,0.0009765625,9543
29,2450420,167,177,-0.0017403902020305395,0.2,267.22,0.9995521903038025,-0.1425716821104288,25.666500000000013,0.0006263949,0.001001833672489738,-0.003470465773716569,1e-05,0.00341796875,9547
30,2451444,167,183,-0.0011963675206061453,0.2,267.34,0.9997077584266663,-0.14393647061660886,25.671025000000007,0.0002418934,0.0007235609300551005,-0.002392990281805396,1e-05,0.001708984375,9551
31,2452468,167,189,-0.0024916063848650083,0.2,267.34,0.997001588344574,-0.1556061329320073,25.660525000000007,0.0004103959,0.008209024526877329,0.0002710237167775631,1e-05,0.001220703125,9555
32,2453492,167,195,-0.0021325350389815867,0.2,267.34,0.9966131448745728,-0.137982620857656,25.66052500000001,0.00036291557,0.008798473165370524,-0.004363037645816803,1e-05,0.000732421875,9559
33,2454516,167,201,-0.0008069336035987362,0.2,267.34,0.9995497465133667,-0.13765895972028375,25.66052500000001,0.00013211317,0.0011871977840200998,-0.0010307993507012725,1e-05,0.00048828125,9563
