elapsed_seconds,timesteps,return,length,max_x,completed
0.32,102512,251.0,28,314,0
0.408,102544,236.0,36,300,0
0.408,102544,238.0,36,296,0
0.74,102664,250.0,30,313,0
0.98,102752,605.0,88,679,0
1.388,102900,642.0,89,708,0
1.399,102904,235.0,38,298,0
1.596,102976,627.0,78,699,0
1.708,103016,254.0,29,309,0
2.06,103144,1045.0,158,1131,0
2.114,103164,236.0,37,300,0
2.223,103204,654.0,75,723,0
2.539,103320,249.0,29,312,0
5.823,103616,623.0,118,697,0
5.955,103664,1325.0,172,1414,0
6.21,103740,244.0,31,307,0
6.935,103996,617.0,64,680,0
7.335,104136,239.0,35,302,0
7.55,104212,1865.0,262,1962,0
7.561,104216,1030.0,224,1128,0
7.907,104340,245.0,31,308,0
10.633,104452,1143.0,197,1236,0
10.771,104500,619.0,91,695,0
11.177,104624,627.0,103,705,0
11.614,104772,234.0,37,298,0
11.647,104784,650.0,83,709,0
11.91,104876,802.0,134,883,0
12.654,105140,610.0,66,680,0
16.051,105480,796.0,245,899,0
16.096,105496,1143.0,181,1234,0
16.228,105544,1040.0,190,1131,0
16.582,105668,251.0,31,307,0
17.111,105856,1449.0,179,1528,0
17.268,105908,608.0,60,676,0
17.594,106020,251.0,28,314,0
17.75,106076,766.0,145,852,0
18.449,106324,646.0,76,710,0
18.768,106436,1329.0,239,1433,0
18.847,106464,608.0,97,685,0
22.035,106720,630.0,71,702,0
22.414,106848,244.0,32,308,0
22.874,107004,1050.0,170,1136,0
22.944,107028,1304.0,293,1415,0
23.211,107120,256.0,29,312,0
23.505,107224,659.0,94,724,0
23.526,107232,1338.0,192,1434,0
23.982,107392,618.0,91,693,0
24.257,107488,606.0,92,681,0
26.922,107576,743.0,88,810,0
27.514,107780,618.0,97,687,0
27.585,107804,662.0,79,724,0
27.689,107840,1051.0,152,1127,0
28.059,107968,245.0,32,301,0
28.46,108104,639.0,81,712,0
28.607,108156,642.0,88,709,0
29.068,108320,1354.0,186,1440,0
