decision,raw_frames,x,y,max_x,action,action_name,prob_0,prob_1,prob_2,prob_3,prob_4,action_entropy_nats,native_reward,native_reward_sum,no_progress_decisions,life,game_time,flag_get,terminated,truncated
12,48,101,79,101,4,right+A+B,0.0009242238011211157,0.001522580161690712,0.29332736134529114,0.14687994122505188,0.5573458671569824,0.9836341738700867,8.0,59.0,0,2,398,0,0,0
13,52,111,79,111,4,right+A+B,0.0010835364228114486,0.0017472096951678395,0.29687196016311646,0.14881640672683716,0.5514808893203735,0.9907439947128296,10.0,69.0,0,2,398,0,0,0
14,56,122,79,122,4,right+A+B,0.001093144528567791,0.0018025124445557594,0.29554077982902527,0.15187551081180573,0.5496881008148193,0.9942668676376343,11.0,80.0,0,2,398,0,0,0
15,60,134,79,134,2,right+A,0.001147812232375145,0.001900884904898703,0.29856765270233154,0.16700498759746552,0.5313786268234253,1.0154509544372559,11.0,91.0,0,2,397,0,0,0
16,64,146,79,146,3,right+B,0.0011961495038121939,0.002060660859569907,0.3028128445148468,0.18958906829357147,0.5043413043022156,1.0430352687835693,12.0,103.0,0,2,397,0,0,0
17,68,158,79,158,3,right+B,0.001353779574856162,0.0023409556597471237,0.3167501389980316,0.19705785810947418,0.4824972152709961,1.0589776039123535,12.0,115.0,0,2,397,0,0,0
18,72,170,97,170,4,right+A+B,0.0013348207576200366,0.0023963514249771833,0.32383841276168823,0.22265958786010742,0.44977080821990967,1.0822594165802002,12.0,127.0,0,2,397,0,0,0
19,76,182,115,182,3,right+B,0.0013762923190370202,0.0024737929925322533,0.3298291862010956,0.24033169448375702,0.4259890913963318,1.095918893814087,12.0,139.0,0,2,397,0,0,0
20,80,194,121,194,2,right+A,0.0015205596573650837,0.0028684288263320923,0.32084792852401733,0.24751268327236176,0.4272504150867462,1.1003220081329346,11.0,150.0,0,2,396,0,0,0
21,84,206,114,206,4,right+A+B,0.0011996582616120577,0.0022583170793950558,0.3162638247013092,0.18883726000785828,0.49144095182418823,1.0497982501983643,12.0,162.0,0,2,396,0,0,0
22,88,218,94,218,2,right+A,0.0008933644276112318,0.0017141248099505901,0.33887824416160583,0.1426849514245987,0.5158293843269348,1.0031864643096924,12.0,174.0,0,2,396,0,0,0
