rollout/ep_rew_mean,time/iterations,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,train/clip_range,train/policy_gradient_loss,train/learning_rate,train/n_updates,train/entropy_loss,train/approx_kl,train/clip_fraction,train/explained_variance,train/value_loss,train/loss
27.806800000000003,1,320,3,1548264,304.29,,,,,,,,,,
27.9973,2,228,8,1549288,305.99,0.2,-0.007267220033099875,0.0001,6036,-0.40575728192925453,0.004409969,0.03173828125,0.9850463271141052,0.07103401701897383,0.012777945026755333
28.401,3,208,14,1550312,306.66,0.2,-0.007539653830463067,0.0001,6040,-0.524336826056242,0.0043835705,0.04150390625,0.9961506128311157,0.03314327320549637,-0.01192723773419857
28.233400000000003,4,200,20,1551336,303.85,0.2,-0.011194957245606929,0.0001,6044,-0.5580535121262074,0.0078088203,0.051025390625,0.9967921376228333,0.030222058994695544,-0.018637679517269135
28.232900000000004,5,196,26,1552360,303.73,0.2,-0.0015515944105572999,0.0001,6048,-0.5342916566878557,0.008319199,0.033935546875,0.9090808629989624,0.8431837856769562,0.25728580355644226
28.3022,6,193,31,1553384,304.41,0.2,-0.008899780863430351,0.0001,6052,-0.5651236958801746,0.015371662,0.08349609375,0.9863599538803101,0.07682342594489455,0.014396525919437408
28.503400000000006,7,191,37,1554408,307.68,0.2,-0.009102153650019318,0.0001,6056,-0.4794763159006834,0.0054216245,0.047119140625,0.9907016158103943,0.05468725226819515,-0.003925701603293419
28.64,8,190,43,1555432,309.91,0.2,-0.009371776162879542,0.0001,6060,-0.5847242027521133,0.0049249763,0.064453125,0.9940768480300903,0.04869196703657508,-0.005860546603798866
28.6906,9,189,48,1556456,307.05,0.2,-0.010205956641584635,0.0001,6064,-0.606188639998436,0.011113634,0.08837890625,0.9909483194351196,0.06793714361265302,0.00439351424574852
28.544800000000006,10,188,54,1557480,304.21,0.2,-0.006025765018421225,0.0001,6068,-0.5928048975765705,0.0064546494,0.037353515625,0.9912592172622681,0.06287342915311456,-0.008175166323781013
28.5689,11,187,60,1558504,304.34,0.2,-0.0034213429025840014,0.0001,6072,-0.4643154479563236,0.0036612432,0.020263671875,0.9279904365539551,0.4819283653050661,0.14376577734947205
28.64,12,186,65,1559528,305.44,0.2,-0.0011259762977715582,0.0001,6076,-0.5400768350809813,0.0030368043,0.028564453125,0.9292153120040894,0.642557892948389,0.2976815104484558
28.611,13,186,71,1560552,306.45,0.2,-0.0041873759182635695,0.0001,6080,-0.6388355605304241,0.0039591747,0.049072265625,0.9821281433105469,0.09784650872461498,0.026385141536593437
28.546500000000005,14,185,77,1561576,303.22,0.2,-0.008990472793811932,0.0001,6084,-0.524333892390132,0.009244956,0.05810546875,0.9789090156555176,0.1411347994580865,0.032876305282115936
27.968000000000007,15,185,82,1562600,297.38,0.2,-0.007410452439216897,0.0001,6088,-0.5085131749510765,0.0059847254,0.03759765625,0.9811224937438965,0.13509098580107093,0.03515849635004997
28.381,16,184,88,1563624,300.74,0.2,-6.350959301926196e-05,0.0001,6092,-0.5595502741634846,0.0035261535,0.023193359375,0.844393789768219,1.462406612932682,0.7520883679389954
28.3802,17,184,94,1564648,301.44,0.2,-0.006792774162022397,0.0001,6096,-0.5369979292154312,0.004477237,0.0205078125,0.9678016304969788,0.222700709477067,0.041651636362075806
28.682000000000002,18,184,99,1565672,305.06,0.2,-0.00700468008290045,0.0001,6100,-0.5646489933133125,0.0053630555,0.03271484375,0.977157473564148,0.12085992330685258,0.008774951100349426
28.574499999999997,19,184,105,1566696,301.43,0.2,-0.008112595329293981,0.0001,6104,-0.5542869698256254,0.0051115537,0.031005859375,0.9745205640792847,0.17184486985206604,0.040157612413167953
28.5732,20,184,111,1567720,301.28,0.2,-0.008614563368610106,0.0001,6108,-0.5464981086552143,0.004694811,0.02294921875,0.9785236716270447,0.17986478842794895,0.0423443540930748
28.469300000000004,21,183,116,1568744,300.3,0.2,-0.0017248408403247595,0.0001,6112,-0.42678249068558216,0.0012601677,0.007080078125,0.8609094023704529,0.717744966968894,0.34433916211128235
28.352800000000002,22,183,122,1569768,301.95,0.2,-0.00499356011277996,0.0001,6116,-0.4507360104471445,0.004910729,0.023681640625,0.905325710773468,0.608756098896265,0.1801036298274994
28.097800000000003,23,183,128,1570792,299.38,0.2,-0.007435041334247217,0.0001,6120,-0.5474237650632858,0.0032965662,0.018798828125,0.9760564565658569,0.2095203073695302,0.07991703599691391
28.0248,24,183,134,1571816,299.51,0.2,-0.001888163693365641,0.0001,6124,-0.46461376920342445,0.0074567394,0.046875,0.9423174858093262,0.37387159187346697,0.18215955793857574
27.904600000000002,25,183,139,1572840,297.34,0.2,-0.0054811700247228146,0.0001,6128,-0.6326722726225853,0.0033130713,0.039794921875,0.981408417224884,0.17325310967862606,0.06160392239689827
27.784000000000002,26,182,145,1573864,295.73,0.2,-0.005847802938660607,0.0001,6132,-0.5968263298273087,0.010531551,0.05224609375,0.956261932849884,0.30632559303194284,0.1400178074836731
27.7836,27,182,151,1574888,295.15,0.2,-0.0034133180743083358,0.0001,6136,-0.49404187500476837,0.0027684711,0.01171875,0.9259219169616699,0.4583698809146881,0.19965492188930511
27.783600000000007,28,182,156,1575912,294.9,0.2,-0.005301084747770801,0.0001,6140,-0.5350854266434908,0.0029600044,0.01220703125,0.9642924070358276,0.22166578844189644,0.07665349543094635
27.512200000000004,29,182,162,1576936,291.85,0.2,-0.0034434880362823606,0.0001,6144,-0.6333959624171257,0.0044018603,0.019775390625,0.9877476096153259,0.10487024136818945,0.008283009752631187
27.4703,30,182,168,1577960,291.23,0.2,-0.00541216362034902,0.0001,6148,-0.5584065467119217,0.006954726,0.033203125,0.9239681363105774,0.5994500927627087,0.16609440743923187
27.399700000000003,31,182,174,1578984,290.67,0.2,-0.005185049783904105,0.0001,6152,-0.4857229609042406,0.0075704544,0.03759765625,0.9636297225952148,0.1910823923535645,0.05452980101108551
27.35070000000001,32,182,179,1580008,290.27,0.2,-0.007635377813130617,0.0001,6156,-0.4868684094399214,0.009081511,0.064208984375,0.9629839658737183,0.1851754104718566,0.05068314075469971
27.586299999999998,33,182,185,1581032,292.43,0.2,-0.003213108400814235,0.0001,6160,-0.5583727918565273,0.0123796165,0.06494140625,0.9644703269004822,0.3101954897865653,0.11326393485069275
27.447400000000002,34,182,191,1582056,290.63,0.2,-0.00549624563427642,0.0001,6164,-0.5671822391450405,0.0072992444,0.051513671875,0.9871320128440857,0.09131806995719671,0.012236243113875389
27.307599999999994,35,181,197,1583080,288.71,0.2,9.729884914122522e-05,0.0001,6168,-0.4670924488455057,0.011879533,0.046875,0.9489539861679077,0.2302861837670207,0.08724410831928253
27.3094,36,181,202,1584104,288.13,0.2,-0.006187314400449395,0.0001,6172,-0.6238980703055859,0.01983144,0.06787109375,0.9561398029327393,0.39539489708840847,0.1312258541584015
27.169800000000006,37,181,208,1585128,286.39,0.2,-0.007179065723903477,0.0001,6176,-0.5540974475443363,0.007744885,0.03662109375,0.984198272228241,0.1073697698302567,0.029503995552659035
27.24790000000001,38,181,214,1586152,287.12,0.2,-0.004944977990817279,0.0001,6180,-0.5210350099951029,0.003896086,0.025146484375,0.9435386657714844,0.448662344366312,0.188959538936615
27.451200000000007,39,181,219,1587176,288.67,0.2,-0.006046354304999113,0.0001,6184,-0.5170696135610342,0.0042279693,0.0166015625,0.9787902235984802,0.14175997767597437,0.04044501483440399
27.380800000000008,40,181,225,1588200,287.12,0.2,-0.0033826801809482276,0.0001,6188,-0.569539126008749,0.0030234805,0.014892578125,0.9916045665740967,0.06665374827571213,0.00745183601975441
27.453899999999997,41,181,231,1589224,286.05,0.2,-0.006942905660253018,0.0001,6192,-0.5154656004160643,0.006539544,0.060791015625,0.9757493138313293,0.1459018993191421,0.06959736347198486
27.656100000000002,42,181,236,1590248,288.78,0.2,-0.006805891272961162,0.0001,6196,-0.5363531205803156,0.008277696,0.05078125,0.9954760670661926,0.037234951625578105,-0.008147465996444225
27.780899999999995,43,181,242,1591272,289.64,0.2,-0.011372440174454823,0.0001,6200,-0.6370339617133141,0.011367357,0.109130859375,0.9952797889709473,0.040513268671929836,-0.02350221388041973
27.9811,44,181,248,1592296,291.35,0.2,-0.0026280713209416717,0.0001,6204,-0.49907929822802544,0.004914725,0.02392578125,0.9570598602294922,0.31026831548660994,0.1278371959924698
28.048900000000003,45,181,254,1593320,293.09,0.2,-0.009204222122207284,0.0001,6208,-0.5628428906202316,0.008346377,0.05517578125,0.9931942224502563,0.05674991151317954,0.005728406831622124
28.007300000000004,46,181,259,1594344,292.16,0.2,-0.01322005403926596,0.0001,6212,-0.7376358285546303,0.011220803,0.0859375,0.9963433742523193,0.03337234817445278,-0.010181859135627747
28.078700000000005,47,181,265,1595368,292.12,0.2,-0.004368769412394613,0.0001,6216,-0.5446884892880917,0.002752376,0.0107421875,0.9522084593772888,0.3108175080269575,0.08920033276081085
27.6783,48,181,271,1596392,292.4,0.2,-0.0012298314832150936,0.0001,6220,-0.44728515297174454,0.0015679703,0.00830078125,0.9773918986320496,0.0911152174230665,0.014485720545053482
