rollout/ep_len_mean,time/time_elapsed,time/iterations,rollout/ep_rew_mean,time/fps,time/total_timesteps,train/explained_variance,train/approx_kl,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/value_loss,train/loss,train/learning_rate,train/n_updates
290.21,4,1,29.450899999999997,213,1946260,,,,,,,,,,
288.72,13,2,29.453599999999998,152,1947284,0.9860835075378418,0.0047040423,-0.40348712913692,-0.005029855863540433,0.02099609375,0.2,0.08065768610686064,0.020099226385354996,0.0001,7583
287.6,22,3,29.259300000000003,137,1948308,0.9968671202659607,0.0038015,-0.45587628334760666,-0.005341408832464367,0.01806640625,0.2,0.02689840504899621,-0.00842818059027195,0.0001,7587
287.74,32,4,29.258599999999998,127,1949332,0.9497464895248413,0.0037096816,-0.5966359488666058,-0.00244382576784119,0.01904296875,0.2,0.6094395192340016,0.21582600474357605,0.0001,7591
287.87,41,5,29.2584,123,1950356,0.9954831004142761,0.0034589686,-0.5550524666905403,-0.005021973513066769,0.019287109375,0.2,0.04439875250682235,-0.0071052368730306625,0.0001,7595
287.9,49,6,29.239500000000003,123,1951380,0.9972560405731201,0.006735038,-0.5494980476796627,-0.005627847975119948,0.043701171875,0.2,0.01903901540208608,-0.016678716987371445,0.0001,7599
287.67,59,7,29.240199999999994,121,1952404,0.9437963962554932,0.0037688364,-0.4850902855396271,-0.00497661348344991,0.017822265625,0.2,0.5321886762976646,0.2557646632194519,0.0001,7603
288.75,67,8,29.280899999999995,120,1953428,0.9871099591255188,0.0077110576,-0.47228611074388027,-0.008017310174182057,0.03173828125,0.2,0.08735313592478633,0.04865235462784767,0.0001,7607
288.64,76,9,29.28129999999999,120,1954452,0.997357964515686,0.005035119,-0.49647712893784046,-0.00492825239780359,0.02294921875,0.2,0.01999647286720574,-0.006498612463474274,0.0001,7611
287.32,84,10,29.240599999999993,120,1955476,0.9983420968055725,0.0039648823,-0.4458682257682085,-0.006173277535708621,0.017578125,0.2,0.01388885622145608,-0.010071325115859509,0.0001,7615
289.4,92,11,29.587000000000003,121,1956500,0.9922338724136353,0.006617832,-0.4690247066318989,-0.0065528040286153555,0.03515625,0.2,0.06915891077369452,0.02204176038503647,0.0001,7619
289.36,100,12,29.5876,121,1957524,0.998670220375061,0.0037494516,-0.46034464053809643,-0.004161219694651663,0.0166015625,0.2,0.010930133779766038,-0.009442293085157871,0.0001,7623
288.91,110,13,29.5881,121,1958548,0.9979425668716431,0.006034206,-0.4956978838890791,-0.007759411084407475,0.039306640625,0.2,0.019508564786519855,-0.01799822598695755,0.0001,7627
289.74,118,14,29.658200000000008,120,1959572,0.998347818851471,0.005966722,-0.504519497975707,-0.008234859764343128,0.032958984375,0.2,0.01546185539336875,-0.02472529001533985,0.0001,7631
290.88,130,15,29.69840000000001,117,1960596,0.9980421662330627,0.005302484,-0.48676682263612747,-0.008808561833575368,0.029541015625,0.2,0.01896678062621504,-0.016224615275859833,0.0001,7635
290.73,145,16,29.698900000000002,112,1961620,0.9942255020141602,0.004210188,-0.5118174757808447,-0.007455658575054258,0.024658203125,0.2,0.05305460328236222,0.010018892586231232,0.0001,7639
290.4,163,17,29.699499999999997,106,1962644,0.9923331141471863,0.0031783024,-0.45917847752571106,-0.005485101661179215,0.022216796875,0.2,0.061539505841210485,0.008501136675477028,0.0001,7643
290.65,173,18,29.696800000000003,106,1963668,0.9952243566513062,0.0067737377,-0.4726215358823538,-0.006300548033323139,0.03125,0.2,0.03807973104994744,-0.00614258274435997,0.0001,7647
290.12,182,19,29.6549,106,1964692,0.9931666851043701,0.004245507,-0.6401138752698898,-0.00192059445544146,0.01904296875,0.2,0.04789185873232782,0.011742674745619297,0.0001,7651
290.35,192,20,29.654600000000002,106,1965716,0.9878923296928406,0.0025304114,-0.4342892989516258,-0.0036398026859387755,0.008544921875,0.2,0.08755697938613594,0.028569601476192474,0.0001,7655
289.84,201,21,29.6553,106,1966740,0.9985294342041016,0.006191118,-0.4754599891602993,-0.00985887588467449,0.046142578125,0.2,0.01033718281541951,-0.02039056271314621,0.0001,7659
291.43,216,22,29.8305,104,1967764,0.9993028044700623,0.0057184566,-0.4312647543847561,-0.007075989982695319,0.037353515625,0.2,0.005281886798911728,-0.01698141172528267,0.0001,7663
291.59,240,23,29.8301,97,1968788,0.9994154572486877,0.0070859874,-0.48557084426283836,-0.010457532102009282,0.045166015625,0.2,0.006204180826898664,-0.025420179590582848,0.0001,7667
291.41,265,24,29.828400000000002,92,1969812,0.9991678595542908,0.008719967,-0.43620589561760426,-0.01188117201672867,0.04443359375,0.2,0.008364226872799918,-0.024788521230220795,0.0001,7671
294.21,291,25,30.0021,87,1970836,0.9992640018463135,0.0049121995,-0.4584308732300997,-0.010255535424221307,0.033203125,0.2,0.007613240537466481,-0.018708691000938416,0.0001,7675
294.37,323,26,30.000600000000006,82,1971860,0.9996219873428345,0.0057062544,-0.5145692732185125,-0.006086111650802195,0.033447265625,0.2,0.006031863711541519,-0.01381627656519413,0.0001,7679
291.29,343,27,29.561999999999998,80,1972884,0.9936133027076721,0.0040651234,-0.5205558948218822,-0.005989883677102625,0.041259765625,0.2,0.0626949651632458,0.004298582673072815,0.0001,7683
294.11,357,28,29.8781,80,1973908,0.855446457862854,0.0057383776,-0.5115668103098869,-0.0037571426073554903,0.051025390625,0.2,1.344276800751686,0.4620968997478485,0.0001,7687
293.26,373,29,29.881599999999995,79,1974932,0.9887986183166504,0.0051159123,-0.4715505223721266,-0.008057032013311982,0.023681640625,0.2,0.08569674124009907,0.0057495757937431335,0.0001,7691
294.31,392,30,29.9227,78,1975956,0.9926367402076721,0.007723891,-0.4499925263226032,-0.008069788396824151,0.051513671875,0.2,0.0482749855145812,-0.005983756855130196,0.0001,7695
292.91,413,31,29.784099999999995,76,1976980,0.99127197265625,0.0055478057,-0.4893754627555609,-0.007109939906513318,0.042724609375,0.2,0.07452698377892375,0.002353619784116745,0.0001,7699
293.73,429,32,29.978599999999997,76,1978004,0.9483862519264221,0.003133033,-0.4482138007879257,-0.0030780663364566863,0.0166015625,0.2,0.4561038939282298,0.2245071679353714,0.0001,7703
292.15,448,33,29.856600000000004,75,1979028,0.9962698221206665,0.008793311,-0.4199379589408636,-0.007722998387180269,0.044921875,0.2,0.02182296011596918,-0.0024742367677390575,0.0001,7707
293.33,464,34,29.99440000000001,75,1980052,0.9597997069358826,0.004272637,-0.45369189977645874,-0.0033451302151661366,0.024658203125,0.2,0.42807143554091454,0.18000996112823486,0.0001,7711
292.17,481,35,29.928800000000006,74,1981076,0.9941054582595825,0.0037231122,-0.4311150945723057,-0.006317173567367718,0.020751953125,0.2,0.044927656184881926,-0.003713361918926239,0.0001,7715
289.43,495,36,29.6989,74,1982100,0.9504027366638184,0.004358167,-0.3932753335684538,-0.0038599274412263185,0.023681640625,0.2,0.38002001447603106,0.08714144676923752,0.0001,7719
288.78,505,37,29.698600000000006,75,1983124,0.9131572842597961,0.00188463,-0.48253549076616764,0.00037616620102198794,0.01904296875,0.2,0.6927527878433466,0.13429304957389832,0.0001,7723
288.37,520,38,29.5898,74,1984148,0.9879404902458191,0.003683751,-0.4459707476198673,-0.005767723632743582,0.02001953125,0.2,0.06329343793913722,0.001603350043296814,0.0001,7727
289.53,531,39,29.5874,75,1985172,0.945868968963623,0.0050593866,-0.43910335190594196,-0.0021937209530733526,0.025634765625,0.2,0.5154227837920189,0.3678116500377655,0.0001,7731
289.89,544,40,29.586899999999996,75,1986196,0.9912241697311401,0.005671223,-0.5168414786458015,-0.004769819977809675,0.030029296875,0.2,0.05080436426214874,-0.005811579525470734,0.0001,7735
289.58,556,41,29.587699999999995,75,1987220,0.997423529624939,0.0055874432,-0.4391365647315979,-0.006071954965591431,0.04052734375,0.2,0.01533165224827826,-0.015924256294965744,0.0001,7739
288.47,575,42,29.5886,74,1988244,0.9984852075576782,0.004430284,-0.43266657181084156,-0.004219305206788704,0.03662109375,0.2,0.01136531206429936,-0.010236707516014576,0.0001,7743
288.22,596,43,29.5891,73,1989268,0.9934644103050232,0.008817752,-0.4410579688847065,-0.005179938016226515,0.033203125,0.2,0.05070679937489331,0.014928145334124565,0.0001,7747
288.91,614,44,29.586699999999997,73,1990292,0.9928788542747498,0.0036619976,-0.4814680255949497,-0.004840424546273425,0.01708984375,0.2,0.05946810101158917,0.019874773919582367,0.0001,7751
289.03,631,45,29.586399999999998,73,1991316,0.9977555871009827,0.0046025002,-0.5069873929023743,-0.0070866168243810534,0.021240234375,0.2,0.02064983220770955,-0.00386669859290123,0.0001,7755
