decision,raw_frames,x,y,max_x,action,action_name,prob_0,prob_1,prob_2,prob_3,prob_4,action_entropy_nats,native_reward,native_reward_sum,no_progress_decisions,life,game_time,flag_get,terminated,truncated
1095,4380,2914,111,2915,2,right+A,0.008124434389173985,0.23081351816654205,0.36132383346557617,0.08000678569078445,0.3197314143180847,1.311978816986084,-1.0,2674.0,847,2,181,0,0,0
1096,4384,2914,111,2915,2,right+A,0.008265575394034386,0.2321641743183136,0.3554554581642151,0.08088243007659912,0.32323238253593445,1.314791202545166,0.0,2674.0,848,2,181,0,0,0
1097,4388,2914,111,2915,2,right+A,0.008245126344263554,0.22991064190864563,0.35944679379463196,0.07854641228914261,0.323851078748703,1.3102868795394897,0.0,2674.0,849,2,181,0,0,0
1098,4392,2914,111,2915,2,right+A,0.008243693970143795,0.22970691323280334,0.36095401644706726,0.07859226316213608,0.32250311970710754,1.3101134300231934,0.0,2674.0,850,2,181,0,0,0
1099,4396,2914,111,2915,2,right+A,0.008282645605504513,0.23171007633209229,0.35727497935295105,0.08054344356060028,0.3221888542175293,1.3140534162521362,0.0,2674.0,851,2,181,0,0,0
1100,4400,2914,111,2915,2,right+A,0.008127950131893158,0.22870787978172302,0.3632350265979767,0.07736049592494965,0.3225685954093933,1.307334303855896,-1.0,2673.0,852,2,180,0,0,0
1101,4404,2914,111,2915,2,right+A,0.008033043704926968,0.22800295054912567,0.36608973145484924,0.0769309252500534,0.32094332575798035,1.3057721853256226,0.0,2673.0,853,2,180,0,0,0
1102,4408,2914,111,2915,2,right+A,0.007709917146712542,0.22421738505363464,0.3789384663105011,0.07313403487205505,0.31600016355514526,1.2957772016525269,0.0,2673.0,854,2,180,0,0,0
1103,4412,2914,111,2915,2,right+A,0.007704640738666058,0.22578442096710205,0.3761275112628937,0.07489647716283798,0.31548696756362915,1.2993477582931519,0.0,2673.0,855,2,180,0,0,0
1104,4416,2914,111,2915,2,right+A,0.007661848329007626,0.22383278608322144,0.3774294853210449,0.07267589867115021,0.31839999556541443,1.2950562238693237,0.0,2673.0,856,2,180,0,0,0
1105,4420,2914,111,2915,2,right+A,0.007794285658746958,0.22577594220638275,0.37285393476486206,0.07449790090322495,0.3190779387950897,1.2996437549591064,-1.0,2672.0,857,2,179,0,0,0
1106,4424,2914,111,2915,2,right+A,0.007932089269161224,0.22651776671409607,0.37062615156173706,0.0753234252333641,0.31960052251815796,1.301945686340332,0.0,2672.0,858,2,179,0,0,0
1107,4428,2914,111,2915,2,right+A,0.008233750239014626,0.23221172392368317,0.35646378993988037,0.08073840290307999,0.3223523497581482,1.3143919706344604,0.0,2672.0,859,2,179,0,0,0
1108,4432,2914,111,2915,2,right+A,0.008176002651453018,0.22900351881980896,0.36089596152305603,0.07685145735740662,0.32507309317588806,1.3071444034576416,0.0,2672.0,860,2,179,0,0,0
1109,4436,2914,111,2915,2,right+A,0.00827406533062458,0.23024578392505646,0.3597007989883423,0.07848850637674332,0.3232909142971039,1.3103986978530884,0.0,2672.0,861,2,179,0,0,0
1110,4440,2914,111,2915,2,right+A,0.008288619108498096,0.23119710385799408,0.35915639996528625,0.07958036661148071,0.32177743315696716,1.3123648166656494,-1.0,2671.0,862,2,178,0,0,0
1111,4444,2914,111,2915,2,right+A,0.008361148647964,0.23275770246982574,0.35406067967414856,0.08077288419008255,0.32404765486717224,1.3153135776519775,0.0,2671.0,863,2,178,0,0,0
1112,4448,2914,111,2915,2,right+A,0.00820041261613369,0.22937056422233582,0.3624418377876282,0.07748600095510483,0.32250121235847473,1.3080999851226807,0.0,2671.0,864,2,178,0,0,0
1113,4452,2914,111,2915,2,right+A,0.008086107671260834,0.2278798222541809,0.3675472140312195,0.07640103995800018,0.3200858235359192,1.304970622062683,0.0,2671.0,865,2,178,0,0,0
1114,4456,2914,111,2915,2,right+A,0.007895313203334808,0.22755132615566254,0.3719041645526886,0.0759052038192749,0.316743940114975,1.3027971982955933,0.0,2671.0,866,2,178,0,0,0
1115,4460,2914,111,2915,2,right+A,0.007717547006905079,0.22362466156482697,0.3781365752220154,0.07218627631664276,0.31833502650260925,1.294344425201416,-1.0,2670.0,867,2,177,0,0,0
1116,4464,2914,111,2915,2,right+A,0.007770289666950703,0.2237008959054947,0.377318412065506,0.07240511476993561,0.3188052475452423,1.295031189918518,0.0,2670.0,868,2,177,0,0,0
1117,4468,2914,111,2915,2,right+A,0.007777690421789885,0.2232547253370285,0.37895435094833374,0.0717300996184349,0.3182830512523651,1.293616771697998,0.0,2670.0,869,2,177,0,0,0
1118,4472,2914,111,2915,2,right+A,0.008101671934127808,0.2282026708126068,0.36616888642311096,0.07672112435102463,0.3208056688308716,1.305782675743103,0.0,2670.0,870,2,177,0,0,0
1119,4476,2914,111,2915,2,right+A,0.00814962200820446,0.22702720761299133,0.36608463525772095,0.07478538155555725,0.32395321130752563,1.3027573823928833,0.0,2670.0,871,2,177,0,0,0
1120,4480,2914,111,2915,2,right+A,0.008258350193500519,0.22884151339530945,0.36223214864730835,0.07655422389507294,0.3241138756275177,1.3068180084228516,-1.0,2669.0,872,2,176,0,0,0
1121,4484,2914,111,2915,2,right+A,0.008218053728342056,0.22841709852218628,0.3644005358219147,0.076319620013237,0.32264477014541626,1.305931806564331,0.0,2669.0,873,2,176,0,0,0
1122,4488,2914,111,2915,2,right+A,0.008357486687600613,0.23150168359279633,0.3561549782752991,0.07954190671443939,0.3244439661502838,1.31296968460083,0.0,2669.0,874,2,176,0,0,0
1123,4492,2914,111,2915,2,right+A,0.008245734497904778,0.22855104506015778,0.36125174164772034,0.07601109892129898,0.32594040036201477,1.3059871196746826,0.0,2669.0,875,2,176,0,0,0
1124,4496,2914,111,2915,2,right+A,0.008140846155583858,0.2282199263572693,0.364950954914093,0.07654601335525513,0.32214227318763733,1.305837869644165,0.0,2669.0,876,2,176,0,0,0
1125,4500,2914,111,2915,2,right+A,0.008050144650042057,0.22790630161762238,0.36794281005859375,0.07646090537309647,0.31963983178138733,1.3048781156539917,-1.0,2668.0,877,2,175,0,0,0
1126,4504,2914,111,2915,2,right+A,0.007891659624874592,0.22702142596244812,0.371045857667923,0.0752020850777626,0.318838894367218,1.3017302751541138,0.0,2668.0,878,2,175,0,0,0
1127,4508,2914,111,2915,2,right+A,0.0077169425785541534,0.22293946146965027,0.37950658798217773,0.07149913907051086,0.31833794713020325,1.2928378582000732,0.0,2668.0,879,2,175,0,0,0
1128,4512,2914,111,2915,2,right+A,0.0077605959959328175,0.22372335195541382,0.3782429099082947,0.07267235219478607,0.3176007568836212,1.2952395677566528,0.0,2668.0,880,2,175,0,0,0
1129,4516,2914,111,2915,2,right+A,0.007907415740191936,0.22636182606220245,0.37215718626976013,0.07490812242031097,0.318665474653244,1.3009679317474365,0.0,2668.0,881,2,175,0,0,0
1130,4520,2914,111,2915,2,right+A,0.008072507567703724,0.22678449749946594,0.36694949865341187,0.07512208074331284,0.3230714201927185,1.3027712106704712,-1.0,2667.0,882,2,174,0,0,0
1131,4524,2914,111,2915,2,right+A,0.008206737227737904,0.2282133400440216,0.3633589446544647,0.07639367878437042,0.32382732629776,1.3060497045516968,0.0,2667.0,883,2,174,0,0,0
1132,4528,2914,111,2915,2,right+A,0.008183194324374199,0.22774387896060944,0.3657627999782562,0.07570423930883408,0.3226059079170227,1.3045122623443604,0.0,2667.0,884,2,174,0,0,0
1133,4532,2914,111,2915,2,right+A,0.008353804238140583,0.2315753996372223,0.35767099261283875,0.0796097069978714,0.3227900266647339,1.312927484512329,0.0,2667.0,885,2,174,0,0,0
1134,4536,2914,111,2915,2,right+A,0.008273995481431484,0.2290230095386505,0.3611743450164795,0.07637862861156464,0.3251500129699707,1.3067991733551025,0.0,2667.0,886,2,174,0,0,0
1135,4540,2914,111,2915,2,right+A,0.008314339444041252,0.2301085889339447,0.35964804887771606,0.07747352123260498,0.32445552945137024,1.309059500694275,-1.0,2666.0,887,2,173,0,0,0
1136,4544,2914,111,2915,2,right+A,0.008111261762678623,0.22746464610099792,0.36846569180488586,0.07524965703487396,0.32070866227149963,1.303134799003601,0.0,2666.0,888,2,173,0,0,0
1137,4548,2914,111,2915,2,right+A,0.00812995620071888,0.22966328263282776,0.3629117012023926,0.07768715173006058,0.32160788774490356,1.3081706762313843,0.0,2666.0,889,2,173,0,0,0
1138,4552,2914,111,2915,2,right+A,0.007767964154481888,0.2235342562198639,0.37733644247055054,0.0713864341378212,0.3199749290943146,1.2934412956237793,0.0,2666.0,890,2,173,0,0,0
1139,4556,2914,111,2915,2,right+A,0.007677291054278612,0.22205787897109985,0.3820914328098297,0.07076738774776459,0.3174060881137848,1.2908135652542114,0.0,2666.0,891,2,173,0,0,0
1140,4560,2914,111,2915,2,right+A,0.0077538746409118176,0.2239399403333664,0.37883201241493225,0.07273020595312119,0.31674399971961975,1.2952712774276733,-1.0,2665.0,892,2,172,0,0,0
1141,4564,2914,111,2915,2,right+A,0.007916069589555264,0.22652344405651093,0.3702496886253357,0.07484164834022522,0.32046911120414734,1.3012449741363525,0.0,2665.0,893,2,172,0,0,0
