time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/value_loss,rollout/ep_len_mean,train/explained_variance,train/policy_gradient_loss,train/clip_range,train/learning_rate,rollout/ep_rew_mean,train/clip_fraction,train/loss,train/n_updates,train/approx_kl,train/entropy_loss
2411504,168,139,842,0.0012107077636756003,268.0,0.9994968771934509,-0.0024076752306427807,0.2,2.5e-05,25.45960000000001,0.00439453125,-0.0022514015436172485,9395,0.0012283116,-0.1577958855777979
2412528,168,140,848,0.0008082444255705923,268.0,0.9996839761734009,-0.0030956126283854246,0.2,2.5e-05,25.45960000000001,0.00537109375,-0.010477970354259014,9399,0.0011122196,-0.15495972242206335
2413552,168,141,854,0.0009082844953809399,266.33,0.9996926784515381,-0.0032285681227222085,0.2,2.5e-05,25.267625000000013,0.010986328125,-0.005269067361950874,9403,0.0032722054,-0.15556394215673208
2414576,168,142,860,0.45915523543953896,266.33,0.8357930183410645,-0.001012771565001458,0.2,2.5e-05,25.267625000000013,0.002685546875,0.09853416681289673,9407,0.0006574321,-0.1571093024685979
2415600,168,143,867,0.45208495296537876,259.61,0.8275958299636841,-0.0007738273998256773,0.2,2.5e-05,24.498800000000013,0.00048828125,0.060813818126916885,9411,0.0002675242,-0.15599531773477793
2416624,168,144,873,1.200387317687273,257.94,0.6390113830566406,-0.00193134811706841,0.2,2.5e-05,24.30690000000001,0.005126953125,0.4196172058582306,9415,0.0010172402,-0.1596549479290843
2417648,168,145,879,0.4026729827746749,257.94,0.8237802982330322,-0.0015026958426460624,0.2,2.5e-05,24.30690000000001,0.001708984375,0.10655202716588974,9419,0.00036958663,-0.16605178639292717
2418672,168,146,885,0.3801668509840965,255.75,0.8214778304100037,-0.002217136003309861,0.2,2.5e-05,24.12887500000001,0.004638671875,0.14732544124126434,9423,0.0008400848,-0.16026818938553333
2419696,168,147,891,0.3725329553708434,255.96,0.8343866467475891,-0.0024159903696272522,0.2,2.5e-05,24.128900000000012,0.001953125,0.2223086953163147,9427,0.0005011699,-0.1693320358172059
2420720,168,148,898,0.060196743928827345,257.6,0.9652005434036255,-0.0010098537022713572,0.2,2.5e-05,24.321200000000008,0.001708984375,0.011533677577972412,9431,0.00090652285,-0.17132478021085262
