time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,train/learning_rate,train/clip_fraction,train/approx_kl,train/loss,train/policy_gradient_loss,train/explained_variance,train/value_loss,train/clip_range,train/n_updates,train/entropy_loss
1,234.12,19.275199999999998,1227348,3,317,,,,,,,,,,
2,233.8,19.4295,1228372,8,227,0.0001,0.036865234375,0.006957634,0.30335351824760437,-0.0057084495783783495,0.820165753364563,0.7776985988020897,0.2,4784,-0.5101459305733442
3,234.14,19.4001,1229396,14,210,0.0001,0.06591796875,0.009044101,0.24797040224075317,-0.002032359057920985,0.781947672367096,0.9234680198132992,0.2,4788,-0.45863017067313194
4,241.45,19.7452,1230420,20,200,0.0001,0.067138671875,0.0063092555,0.09045790135860443,-0.007400279617286287,0.9238760471343994,0.3193582948297262,0.2,4792,-0.7192358635365963
5,236.97,19.609,1231444,26,196,0.0001,0.078857421875,0.014367327,0.34025949239730835,-0.006765866302885115,0.9028217196464539,0.6797061990946531,0.2,4796,-0.7460777647793293
6,233.3,19.446399999999997,1232468,31,193,0.0001,0.05908203125,0.006314561,0.1551760733127594,-0.0038031339063309133,0.9011374115943909,0.4977325890213251,0.2,4800,-0.5987662523984909
7,236.04,19.735,1233492,37,191,0.0001,0.044677734375,0.0046608336,0.10485388338565826,-0.004249493358656764,0.922390878200531,0.36779406666755676,0.2,4804,-0.6294302195310593
8,239.63,19.9318,1234516,43,188,0.0001,0.05322265625,0.0076427376,0.16198503971099854,-0.007521798950619996,0.9051317572593689,0.4484447296708822,0.2,4808,-0.5571387559175491
9,237.51,19.7951,1235540,49,187,0.0001,0.018798828125,0.0041444087,0.2127528190612793,-0.0016732533113099635,0.8185808062553406,0.7741788290441036,0.2,4812,-0.574736125767231
10,235.85,19.762500000000003,1236564,54,186,0.0001,0.03662109375,0.0052456288,0.1724010854959488,-0.0030943466117605567,0.9064590930938721,0.560592994093895,0.2,4816,-0.6557002030313015
11,235.75,19.801900000000003,1237588,60,185,0.0001,0.051513671875,0.006437899,0.2879732847213745,-0.0003622243239078671,0.8300571441650391,0.8165440447628498,0.2,4820,-0.5400440208613873
12,241.59,20.218999999999998,1238612,66,184,0.0001,0.024658203125,0.0044661453,0.20231583714485168,-0.0033526021288707852,0.876125156879425,0.5146306212991476,0.2,4824,-0.6136841252446175
13,241.1,20.371699999999997,1239636,72,184,0.0001,0.045654296875,0.0066142073,0.13308140635490417,-0.006906187583808787,0.9393773674964905,0.330227829515934,0.2,4828,-0.5634071826934814
14,245.75,20.625400000000003,1240660,77,184,0.0001,0.042724609375,0.0075686187,0.13745766878128052,-0.00565066329727415,0.9128589630126953,0.3864233363419771,0.2,4832,-0.5741928778588772
15,247.72,20.8479,1241684,83,183,0.0001,0.072509765625,0.009430898,0.061913177371025085,-0.004572058649500832,0.9649105072021484,0.1791980592533946,0.2,4836,-0.7381931096315384
16,247.62,20.7898,1242708,89,183,0.0001,0.071044921875,0.011412729,0.09834255278110504,-0.007946118654217571,0.9298632144927979,0.40844570845365524,0.2,4840,-0.6100218780338764
17,243.06,20.529100000000003,1243732,94,183,0.0001,0.020263671875,0.0018549159,0.5271568894386292,-0.0015209307166514918,0.8454955220222473,1.230459164828062,0.2,4844,-0.6572269536554813
18,241.64,20.5308,1244756,100,183,0.0001,0.02294921875,0.003451487,0.37359824776649475,-0.0031832880922593176,0.8312997817993164,0.9013741910457611,0.2,4848,-0.4952639639377594
19,241.51,20.531100000000002,1245780,105,183,0.0001,0.041259765625,0.0054797316,0.09642767161130905,-0.002593988916487433,0.951532781124115,0.34198687970638275,0.2,4852,-0.6564551219344139
20,248.38,20.951700000000002,1246804,111,183,0.0001,0.0556640625,0.007952034,0.0644807517528534,-0.010401293053291738,0.9573364853858948,0.23452433291822672,0.2,4856,-0.8039091527462006
21,240.58,20.7344,1247828,117,183,0.0001,0.029296875,0.005820779,0.04929358512163162,-0.004526447723037563,0.9712443351745605,0.20302345417439938,0.2,4860,-0.6224722824990749
22,236.88,20.627200000000002,1248852,122,183,0.0001,0.073486328125,0.013040373,0.5718768835067749,-0.0049873050302267075,0.7938476800918579,1.275470096617937,0.2,4864,-0.47987863048911095
23,241.41,20.9452,1249876,128,183,0.0001,0.044189453125,0.0055282917,0.2874000370502472,-0.005876807612366974,0.9019992351531982,0.6684870105236769,0.2,4868,-0.6151702292263508
24,240.69,20.948800000000002,1250900,133,183,0.0001,0.034423828125,0.0069348314,0.18243737518787384,-0.007963728392496705,0.9198578000068665,0.48024345003068447,0.2,4872,-0.6047696769237518
25,243.87,21.138799999999996,1251924,139,183,0.0001,0.01806640625,0.003462615,0.07978221029043198,-0.0029482014069799334,0.9509809613227844,0.29376055486500263,0.2,4876,-0.6333992592990398
26,249.34,21.413100000000004,1252948,144,183,0.0001,0.04150390625,0.008253472,0.11500969529151917,-0.004856780185946263,0.9559102654457092,0.2961120242252946,0.2,4880,-0.6415550075471401
27,252.18,21.615600000000004,1253972,150,183,0.0001,0.033935546875,0.0060786214,0.07377050071954727,-0.0049539060273673385,0.9686886668205261,0.19843325298279524,0.2,4884,-0.6393010206520557
28,256.12,21.915300000000006,1254996,156,183,0.0001,0.025634765625,0.0035423574,0.08358003199100494,-0.0020755718578584492,0.9380314946174622,0.2564947847276926,0.2,4888,-0.6318628638982773
29,254.2,21.963300000000007,1256020,161,183,0.0001,0.046142578125,0.0071500516,0.06447568535804749,-0.005835808420670219,0.957353413105011,0.18169425707310438,0.2,4892,-0.4480143915861845
30,258.5,22.243000000000002,1257044,167,183,0.0001,0.05810546875,0.0067127254,0.05132341384887695,-0.007471240984159522,0.9584729075431824,0.22097820322960615,0.2,4896,-0.7762223854660988
31,260.64,22.4236,1258068,173,183,0.0001,0.05322265625,0.005079857,0.048343680799007416,-0.008926554321078584,0.9713690876960754,0.16992761474102736,0.2,4900,-0.544082760810852
32,261.93,22.4912,1259092,178,183,0.0001,0.06103515625,0.009872452,0.23713165521621704,-0.00336471464834176,0.9180335998535156,0.5902519356459379,0.2,4904,-0.46293204091489315
33,258.16,22.2993,1260116,184,183,0.0001,0.087158203125,0.011289123,0.11495144665241241,-0.006008967524394393,0.9431597590446472,0.3981822347268462,0.2,4908,-0.48581958934664726
34,252.6,21.8642,1261140,189,183,0.0001,0.03955078125,0.0055743484,0.6897928714752197,-0.002253831989946775,0.8032609224319458,1.4216440618038177,0.2,4912,-0.4229797460138798
35,256.98,22.0643,1262164,195,183,0.0001,0.037109375,0.0059071877,0.5714853405952454,-0.004275684535969049,0.7854259014129639,1.10691449791193,0.2,4916,-0.5729014985263348
36,258.83,22.190400000000004,1263188,201,183,0.0001,0.043212890625,0.004289852,0.3344542682170868,-0.0013454135041683912,0.8948566913604736,0.6366028357297182,0.2,4920,-0.4949061740189791
37,259.57,21.9771,1264212,206,183,0.0001,0.021728515625,0.004707499,0.19521591067314148,-0.003831532463664189,0.8704390525817871,0.5980770085006952,0.2,4924,-0.6893739923834801
38,257.64,21.863699999999998,1265236,212,183,0.0001,0.10546875,0.01138684,0.31177714467048645,-0.004379411577247083,0.8445543050765991,0.9516020305454731,0.2,4928,-0.6841740421950817
39,254.41,21.4452,1266260,217,183,0.0001,0.01953125,0.0043963185,0.2122180461883545,-0.0038489077996928245,0.885093092918396,0.4870908856391907,0.2,4932,-0.6004846878349781
40,250.41,21.090300000000003,1267284,223,183,0.0001,0.0224609375,0.0032953112,0.4304971396923065,0.0009135754371527582,0.7841140031814575,1.3184881322085857,0.2,4936,-0.5303970463573933
