decision,raw_frames,x,y,max_x,action,action_name,prob_0,prob_1,prob_2,prob_3,prob_4,action_entropy_nats,native_reward,native_reward_sum,no_progress_decisions,life,game_time,flag_get,terminated,truncated
1,4,40,79,40,3,right+B,7.270992227859097e-06,0.00042158784344792366,6.876167753944173e-05,0.9981949925422668,0.0013073529116809368,0.014505432918667793,0.0,0.0,1,2,400,0,0,0
2,8,43,79,43,3,right+B,7.223021384561434e-06,0.00042074895463883877,6.840383866801858e-05,0.9982016086578369,0.0013019988546147943,0.01445930078625679,3.0,3.0,0,2,400,0,0,0
3,12,47,79,47,3,right+B,7.104561518644914e-06,0.0004146795836277306,6.635527824983001e-05,0.9982362985610962,0.001275566522963345,0.014215098693966866,4.0,7.0,0,2,400,0,0,0
4,16,53,79,53,3,right+B,6.947053861949826e-06,0.00040683435508981347,6.479471630882472e-05,0.9982435703277588,0.0012778423260897398,0.014152348972856998,6.0,13.0,0,2,400,0,0,0
5,20,60,79,60,3,right+B,8.125593012664467e-06,0.0004630231996998191,8.716262527741492e-05,0.9978085160255432,0.0016331067308783531,0.01713418774306774,6.0,19.0,0,2,399,0,0,0
6,24,70,79,70,3,right+B,7.4241997936042026e-06,0.00043755167280323803,8.542957220925018e-05,0.9978285431861877,0.001641102833673358,0.016964703798294067,10.0,29.0,0,2,399,0,0,0
7,28,81,79,81,3,right+B,7.676771019760054e-06,0.00045323395170271397,9.579026664141566e-05,0.9976298809051514,0.0018134459387511015,0.01828083023428917,11.0,40.0,0,2,399,0,0,0
8,32,93,79,93,3,right+B,8.26368614070816e-06,0.0004802031035069376,0.0001070578582584858,0.9974647760391235,0.0019397548167034984,0.019391220062971115,12.0,52.0,0,2,399,0,0,0
9,36,105,79,105,3,right+B,2.1459638446685858e-05,0.0011282291961833835,0.0004846249066758901,0.9880703091621399,0.01029534824192524,0.07055731117725372,12.0,64.0,0,2,399,0,0,0
10,40,117,79,117,3,right+B,0.00011602655285969377,0.004647376015782356,0.013271931558847427,0.6622081398963928,0.31975656747817993,0.7209081053733826,11.0,75.0,0,2,398,0,0,0
11,44,129,79,129,3,right+B,0.00012551879626698792,0.004552419297397137,0.028842486441135406,0.2658519446849823,0.7006276845932007,0.7294209003448486,12.0,87.0,0,2,398,0,0,0
12,48,141,79,141,3,right+B,0.00011048338637920097,0.0035658522974699736,0.03442039713263512,0.13352695107460022,0.8283762335777283,0.5618941187858582,12.0,99.0,0,2,398,0,0,0
13,52,153,79,153,3,right+B,7.281851139850914e-05,0.0033660326153039932,0.003202940570190549,0.9167320728302002,0.07662616670131683,0.3147957921028137,12.0,111.0,0,2,398,0,0,0
14,56,165,79,165,3,right+B,1.7624264728510752e-05,0.0009486186318099499,0.0004990166053175926,0.9853050112724304,0.013229751959443092,0.08239855617284775,12.0,123.0,0,2,398,0,0,0
15,60,177,79,177,3,right+B,5.1031820476055145e-06,0.0003040773153770715,7.87010503700003e-05,0.9972551465034485,0.002356976503506303,0.02026992477476597,11.0,134.0,0,2,397,0,0,0
16,64,189,79,189,3,right+B,3.158734216412995e-06,0.00019211294420529157,5.866953142685816e-05,0.9969237446784973,0.0028222566470503807,0.02189427986741066,12.0,146.0,0,2,397,0,0,0
17,68,201,79,201,3,right+B,1.2164281542936806e-05,0.0005087011959403753,0.0004900588537566364,0.945507287979126,0.053481798619031906,0.21732722222805023,12.0,158.0,0,2,397,0,0,0
18,72,213,97,213,4,right+A+B,5.506917659658939e-06,0.00012026350304950029,0.009269729256629944,0.0063623362220823765,0.9842421412467957,0.09235355257987976,12.0,170.0,0,2,397,0,0,0
19,76,225,117,225,4,right+A+B,5.901191002521955e-07,1.0042731446446851e-05,0.0038967092987149954,9.693142783362418e-05,0.9959957599639893,0.026633350178599358,12.0,182.0,0,2,397,0,0,0
20,80,237,133,237,4,right+A+B,2.3368924928490742e-07,3.627662636063178e-06,0.0052602458745241165,8.932108357839752e-06,0.9947269558906555,0.033015694469213486,11.0,193.0,0,2,396,0,0,0
21,84,249,147,249,4,right+A+B,2.869973343422316e-07,4.7961384552763775e-06,0.004480401054024696,7.380112492683111e-06,0.9955071210861206,0.028863493353128433,12.0,205.0,0,2,396,0,0,0
22,88,261,156,261,4,right+A+B,4.18585068473476e-06,0.00011160709254909307,0.004194760695099831,0.0006544279749505222,0.9950350522994995,0.033779919147491455,12.0,217.0,0,2,396,0,0,0
23,92,273,160,273,3,right+B,5.004432750865817e-05,0.0026381798088550568,0.0008085338049568236,0.8649285435676575,0.13157473504543304,0.41428273916244507,12.0,229.0,0,2,396,0,0,0
24,96,285,152,285,3,right+B,1.2744065998049336e-06,9.226344991475344e-05,1.1304580311843893e-06,0.9998480081558228,5.73407560295891e-05,0.0016016133595257998,12.0,241.0,0,2,396,0,0,0
25,100,297,133,297,3,right+B,3.953782652388327e-06,0.00020452165335882455,1.0625373761286028e-05,0.9996567964553833,0.00012409171904437244,0.003367597470059991,11.0,252.0,0,2,395,0,0,0
26,104,309,113,309,4,right+A+B,9.100246097659692e-05,0.0012130398536100984,0.4478679895401001,0.01183097343891859,0.5389969944953918,0.7543635964393616,12.0,264.0,0,2,395,0,0,0
27,108,321,93,321,4,right+A+B,0.00016908612451516092,0.0023434674367308617,0.20744198560714722,0.07851818948984146,0.7115272879600525,0.7838930487632751,12.0,276.0,0,2,395,0,0,0
28,112,333,90,333,4,right+A+B,0.000201535047381185,0.003905125195160508,0.08396565914154053,0.6920062899589539,0.21992141008377075,0.819219708442688,12.0,288.0,0,2,395,0,0,0
29,116,345,95,345,4,right+A+B,7.664720033062622e-05,0.0021949815563857555,0.020253153517842293,0.9499834775924683,0.027491750195622444,0.24068507552146912,13.0,301.0,0,2,395,0,0,0
30,120,357,87,357,3,right+B,8.33165722724516e-06,0.00038148165913298726,0.0005299472832120955,0.9984007477760315,0.0006794623332098126,0.013651828281581402,11.0,312.0,0,2,394,0,0,0
31,124,369,79,369,3,right+B,1.7884440239868127e-05,0.0011586288455873728,0.006135453470051289,0.9890899062156677,0.003598132636398077,0.07037876546382904,12.0,324.0,0,2,394,0,0,0
32,128,381,97,381,2,right+A,6.707708962494507e-05,0.00708614569157362,0.08859532326459885,0.868471086025238,0.035780489444732666,0.4920791983604431,12.0,336.0,0,2,394,0,0,0
33,132,393,117,393,2,right+A,6.979737008805387e-06,0.0008850038866512477,0.8813170790672302,0.0013893288560211658,0.11640157550573349,0.3771345019340515,12.0,348.0,0,2,394,0,0,0
34,136,405,133,405,2,right+A,5.789648938048231e-08,8.379693099413998e-06,0.9221809506416321,1.56183730837256e-07,0.0778103917837143,0.27349793910980225,12.0,360.0,0,2,394,0,0,0
35,140,417,147,417,2,right+A,8.485797309276677e-08,1.304167653870536e-05,0.7547191977500916,3.274692517152289e-07,0.24526727199554443,0.5572381019592285,11.0,371.0,0,2,393,0,0,0
36,144,429,156,429,4,right+A+B,6.13545694250206e-07,0.00011097668175352737,0.27382567524909973,4.7011460992507637e-05,0.7260158061981201,0.5886223316192627,12.0,383.0,0,2,393,0,0,0
37,148,441,162,441,4,right+A+B,1.08390713648987e-05,0.0024965207558125257,0.02739655412733555,0.04175269603729248,0.9283434748649597,0.31527185440063477,12.0,395.0,0,2,393,0,0,0
38,152,453,165,453,4,right+A+B,6.291236331890104e-06,0.001799735939130187,0.0001574147754581645,0.9715465903282166,0.02649008296430111,0.1370583474636078,12.0,407.0,0,2,393,0,0,0
39,156,465,162,465,3,right+B,2.2271890429692576e-06,0.0005632832762785256,8.553245606890414e-06,0.9975265860557556,0.001899342518299818,0.018715444952249527,12.0,419.0,0,2,393,0,0,0
40,160,477,147,477,3,right+B,2.0988259166188072e-06,0.000412261433666572,4.147183062741533e-06,0.9989738464355469,0.0006076667923480272,0.008818305097520351,11.0,430.0,0,2,392,0,0,0
41,164,489,127,489,3,right+B,3.460872676441795e-06,0.00043966149678453803,8.844755939207971e-06,0.9990506768226624,0.0004973173490725458,0.008276492357254028,12.0,442.0,0,2,392,0,0,0
42,168,501,107,501,3,right+B,1.8912452333097463e-06,0.00019885684014298022,6.16770103079034e-06,0.9995947480201721,0.00019828588119708002,0.003889447543770075,12.0,454.0,0,2,392,0,0,0
43,172,513,87,513,3,right+B,1.592009539308492e-05,0.0012083203764632344,0.00043798889964818954,0.9863811135292053,0.011956663802266121,0.07813255488872528,12.0,466.0,0,2,392,0,0,0
44,176,525,79,525,4,right+A+B,8.724659892322961e-06,0.0003577921015676111,0.07990436255931854,0.0013658908428624272,0.9183631539344788,0.2920723259449005,12.0,478.0,0,2,392,0,0,0
45,180,537,79,537,4,right+A+B,4.270721660759591e-07,1.269453059649095e-05,0.0865308940410614,2.142757693945896e-06,0.9134538769721985,0.2946283519268036,11.0,489.0,0,2,391,0,0,0
46,184,549,79,549,4,right+A+B,3.9581937016919255e-07,1.1175518011441454e-05,0.17003683745861053,1.8974541262650746e-06,0.8299497365951538,0.4561140537261963,12.0,501.0,0,2,391,0,0,0
47,188,561,79,561,4,right+A+B,2.280268290633103e-06,6.72465976094827e-05,0.1324891746044159,9.306432184530422e-05,0.8673482537269592,0.3927704691886902,12.0,513.0,0,2,391,0,0,0
