elapsed_seconds,timesteps,return,length,max_x,completed,game_score,score_gain,coins,objective_reward_sum,one_ups,custom_one_up_bonus,augmented_score_gain,flag_height_bonus,flag_touch_y,flag_top_tier
6.132,2120732,3096.0,268,3175,1,1200,1200,2,24.76999999999996,0,0,1200,400,113,0
6.179,2120736,3096.0,269,3175,1,800,800,2,24.669999999999956,0,0,800,100,153,0
6.227,2120740,3096.0,270,3175,1,1200,1200,2,24.769999999999953,0,0,1200,400,120,0
6.594,2120844,3090.0,296,3175,1,800,800,2,24.624999999999954,0,0,800,100,145,0
7.942,2121252,1056.0,102,1130,0,200,200,0,6.719999999999988,0,0,200,0,,0
12.376,2121812,3095.0,268,3175,1,1100,1100,2,24.737499999999958,0,0,1100,400,113,0
12.451,2121824,3096.0,272,3175,1,1200,1200,2,24.76999999999995,0,0,1200,400,138,0
12.806,2121920,3090.0,297,3175,1,1200,1200,2,24.72499999999997,0,0,1200,400,130,0
14.159,2122324,3096.0,268,3175,1,900,900,2,24.69499999999996,0,0,900,100,145,0
18.59,2122888,3096.0,269,3175,1,1100,1100,2,24.744999999999955,0,0,1100,400,134,0
19.007,2122992,3095.0,268,3175,1,1100,1100,2,24.737499999999958,0,0,1100,400,113,0
19.007,2122992,3092.0,292,3175,1,1200,1200,2,24.73999999999996,0,0,1200,400,143,0
20.95,2123572,3088.0,312,3175,1,1200,1200,2,24.709999999999972,0,0,1200,400,139,0
24.901,2123960,3096.0,268,3175,1,1600,1600,2,24.869999999999962,0,0,1600,800,88,0
25.296,2124068,3097.0,269,3175,1,1200,1200,2,24.77749999999996,0,0,1200,400,134,0
25.759,2124192,3091.0,300,3175,1,1600,1600,2,24.832499999999968,0,0,1600,800,99,0
27.551,2124724,3091.0,288,3175,1,1200,1200,2,24.732499999999956,0,0,1200,400,117,0
31.585,2125160,3090.0,300,3175,1,900,900,2,24.649999999999977,0,0,900,100,153,0
31.648,2125168,3095.0,275,3175,1,1200,1200,2,24.762499999999946,0,0,1200,400,136,0
32.222,2125332,3094.0,285,3175,1,1600,1600,2,24.854999999999965,0,0,1600,800,103,0
33.801,2125796,3096.0,268,3175,1,1200,1200,2,24.76999999999996,0,0,1200,400,133,0
37.903,2126240,3096.0,268,3175,1,1200,1200,2,24.76999999999996,0,0,1200,400,113,0
38.372,2126372,3090.0,303,3175,1,1200,1200,2,24.72499999999995,0,0,1200,400,125,0
38.678,2126456,3094.0,281,3175,1,1200,1200,2,24.754999999999946,0,0,1200,400,143,0
42.724,2126908,3093.0,278,3175,1,1200,1200,2,24.747499999999956,0,0,1200,400,113,0
44.583,2127448,3096.0,269,3175,1,1200,1200,2,24.769999999999957,0,0,1200,400,134,0
44.583,2127448,3090.0,302,3175,1,1200,1200,2,24.724999999999962,0,0,1200,400,118,0
44.878,2127528,3096.0,268,3175,1,1200,1200,2,24.76999999999996,0,0,1200,400,113,0
49.047,2128024,3095.0,279,3175,1,900,900,2,24.68749999999996,0,0,900,100,145,0
50.704,2128520,3096.0,268,3175,1,1200,1200,2,24.76999999999996,0,0,1200,400,108,0
51.003,2128600,3096.0,268,3175,1,1200,1200,2,24.76999999999996,0,0,1200,400,108,0
51.114,2128624,3092.0,294,3175,1,1200,1200,2,24.739999999999966,0,0,1200,400,142,0
55.017,2129040,1052.0,104,1125,0,200,200,0,6.68999999999999,0,0,200,0,,0
55.352,2129132,3095.0,277,3175,1,1200,1200,2,24.762499999999957,0,0,1200,400,139,0
56.914,2129596,3096.0,269,3175,1,1200,1200,2,24.769999999999957,0,0,1200,400,128,0
57.624,2129800,3090.0,300,3175,1,2800,2800,2,25.12499999999998,0,0,2800,2000,51,0
61.362,2130112,3096.0,268,3175,1,1200,1200,2,24.76999999999996,0,0,1200,400,129,0
61.686,2130204,3096.0,268,3175,1,1200,1200,2,24.76999999999996,0,0,1200,400,128,0
63.234,2130668,3096.0,268,3175,1,1200,1200,2,24.76999999999996,0,0,1200,400,113,0
63.937,2130872,3096.0,268,3175,1,1200,1200,2,24.76999999999996,0,0,1200,400,108,0
67.801,2131252,3091.0,285,3175,1,900,900,2,24.657499999999963,0,0,900,100,158,0
68.418,2131424,3089.0,305,3175,1,1300,1300,2,24.742499999999975,0,0,1300,400,123,0
69.527,2131740,3096.0,268,3175,1,1200,1200,2,24.76999999999996,0,0,1200,400,133,0
70.246,2131944,3096.0,268,3175,1,900,900,2,24.69499999999996,0,0,900,100,145,0
74.143,2132344,3096.0,273,3175,1,900,900,2,24.69499999999996,0,0,900,100,152,0
75.203,2132652,3090.0,307,3175,1,2900,2900,2,25.149999999999963,0,0,2900,2000,69,0
75.761,2132812,3096.0,268,3175,1,1200,1200,2,24.76999999999996,0,0,1200,400,108,0
79.038,2133016,3096.0,268,3175,1,1200,1200,2,24.76999999999996,0,0,1200,400,108,0
80.458,2133416,3096.0,268,3175,1,900,900,2,24.69499999999996,0,0,900,100,145,0
81.599,2133748,3094.0,274,3175,1,1200,1200,2,24.754999999999946,0,0,1200,400,134,0
85.185,2134056,3086.0,311,3175,1,1100,1100,2,24.669999999999952,0,0,1100,400,143,0
86.107,2134320,3084.0,326,3175,1,900,900,2,24.604999999999972,0,0,900,100,150,0
86.132,2134328,655.0,68,722,0,100,100,0,3.6874999999999956,0,0,100,0,,0
86.502,2134440,1946.0,173,2019,0,900,900,2,13.569999999999979,0,0,900,0,,0
86.695,2134488,3096.0,268,3175,1,1200,1200,2,24.76999999999996,0,0,1200,400,113,0
92.501,2135400,3095.0,268,3175,1,800,800,2,24.66249999999996,0,0,800,100,145,0
92.906,2135512,3096.0,268,3175,1,1600,1600,2,24.869999999999962,0,0,1600,800,88,0
93.15,2135576,3096.0,272,3175,1,900,900,2,24.694999999999954,0,0,900,100,145,0
93.213,2135584,3087.0,316,3175,1,1200,1200,2,24.702499999999972,0,0,1200,400,134,0
98.823,2136472,3096.0,268,3175,1,1200,1200,2,24.76999999999996,0,0,1200,400,113,0
99.229,2136588,3097.0,269,3175,1,900,900,2,24.702499999999958,0,0,900,100,153,0
99.87,2136768,3092.0,298,3175,1,1000,1000,2,24.68999999999996,0,0,1000,100,144,0
100.577,2136972,3081.0,347,3175,1,1200,1200,2,24.657499999999985,0,0,1200,400,130,0
105.152,2137548,3097.0,269,3175,1,1200,1200,2,24.777499999999957,0,0,1200,400,137,0
105.595,2137668,3096.0,270,3175,1,1200,1200,2,24.76999999999996,0,0,1200,400,122,0
106.196,2137840,3096.0,268,3175,1,1200,1200,2,24.76999999999996,0,0,1200,400,133,0
106.904,2138044,3095.0,268,3175,1,1100,1100,2,24.737499999999958,0,0,1100,400,113,0
111.854,2138732,3089.0,296,3175,1,2800,2800,2,25.11749999999997,0,0,2800,2000,41,0
111.917,2138740,3096.0,268,3175,1,1200,1200,2,24.76999999999996,0,0,1200,400,113,0
112.52,2138916,3096.0,269,3175,1,900,900,2,24.694999999999958,0,0,900,100,160,0
116.355,2139288,3088.0,311,3175,1,1000,1000,2,24.659999999999982,0,0,1000,100,160,0
118.117,2139804,3095.0,268,3175,1,1100,1100,2,24.737499999999958,0,0,1100,400,113,0
