time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/clip_fraction,rollout/ep_rew_mean,train/loss,train/n_updates,train/clip_range,train/policy_gradient_loss,rollout/ep_len_mean,train/approx_kl,train/entropy_loss,train/value_loss,train/explained_variance,train/learning_rate
2226156,104,167,637,0.002197265625,25.042725,7.679697591811419e-05,8671,0.2,-0.0012382929562591016,270.87,0.00035529095,-0.222008784301579,0.00506122010119725,0.997626781463623,2.5e-05
2227180,105,167,643,0.00439453125,25.06255,-0.0028083976358175278,8675,0.2,-0.002496083252481185,267.09,0.0013448384,-0.22741406224668026,0.0034533518191892654,0.9988052248954773,2.5e-05
2228204,106,167,649,0.004150390625,25.066474999999997,-0.0031060087494552135,8679,0.2,-0.0014669978991150856,266.78,0.00068112055,-0.22500931564718485,0.0023071985560818575,0.9990682005882263,2.5e-05
2229228,107,166,656,0.004638671875,25.058975,-0.00448792427778244,8683,0.2,-0.0026897165225818753,266.79,0.0011225464,-0.23277587536722422,0.013874600117560476,0.9946379661560059,2.5e-05
2230252,108,167,662,0.0029296875,25.050074999999996,0.00840395875275135,8687,0.2,-0.0022499446640722454,267.42,0.0006912445,-0.23082897253334522,0.022535279276780784,0.991083025932312,2.5e-05
2231276,109,166,668,0.019287109375,25.049674999999997,-0.004098693840205669,8691,0.2,-0.0061347751470748335,267.52,0.0043562283,-0.28091886825859547,0.023223471478559077,0.9938454031944275,2.5e-05
2232300,110,166,674,0.010009765625,25.009,0.003407871350646019,8695,0.2,-0.005076662870123982,266.89,0.002859031,-0.23828332219272852,0.012606248608790338,0.9953627586364746,2.5e-05
2233324,111,166,680,0.00146484375,25.01345,0.39920827746391296,8699,0.2,6.709399167448282e-05,266.53,0.0004663815,-0.22989046666771173,0.48263330198824406,0.8471809029579163,2.5e-05
2234348,112,166,686,0.001220703125,24.825800000000005,0.008547772653400898,8703,0.2,-0.002209430676884949,264.89,0.00044537388,-0.23094826098531485,0.027221215539611876,0.9884529113769531,2.5e-05
2235372,113,166,692,0.00048828125,24.634174999999995,0.3910570442676544,8707,0.2,-0.001381792244501412,263.23,0.0004719866,-0.2237400971353054,0.5032323785126209,0.8176643252372742,2.5e-05
2236396,114,166,699,0.0,24.643775000000005,0.16516508162021637,8711,0.2,-0.0003583818906918168,263.18,0.000221477,-0.2629851186648011,0.49358190409839153,0.8297593593597412,2.5e-05
2237420,115,166,705,0.00439453125,24.65585,0.008417265489697456,8715,0.2,-0.0018858652911148965,263.18,0.0011834963,-0.2577601447701454,0.025866916636005044,0.989645779132843,2.5e-05
2238444,116,166,711,0.00390625,24.643075,0.0018502180464565754,8719,0.2,-0.002857478044461459,263.52,0.0011513627,-0.24683307204395533,0.014150783361401409,0.9943391680717468,2.5e-05
2239468,117,166,718,0.008056640625,24.653675000000003,0.007358296774327755,8723,0.2,-0.005361576098948717,263.7,0.0022483207,-0.23399829864501953,0.019373806891962886,0.9933852553367615,2.5e-05
2240492,118,166,724,0.001953125,24.654325000000007,-0.001588622573763132,8727,0.2,-0.0035441818909021094,263.7,0.0005619604,-0.22798896115273237,0.017131792497821152,0.9945125579833984,2.5e-05
2241516,119,166,730,0.004150390625,24.643175,-0.007210253272205591,8731,0.2,-0.002726195933064446,263.83,0.0006990752,-0.20528873056173325,0.0033263768709730357,0.9986571669578552,2.5e-05
2242540,120,166,737,0.00537109375,24.631875000000004,-0.0008665965870022774,8735,0.2,-0.00316673144698143,263.7,0.0013843123,-0.2162441397085786,0.025953040341846645,0.9903770685195923,2.5e-05
2243564,121,166,743,0.008056640625,24.617200000000004,0.0060696713626384735,8739,0.2,-0.004043620312586427,263.7,0.001999339,-0.2389077227562666,0.02117256843484938,0.9928793907165527,2.5e-05
2244588,122,166,749,0.0048828125,24.617225000000005,-0.005116441752761602,8743,0.2,-0.00460314893280156,263.92,0.001181164,-0.20987217780202627,0.0071313740336336195,0.9973646998405457,2.5e-05
2245612,123,166,756,0.008544921875,24.62115000000001,-0.00430492777377367,8747,0.2,-0.0042100713471882045,263.87,0.0015329539,-0.23134754970669746,0.012728611472994089,0.9951846599578857,2.5e-05
2246636,124,166,762,0.008544921875,24.874300000000012,-0.001768290065228939,8751,0.2,-0.003165761154377833,265.76,0.0016346253,-0.24150505755096674,0.008705279731657356,0.9969097971916199,2.5e-05
2247660,125,166,768,0.010498046875,24.88245000000001,-0.0024238205514848232,8755,0.2,-0.0042729516862891614,265.75,0.002178332,-0.2253763172775507,0.009205028181895614,0.9967087507247925,2.5e-05
2248684,126,166,775,0.0087890625,24.895150000000005,-0.0017503832932561636,8759,0.2,-0.00359747267793864,265.26,0.0022999353,-0.22192089166492224,0.010552856023423374,0.9958319664001465,2.5e-05
2249708,127,166,781,0.011474609375,25.14785000000001,-0.010976610705256462,8763,0.2,-0.005220081307925284,267.66,0.0020769283,-0.2516814395785332,0.008279452711576596,0.9970569610595703,2.5e-05
2250732,128,166,787,0.00341796875,25.148175000000005,0.004276422783732414,8767,0.2,-0.0029971639160066843,267.66,0.0016638602,-0.22343278024345636,0.004636574143660255,0.9981271028518677,2.5e-05
2251756,129,166,794,0.00244140625,25.137325000000004,-0.0056191300973296165,8771,0.2,-0.0036413616326171905,267.68,0.00067974353,-0.2271940242499113,0.0025045791480806656,0.9984496831893921,2.5e-05
2252780,130,166,800,0.0048828125,25.137325,-0.0050257230177521706,8775,0.2,-0.0027230478008277714,267.68,0.0014868039,-0.2320867646485567,0.010736885131336749,0.9957882165908813,2.5e-05
2253804,131,166,806,0.0078125,24.658875000000002,-0.003608287312090397,8779,0.2,-0.0025443294580327347,263.22,0.0017200271,-0.22787799034267664,0.003324039207655005,0.9986936450004578,2.5e-05
2254828,132,166,812,0.00390625,24.668450000000007,0.6398604512214661,8783,0.2,-0.001395170547766611,263.1,0.000797393,-0.2410980686545372,1.3226558454334736,0.6120824813842773,2.5e-05
2255852,133,166,819,0.003173828125,24.675300000000004,-0.002503012539818883,8787,0.2,-0.0017952843918465078,263.09,0.00050307397,-0.22967234067618847,0.010319411056116223,0.9971608519554138,2.5e-05
2256876,134,166,825,0.002685546875,24.695625000000003,-0.002350908238440752,8791,0.2,-0.002366631480981596,262.45,0.0007583785,-0.2240650374442339,0.005698600682080723,0.9978762269020081,2.5e-05
2257900,135,166,831,0.0029296875,24.50347500000001,-0.006471947301179171,8795,0.2,-0.002559469372499734,260.68,0.0011154823,-0.2219467544928193,0.004319160434533842,0.9987141489982605,2.5e-05
2258924,136,166,837,0.004638671875,24.684425,0.2270490676164627,8799,0.2,-0.0015400719130411744,262.29,0.000793954,-0.21756657678633928,0.4663781560957432,0.8287916779518127,2.5e-05
