decision,raw_frames,x,y,max_x,action,action_name,prob_0,prob_1,prob_2,prob_3,prob_4,action_entropy_nats,native_reward,native_reward_sum,no_progress_decisions,life,game_time,flag_get,terminated,truncated
1,4,40,93,40,4,right+A+B,0.0011791721917688847,0.0016996401827782393,0.38190096616744995,0.14990408718585968,0.46531611680984497,1.0268723964691162,0.0,0.0,1,2,400,0,0,0
2,8,42,109,42,2,right+A,0.0011480507673695683,0.001653281389735639,0.38274693489074707,0.1451530009508133,0.46929875016212463,1.0211164951324463,2.0,2.0,0,2,400,0,0,0
3,12,44,122,44,4,right+A+B,0.0011337309842929244,0.0016372360987588763,0.38258281350135803,0.14384935796260834,0.47079676389694214,1.019368290901184,2.0,4.0,0,2,400,0,0,0
4,16,48,132,48,4,right+A+B,0.0011981914285570383,0.0017292972188442945,0.38249027729034424,0.1477380096912384,0.4668441712856293,1.0247962474822998,4.0,8.0,0,2,400,0,0,0
5,20,53,139,53,4,right+A+B,0.0012223200174048543,0.0017699162708595395,0.3810671269893646,0.15165318548679352,0.4642874002456665,1.0293269157409668,4.0,12.0,0,2,399,0,0,0
6,24,58,142,58,4,right+A+B,0.0012265368131920695,0.0017701800679787993,0.3794892728328705,0.15253782272338867,0.46497610211372375,1.0300250053405762,5.0,17.0,0,2,399,0,0,0
7,28,65,143,65,4,right+A+B,0.0011111489729955792,0.0016051048878580332,0.38527345657348633,0.14689016342163086,0.4651200771331787,1.0231373310089111,7.0,24.0,0,2,399,0,0,0
8,32,72,136,72,3,right+B,0.0010143296094611287,0.0014774068258702755,0.3830054998397827,0.14163020253181458,0.4728725552558899,1.0151631832122803,7.0,31.0,0,2,399,0,0,0
9,36,79,119,79,2,right+A,0.0010880809277296066,0.001584857003763318,0.38470375537872314,0.14449796080589294,0.4681253731250763,1.019988775253296,7.0,38.0,0,2,399,0,0,0
10,40,86,99,86,4,right+A+B,0.001049840939231217,0.0015281301457434893,0.38638782501220703,0.1409309208393097,0.47010329365730286,1.0155177116394043,6.0,44.0,0,2,398,0,0,0
11,44,93,79,93,4,right+A+B,0.0011397175258025527,0.0016566463746130466,0.381984144449234,0.1486273556947708,0.4665921926498413,1.0249570608139038,7.0,51.0,0,2,398,0,0,0
12,48,101,79,101,4,right+A+B,0.0011941716074943542,0.001710787182673812,0.3875714838504791,0.14512860774993896,0.4643949270248413,1.022615909576416,8.0,59.0,0,2,398,0,0,0
13,52,111,79,111,4,right+A+B,0.0012315047206357121,0.0017265924252569675,0.3880757689476013,0.13604018092155457,0.47292599081993103,1.0120776891708374,10.0,69.0,0,2,398,0,0,0
14,56,122,79,122,4,right+A+B,0.0012563330819830298,0.0017563223373144865,0.36703017354011536,0.152626633644104,0.4773305356502533,1.027322769165039,11.0,80.0,0,2,398,0,0,0
15,60,134,79,134,4,right+A+B,0.0015820094849914312,0.0022044081706553698,0.35552486777305603,0.18301977217197418,0.4576690196990967,1.0598725080490112,11.0,91.0,0,2,397,0,0,0
16,64,146,79,146,3,right+B,0.0016084326198324561,0.0022082102950662374,0.3261668086051941,0.23314344882965088,0.43687307834625244,1.0905309915542603,12.0,103.0,0,2,397,0,0,0
17,68,158,97,158,4,right+A+B,0.001775463460944593,0.0024283244274556637,0.33527299761772156,0.26679179072380066,0.3937314450740814,1.1117548942565918,12.0,115.0,0,2,397,0,0,0
18,72,170,117,170,4,right+A+B,0.0021169392857700586,0.0029535284265875816,0.3231670558452606,0.31534427404403687,0.3564181923866272,1.1269187927246094,12.0,127.0,0,2,397,0,0,0
