time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/approx_kl,train/clip_fraction,train/loss,train/value_loss,train/entropy_loss,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/clip_range,train/explained_variance
1182756,211.45,184,660,17.8416,119,0.0041747307,0.025634765625,0.21329373121261597,0.6556796319782734,-0.5816335305571556,0.0001,4608,-0.00663831815472804,0.2,0.8676514029502869
1183780,214.51,184,666,18.0542,120,0.0030119722,0.017333984375,0.279997318983078,0.7370821163058281,-0.4828083496540785,0.0001,4612,-0.0020605982281267643,0.2,0.7197381258010864
1184804,213.88,184,672,18.005899999999997,121,0.004802523,0.01953125,0.3719596862792969,0.825501099228859,-0.5921114161610603,0.0001,4616,-0.002137197880074382,0.2,0.8247409462928772
1185828,215.03,184,677,18.053299999999997,122,0.006060865,0.029296875,0.3456340432167053,0.6876245364546776,-0.5123108103871346,0.0001,4620,-0.00481927307555452,0.2,0.7813913226127625
1186852,219.63,184,683,18.3541,123,0.005450844,0.02685546875,0.28477415442466736,0.6661049481481314,-0.6421744488179684,0.0001,4624,-0.0041441075736656785,0.2,0.8845617175102234
1187876,227.11,184,688,18.6636,124,0.010141628,0.09619140625,0.151888906955719,0.45215023681521416,-0.5755883604288101,0.0001,4628,-0.003827386593911797,0.2,0.898747444152832
1188900,228.87,184,694,18.691600000000005,125,0.008181708,0.05419921875,0.1797683984041214,0.5625840481370687,-0.726149320602417,0.0001,4632,-0.010490582761121914,0.2,0.915574848651886
1189924,229.98,184,700,18.8489,126,0.011455249,0.06591796875,0.31703323125839233,0.6871835086494684,-0.6356210224330425,0.0001,4636,-0.006851392507087439,0.2,0.8429555892944336
1190948,230.46,184,705,18.9174,127,0.0050355783,0.02783203125,0.19201625883579254,0.4907093048095703,-0.5737030133605003,0.0001,4640,-0.0050902863149531186,0.2,0.901567280292511
1191972,231.07,184,711,19.0249,128,0.0049394295,0.034912109375,0.10498880594968796,0.30092255771160126,-0.5673231557011604,0.0001,4644,-0.0056084969255607575,0.2,0.906686007976532
1192996,226.01,184,717,18.633699999999997,129,0.009313304,0.052001953125,0.2189760059118271,0.5313666891306639,-0.6134234257042408,0.0001,4648,-0.0036434520879993215,0.2,0.9013797044754028
1194020,228.65,184,722,18.7855,130,0.006617755,0.032470703125,0.4833337962627411,0.8463696092367172,-0.641464252024889,0.0001,4652,-0.0033971110242418945,0.2,0.8364055752754211
1195044,227.05,184,728,18.6794,131,0.013773147,0.094970703125,0.31185856461524963,0.6822186335921288,-0.6221159882843494,0.0001,4656,-0.005342936245142482,0.2,0.8563281297683716
1196068,230.43,184,733,18.7608,132,0.0045753997,0.022705078125,0.38740789890289307,1.0261314027011395,-0.5819920487701893,0.0001,4660,-0.004336012192652561,0.2,0.7330316305160522
1197092,228.58,184,739,18.755899999999997,133,0.00750856,0.046630859375,0.22096893191337585,0.636770848184824,-0.6490812078118324,0.0001,4664,-0.007978893103427254,0.2,0.8577150106430054
1198116,232.89,184,745,18.9884,134,0.005291625,0.03076171875,0.11722129583358765,0.453219898045063,-0.5615313276648521,0.0001,4668,-0.004123436228837818,0.2,0.8901388049125671
1199140,231.48,184,750,18.8187,135,0.0057730777,0.034423828125,0.2864188551902771,0.6365716215223074,-0.5568649955093861,0.0001,4672,-0.00478295044740662,0.2,0.8979990482330322
1200164,234.24,184,756,18.984500000000004,136,0.007993366,0.051513671875,0.2762264311313629,0.6921206079423428,-0.5676571018993855,0.0001,4676,-0.011086423794040456,0.2,0.7790265083312988
1201188,230.17,184,761,18.6494,137,0.0055820243,0.037841796875,0.12724357843399048,0.39999882876873016,-0.6541191376745701,0.0001,4680,-0.0053732687956653535,0.2,0.9181222915649414
1202212,230.58,184,767,18.860000000000003,138,0.007846372,0.039794921875,0.3970601558685303,0.9047045931220055,-0.4861229248344898,0.0001,4684,-0.0033649777178652585,0.2,0.7719605565071106
1203236,231.14,184,773,18.9609,139,0.0071520517,0.067138671875,0.26451340317726135,0.6967712007462978,-0.5250897649675608,0.0001,4688,-0.0013235573132988065,0.2,0.8414589166641235
1204260,235.83,184,778,19.189200000000003,140,0.0066519333,0.07177734375,0.2582910656929016,0.58223488740623,-0.5287258252501488,0.0001,4692,-0.002998199313879013,0.2,0.8442658185958862
1205284,233.68,184,784,18.8065,141,0.0052775005,0.02978515625,0.38474518060684204,0.9171043038368225,-0.5778373517096043,0.0001,4696,-0.00358008686453104,0.2,0.7899476885795593
1206308,234.77,184,789,18.876,142,0.008578146,0.07373046875,0.45970311760902405,1.2107758671045303,-0.580829069018364,0.0001,4700,-0.00018966033530887216,0.2,0.6221915483474731
1207332,236.74,184,795,18.9511,143,0.00759799,0.037109375,0.17393739521503448,0.5924194231629372,-0.6163344383239746,0.0001,4704,-0.0023574678343720734,0.2,0.852037787437439
