rollout/ep_len_mean,time/iterations,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/value_loss,train/clip_fraction,train/entropy_loss,train/clip_range,train/loss,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/learning_rate,train/n_updates
74.66666666666667,1,1024,3,3.748333333333333,303,,,,,,,,,,
104.625,2,2048,10,4.87125,203,0.7736272532492876,0.02978515625,-1.6044623479247093,0.2,0.0910576581954956,-0.005479070503497496,0.0070424415,-0.028064608573913574,0.00025,4
165.83333333333334,3,3072,16,6.053333333333335,185,0.0910977185703814,0.0,-1.600088469684124,0.2,0.01228261087089777,-0.0007839296013116837,0.0017351988,0.3188035488128662,0.00025,8
173.66666666666666,4,4096,22,6.428000000000001,180,0.2182127251289785,0.0,-1.590561293065548,0.2,0.06307800859212875,-0.001667509350227192,0.0047635026,0.6117492318153381,0.00025,12
211.6,5,5120,28,6.311999999999999,177,0.23687376081943512,0.0,-1.5558610185980797,0.2,0.0777493491768837,-0.0010599028319120407,0.0062400033,0.6922286748886108,0.00025,16
192.83333333333334,6,6144,34,6.307666666666668,175,0.28703687246888876,0.03857421875,-1.5160948112607002,0.2,0.15507104992866516,-0.0047536369966110215,0.01027807,0.6240800023078918,0.00025,20
188.7058823529412,7,7168,40,6.353823529411764,174,0.5780879706144333,0.013916015625,-1.5291393250226974,0.2,0.21984738111495972,-0.0011899850069312379,0.0088766925,0.4168417453765869,0.00025,24
187.53658536585365,8,8192,47,6.628292682926829,174,0.3288702256977558,0.2001953125,-1.4823315814137459,0.2,0.1279742419719696,-0.007435521460138261,0.012043916,0.5721754431724548,0.00025,28
172.13725490196077,9,9216,53,6.51764705882353,173,0.6184128876775503,0.0,-1.4932082518935204,0.2,0.2839128375053406,-0.0005036690272390842,0.002368368,0.4996830224990845,0.00025,32
171.8421052631579,10,10240,59,6.951052631578948,173,0.5123970080167055,0.120849609375,-1.4713293388485909,0.2,0.26296600699424744,-0.002459917013766244,0.007916863,0.5630432367324829,0.00025,36
168.83333333333334,11,11264,65,7.028333333333333,172,0.5055940020829439,0.018310546875,-1.4931129217147827,0.2,0.18055620789527893,-0.0004775901325047016,0.006675374,0.5753543376922607,0.00025,40
