decision,raw_frames,x,y,max_x,action,action_name,prob_0,prob_1,prob_2,prob_3,prob_4,action_entropy_nats,native_reward,native_reward_sum,no_progress_decisions,life,game_time,flag_get,terminated,truncated
1,4,40,79,40,3,right+B,1.4978017134126276e-05,0.001981252571567893,0.0405006967484951,0.8869702219963074,0.07053285092115402,0.43577760457992554,0.0,0.0,1,2,400,0,0,0
2,8,43,79,43,3,right+B,1.4989229384809732e-05,0.0019811633974313736,0.04070750251412392,0.8873769640922546,0.0699193999171257,0.43485885858535767,3.0,3.0,0,2,400,0,0,0
3,12,47,79,47,3,right+B,1.4715047655045055e-05,0.0019525261595845222,0.03976963087916374,0.8904389142990112,0.06782419979572296,0.4264189898967743,4.0,7.0,0,2,400,0,0,0
4,16,52,93,52,2,right+A,1.4353204278449994e-05,0.0019147336715832353,0.03893786668777466,0.8932926058769226,0.06584035605192184,0.41844719648361206,5.0,12.0,0,2,400,0,0,0
5,20,59,108,59,3,right+B,1.5632089343853295e-05,0.0020799865014851093,0.046536535024642944,0.8663248419761658,0.08504308760166168,0.48967990279197693,6.0,18.0,0,2,399,0,0,0
6,24,66,114,66,3,right+B,1.8197833924205042e-05,0.0023070492316037416,0.051878124475479126,0.8485655188560486,0.09723109751939774,0.5336607694625854,7.0,25.0,0,2,399,0,0,0
7,28,73,112,73,3,right+B,1.6797062926343642e-05,0.002220161957666278,0.05260631814599037,0.8476487994194031,0.09750796109437943,0.535759687423706,7.0,32.0,0,2,399,0,0,0
8,32,80,100,80,3,right+B,1.599773167981766e-05,0.0021539919544011354,0.050371285527944565,0.8581956624984741,0.089262954890728,0.5108416080474854,7.0,39.0,0,2,399,0,0,0
9,36,87,79,87,3,right+B,1.541017809358891e-05,0.0020841206423938274,0.047011181712150574,0.8654428720474243,0.08544639497995377,0.49202263355255127,7.0,46.0,0,2,399,0,0,0
10,40,95,79,95,3,right+B,1.562605393701233e-05,0.0020884303376078606,0.047098685055971146,0.8693001866340637,0.08149706572294235,0.4830605089664459,7.0,53.0,0,2,398,0,0,0
11,44,105,97,105,4,right+A+B,1.821571095206309e-05,0.002455576555803418,0.09054665267467499,0.7593746781349182,0.14760488271713257,0.7238638997077942,10.0,63.0,0,2,398,0,0,0
12,48,116,115,116,3,right+B,1.7747635865816846e-05,0.0025203581899404526,0.14214305579662323,0.5869131088256836,0.2684056758880615,0.9583595991134644,11.0,74.0,0,2,398,0,0,0
13,52,128,121,128,3,right+B,1.8726117559708655e-05,0.0025970390997827053,0.12227035313844681,0.6199254989624023,0.25518837571144104,0.9175639748573303,12.0,86.0,0,2,398,0,0,0
14,56,140,114,140,3,right+B,1.3637270967592485e-05,0.002081165788695216,0.07498519867658615,0.805269718170166,0.11765029281377792,0.633430004119873,12.0,98.0,0,2,398,0,0,0
15,60,152,94,152,3,right+B,7.880329576437362e-06,0.0012509506195783615,0.02447214163839817,0.9401441216468811,0.034124936908483505,0.27254337072372437,11.0,109.0,0,2,397,0,0,0
16,64,164,79,164,4,right+A+B,2.936597638836247e-06,0.000540374661795795,0.00687818368896842,0.9848677515983582,0.0077107627876102924,0.09088302403688431,12.0,121.0,0,2,397,0,0,0
17,68,176,79,176,3,right+B,9.71402982941072e-07,0.0001944371178979054,0.0014246986247599125,0.9973825812339783,0.0009973135311156511,0.02051789127290249,12.0,133.0,0,2,397,0,0,0
18,72,188,79,188,3,right+B,4.349944049408805e-07,9.893994138110429e-05,0.00043564889347180724,0.9990804195404053,0.00038454539026133716,0.00823286734521389,12.0,145.0,0,2,397,0,0,0
19,76,200,79,200,3,right+B,9.069404995898367e-07,0.00017058689263649285,0.0007975523476488888,0.9978917241096497,0.001139286789111793,0.017009764909744263,12.0,157.0,0,2,397,0,0,0
20,80,212,79,212,3,right+B,8.33949616207974e-06,0.0011535658268257976,0.03825327381491661,0.8743849396705627,0.08619986474514008,0.4613977372646332,11.0,168.0,0,2,396,0,0,0
21,84,224,97,224,4,right+A+B,2.5560659651091555e-06,0.00028399366419762373,0.338011234998703,0.016091443598270416,0.6456107497215271,0.7179263234138489,12.0,180.0,0,2,396,0,0,0
22,88,236,117,236,4,right+A+B,2.94569588277227e-07,2.832473001035396e-05,0.46958571672439575,0.00018648852710612118,0.5301991105079651,0.6932774186134338,12.0,192.0,0,2,396,0,0,0
