decision,raw_frames,x,y,max_x,action,action_name,prob_0,prob_1,prob_2,prob_3,prob_4,action_entropy_nats,native_reward,native_reward_sum,no_progress_decisions,life,game_time,flag_get,terminated,truncated,game_score,score_gain,coins
78,312,776,141,776,3,right+B,2.4586429390183184e-06,2.867508192139212e-05,0.00021982939506415278,0.9943845272064209,0.005364508833736181,0.03582844138145447,12.0,722.0,0,2,385,0,0,0,100,100,0
79,316,788,126,788,2,right+A,2.915214281529188e-05,0.00019535991305019706,0.06511854380369186,0.08153752982616425,0.8531193137168884,0.5197597146034241,12.0,734.0,0,2,385,0,0,0,100,100,0
80,320,800,106,800,2,right+A,1.5924262697808444e-05,9.269527799915522e-05,0.075325146317482,0.027819009497761726,0.8967471718788147,0.3932003080844879,11.0,745.0,0,2,384,0,0,0,100,100,0
81,324,812,86,812,3,right+B,2.8837639547418803e-05,0.00021201993513386697,0.028096407651901245,0.6734675168991089,0.2981951832771301,0.7295090556144714,12.0,757.0,0,2,384,0,0,0,100,100,0
82,328,824,97,824,3,right+B,6.955815479159355e-06,6.269734149100259e-05,0.005783035419881344,0.9195852279663086,0.07456208020448685,0.3011520504951477,12.0,769.0,0,2,384,0,0,0,100,100,0
83,332,836,95,836,3,right+B,1.5511494666498038e-07,2.6882235033554025e-06,6.732841029588599e-06,0.9997832179069519,0.00020714820129796863,0.0020905747078359127,13.0,782.0,0,2,384,0,0,0,200,200,0
84,336,848,81,848,3,right+B,1.6184232265459286e-07,3.7986733332218137e-06,1.0388596820121165e-05,0.9997093081474304,0.00027631220291368663,0.002724030986428261,12.0,794.0,0,2,384,0,0,0,200,200,0
85,340,860,97,860,2,right+A,1.470617553422926e-05,0.00020764056534972042,0.1141217052936554,0.1923913061618805,0.6932646036148071,0.8207012414932251,11.0,805.0,0,2,383,0,0,0,200,200,0
86,344,872,117,872,4,right+A+B,1.8781297228542826e-07,1.226814902111073e-06,0.11184359341859818,5.886055987502914e-06,0.888149082660675,0.35044947266578674,12.0,817.0,0,2,383,0,0,0,200,200,0
87,348,884,133,884,4,right+A+B,4.45583836494734e-08,1.9675479734360124e-07,0.04327217489480972,1.431772602700221e-07,0.9567275047302246,0.1782132387161255,12.0,829.0,0,2,383,0,0,0,200,200,0
88,352,896,147,896,4,right+A+B,6.624410389122204e-07,6.075913461245364e-06,0.14651095867156982,2.8295815354795195e-05,0.8534539341926575,0.41701745986938477,12.0,841.0,0,2,383,0,0,0,200,200,0
89,356,908,156,908,4,right+A+B,8.632121534901671e-06,0.00014788410044275224,0.04625934362411499,0.020417379215359688,0.9331667423248291,0.2875826060771942,12.0,853.0,0,2,383,0,0,0,200,200,0
90,360,920,160,920,3,right+B,1.4775527006349876e-06,6.479590228991583e-05,0.00011206378258066252,0.9955247640609741,0.004296980798244476,0.029547054320573807,11.0,864.0,0,2,382,0,0,0,200,200,0
91,364,932,152,932,3,right+B,1.823514423904271e-07,1.3134857908880804e-05,3.965950327255996e-06,0.9998742341995239,0.00010851553815882653,0.0013162621762603521,12.0,876.0,0,2,382,0,0,0,200,200,0
92,368,944,143,944,3,right+B,1.0050133880668e-07,9.696648703538813e-06,2.3814156975277e-06,0.9999651908874512,2.2704965886077844e-05,0.00042245633085258305,12.0,888.0,0,2,382,0,0,0,200,200,0
93,372,956,135,956,3,right+B,2.1971673902498878e-07,1.4893315892550163e-05,9.112935003940947e-06,0.9998371601104736,0.00013859430328011513,0.0016689826734364033,12.0,900.0,0,2,382,0,0,0,200,200,0
