decision,raw_frames,x,y,max_x,action,action_name,prob_0,prob_1,prob_2,prob_3,prob_4,action_entropy_nats,native_reward,native_reward_sum,no_progress_decisions,life,game_time,flag_get,terminated,truncated
1,4,40,79,40,3,right+B,1.9626293124019867e-06,9.418433182872832e-05,0.00028051287517882884,0.9993844032287598,0.00023884023539721966,0.005800742655992508,0.0,0.0,1,2,400,0,0,0
2,8,43,79,43,3,right+B,1.9459935174381826e-06,9.376366506330669e-05,0.0002840754168573767,0.9993816614151001,0.00023856414190959185,0.0058234441094100475,3.0,3.0,0,2,400,0,0,0
3,12,47,79,47,3,right+B,1.8981090761371888e-06,9.192093421006575e-05,0.00027638484607450664,0.9993952512741089,0.000234518462093547,0.00570835592225194,4.0,7.0,0,2,400,0,0,0
4,16,53,79,53,3,right+B,1.7768318230082514e-06,8.639493171358481e-05,0.00025845060008578,0.9994280934333801,0.00022528601402882487,0.005430758465081453,6.0,13.0,0,2,400,0,0,0
5,20,60,79,60,3,right+B,2.134659098373959e-06,9.825263259699568e-05,0.0003529764071572572,0.9992389678955078,0.00030764637631364167,0.006989123299717903,6.0,19.0,0,2,399,0,0,0
6,24,70,79,70,3,right+B,1.9323185824760003e-06,9.145035437541083e-05,0.00033876480301842093,0.9992714524269104,0.00029636643012054265,0.006718416698276997,10.0,29.0,0,2,399,0,0,0
7,28,81,79,81,3,right+B,2.1508233203348937e-06,0.00010026544623542577,0.00040825383621267974,0.9991466999053955,0.0003426324110478163,0.007723762653768063,11.0,40.0,0,2,399,0,0,0
8,32,93,79,93,3,right+B,2.3281850189960096e-06,0.00010664699220797047,0.0004734853864647448,0.9990298748016357,0.00038768688682466745,0.00864560529589653,12.0,52.0,0,2,399,0,0,0
9,36,105,79,105,3,right+B,8.28775591799058e-06,0.00033197071752510965,0.0033313720487058163,0.9937406182289124,0.0025877859443426132,0.04341460019350052,12.0,64.0,0,2,399,0,0,0
10,40,117,79,117,3,right+B,5.784905079053715e-05,0.0017033026088029146,0.1039121150970459,0.8037469387054443,0.09057982265949249,0.6398270130157471,11.0,75.0,0,2,398,0,0,0
11,44,129,97,129,2,right+A,4.2215982830384746e-05,0.0007857981836423278,0.5139368772506714,0.04305264726281166,0.4421825110912323,0.8443973064422607,12.0,87.0,0,2,398,0,0,0
12,48,141,117,141,4,right+A+B,4.9260732339462265e-05,0.0008937022066675127,0.4776245057582855,0.057567186653614044,0.46386533975601196,0.8803598284721375,12.0,99.0,0,2,398,0,0,0
13,52,153,133,153,2,right+A,5.62266941415146e-05,0.001858161180280149,0.10932672768831253,0.824442446231842,0.06431632488965988,0.5898572206497192,12.0,111.0,0,2,398,0,0,0
14,56,165,145,165,3,right+B,8.077216079982463e-06,0.0003001790028065443,0.0047205532900989056,0.9913374185562134,0.003633837914094329,0.05684995278716087,12.0,123.0,0,2,398,0,0,0
15,60,177,144,177,3,right+B,1.4919538671165355e-06,5.839016012032516e-05,0.0002948211913462728,0.9991948008537292,0.0004505293327383697,0.007262440398335457,11.0,134.0,0,2,397,0,0,0
16,64,189,129,189,3,right+B,4.942246505379444e-07,2.1237898181425408e-05,7.158076914492995e-05,0.9997181296348572,0.0001885317760752514,0.002818008651956916,12.0,146.0,0,2,397,0,0,0
17,68,201,109,201,3,right+B,2.158442384825321e-06,4.77775429317262e-05,0.0006265580304898322,0.9952750205993652,0.004048442468047142,0.03214268013834953,12.0,158.0,0,2,397,0,0,0
18,72,213,89,213,2,right+A,1.0077787010231987e-05,9.100689931074157e-05,0.12283521890640259,0.05322394147515297,0.8238397240638733,0.5742995142936707,12.0,170.0,0,2,397,0,0,0
19,76,225,79,225,4,right+A+B,6.577844942512456e-06,5.168953794054687e-05,0.13207469880580902,0.013241446577012539,0.8546255826950073,0.4594748616218567,12.0,182.0,0,2,397,0,0,0
20,80,237,79,237,4,right+A+B,3.6043136333319126e-06,2.5110064598266035e-05,0.42546144127845764,0.0010049516567960382,0.5735048651695251,0.6897016167640686,11.0,193.0,0,2,396,0,0,0
21,84,249,79,249,4,right+A+B,2.1051373551017605e-06,1.3346063497010618e-05,0.3606742024421692,0.0001350648090010509,0.6391752362251282,0.6552689075469971,12.0,205.0,0,2,396,0,0,0
