time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/fps,time/time_elapsed,train/explained_variance,train/n_updates,train/policy_gradient_loss,train/clip_fraction,train/approx_kl,train/value_loss,train/entropy_loss,train/loss,train/clip_range,train/learning_rate
1,25.044900000000002,272.44,1388416,324,3,,,,,,,,,,
2,25.435299999999998,278.55,1389440,223,9,0.920171320438385,5412,-0.007659311522729695,0.07080078125,0.01690659,0.38256305269896984,-0.5155854802578688,0.12525808811187744,0.2,0.0001
3,25.3314,277.41,1390464,205,14,0.9339707493782043,5416,-0.004428365995408967,0.036376953125,0.0046197353,0.5417840126901865,-0.644710186868906,0.18908162415027618,0.2,0.0001
4,25.1823,275.03,1391488,198,20,0.8468571901321411,5420,-0.0012739866215270013,0.09033203125,0.013592534,1.0580916963517666,-0.6374699510633945,0.37667006254196167,0.2,0.0001
5,25.246100000000006,275.16,1392512,191,26,0.9079974293708801,5424,-0.0014965631708037108,0.09326171875,0.0036615261,0.5564698502421379,-0.6162616424262524,0.24560661613941193,0.2,0.0001
6,25.471000000000004,283.2,1393536,190,32,0.9629961252212524,5428,-0.005445809860248119,0.07421875,0.0072874054,0.2140484480187297,-0.8066451996564865,0.05207959562540054,0.2,0.0001
7,25.42,282.18,1394560,187,38,0.9643641114234924,5432,-0.00463570689316839,0.0517578125,0.005119104,0.26017546374350786,-0.7933190017938614,0.07366645336151123,0.2,0.0001
8,25.4432,284.41,1395584,186,43,0.930597722530365,5436,-0.005563055485254154,0.034423828125,0.005958261,0.30364092253148556,-0.5491521880030632,0.09326979517936707,0.2,0.0001
9,25.5539,286.41,1396608,185,49,0.9636408686637878,5440,-0.0056815166608430445,0.037353515625,0.005833053,0.30504426173865795,-0.5845019146800041,0.14656223356723785,0.2,0.0001
10,25.701,288.15,1397632,184,55,0.9415520429611206,5444,-0.009314914408605546,0.045654296875,0.008081838,0.4268275052309036,-0.56978964433074,0.12757837772369385,0.2,0.0001
11,25.7008,288.19,1398656,183,61,0.9629515409469604,5448,-0.008836215827614069,0.069580078125,0.011335774,0.22705295123159885,-0.7380691356956959,0.0542101226747036,0.2,0.0001
12,25.773000000000003,288.88,1399680,183,67,0.982636570930481,5452,-0.004370436392491683,0.031982421875,0.0068772454,0.0992173608392477,-0.6922357678413391,0.009023735299706459,0.2,0.0001
13,25.685499999999994,289.46,1400704,182,72,0.9631094932556152,5456,-0.004047732101753354,0.0546875,0.0051395204,0.27394462190568447,-0.6755239106714725,0.10733795166015625,0.2,0.0001
14,25.5213,288.21,1401728,182,78,0.8639119863510132,5460,-0.000740588060580194,0.01904296875,0.0031012488,0.9436862487345934,-0.6927369087934494,0.5268194079399109,0.2,0.0001
15,25.424800000000005,287.13,1402752,182,84,0.8885335326194763,5464,-0.0008891079050954431,0.040283203125,0.004897235,0.6682328842580318,-0.685029998421669,0.15472182631492615,0.2,0.0001
16,25.6074,291.34,1403776,181,90,0.9352803826332092,5468,-0.007591284113004804,0.067626953125,0.0057893842,0.23533018864691257,-0.6902901865541935,0.050523579120635986,0.2,0.0001
17,25.469,289.57,1404800,181,95,0.9609854221343994,5472,-0.003510101872961968,0.06103515625,0.008201198,0.22774389293044806,-0.5997644104063511,0.05569172650575638,0.2,0.0001
18,25.400199999999998,288.44,1405824,181,101,0.9632058143615723,5476,-0.011714354579453357,0.044189453125,0.008292938,0.2528021624311805,-0.6424218900501728,0.07020482420921326,0.2,0.0001
