elapsed_seconds,timesteps,return,length,max_x,completed
1.71,1387948,1440.0,139,1513,0
6.273,1388548,2369.0,289,2472,0
6.342,1388568,2368.0,294,2471,0
6.86,1388712,3076.0,330,3161,1
8.154,1389128,1595.0,140,1671,0
9.112,1389420,3077.0,368,3161,1
11.914,1389528,252.0,27,315,0
12.709,1389784,1718.0,164,1791,0
13.681,1390088,3073.0,385,3161,1
14.06,1390200,3073.0,372,3161,1
17.634,1390544,1866.0,190,1959,0
18.015,1390668,1600.0,145,1674,0
18.015,1390668,3084.0,285,3161,1
23.221,1391492,2386.0,237,2472,0
23.426,1391556,2384.0,222,2473,0
24.986,1392008,3084.0,335,3161,1
29.321,1392556,2677.0,266,2759,0
30.411,1392912,3075.0,339,3161,1
31.567,1393288,3076.0,320,3161,1
31.871,1393388,2273.0,797,2470,0
34.883,1393544,2385.0,247,2469,0
35.207,1393648,1868.0,184,1960,0
41.3,1394748,2658.0,301,2765,0
41.608,1394848,3078.0,365,3161,1
42.145,1395024,3074.0,344,3161,1
42.194,1395040,3062.0,438,3161,1
43.818,1395540,1945.0,173,2019,0
47.348,1395860,2372.0,278,2472,0
48.261,1396152,2373.0,282,2474,0
48.368,1396184,1745.0,161,1818,0
48.731,1396296,3082.0,314,3161,1
53.637,1397048,2378.0,224,2469,0
54.342,1397256,3072.0,349,3161,1
55.522,1397624,3071.0,360,3161,1
58.846,1397884,3064.0,397,3161,1
60.299,1398344,3078.0,324,3161,1
64.192,1398788,3067.0,383,3161,1
64.775,1398972,3085.0,337,3161,1
65.392,1399172,3078.0,322,3161,1
66.239,1399448,1738.0,165,1818,0
70.031,1399824,3079.0,370,3161,1
70.495,1399976,2373.0,251,2468,0
70.841,1400088,247.0,28,310,0
72.109,1400488,2375.0,260,2471,0
72.479,1400608,3070.0,359,3161,1
76.04,1400940,742.0,113,820,0
77.356,1401368,3064.0,386,3161,1
77.382,1401376,3078.0,322,3161,1
81.026,1401736,1854.0,199,1951,0
81.063,1401748,2659.0,285,2763,0
87.017,1402804,2356.0,357,2472,0
87.454,1402948,3064.0,395,3161,1
87.501,1402964,3082.0,304,3161,1
87.817,1403068,3076.0,333,3161,1
90.171,1403756,2383.0,238,2475,0
93.374,1403992,2381.0,231,2473,0
93.584,1404056,2378.0,273,2467,0
94.902,1404460,3076.0,378,3161,1
99.104,1404976,3082.0,305,3161,1
99.165,1404996,2377.0,251,2473,0
100.505,1405428,3075.0,343,3161,1
101.687,1405804,3074.0,336,3161,1
105.187,1406108,2377.0,278,2467,0
105.68,1406268,3078.0,323,3161,1
107.39,1406820,3074.0,348,3161,1
110.832,1407120,3076.0,329,3161,1
111.095,1407208,2370.0,275,2469,0
112.83,1407768,3069.0,375,3161,1
117.364,1408416,3073.0,399,3161,1
117.377,1408420,3079.0,325,3161,1
117.767,1408548,3078.0,335,3161,1
118.126,1408664,617.0,61,685,0
121.582,1408952,1439.0,134,1513,0
122.077,1409112,1592.0,141,1669,0
122.101,1409120,3074.0,338,3161,1
124.575,1409888,3082.0,306,3161,1
128.018,1410192,602.0,76,673,0
128.054,1410204,2382.0,271,2474,0
128.971,1410484,3066.0,383,3161,1
129.224,1410564,3069.0,363,3161,1
130.361,1410924,1944.0,180,2026,0
134.628,1411468,3081.0,319,3161,1
135.467,1411740,654.0,68,722,0
135.491,1411748,3093.0,296,3161,1
135.976,1411908,3071.0,356,3161,1
138.898,1412016,252.0,27,315,0
139.645,1412252,3082.0,332,3161,1
141.806,1412948,3084.0,300,3161,1
145.628,1413372,3068.0,408,3161,1
145.678,1413388,3075.0,343,3161,1
145.775,1413420,2654.0,292,2760,0
147.538,1413956,2371.0,252,2467,0
151.448,1414396,2381.0,252,2469,0
152.18,1414632,3079.0,315,3161,1
152.609,1414772,3085.0,338,3161,1
152.978,1414892,2377.0,234,2469,0
153.388,1415020,1702.0,156,1781,0
158.306,1415708,2376.0,234,2467,0
159.073,1415948,3077.0,329,3161,1
162.537,1416264,3082.0,311,3161,1
163.213,1416480,3062.0,397,3161,1
164.027,1416724,2372.0,254,2468,0
168.103,1417232,820.0,127,898,0
168.181,1417256,2373.0,248,2468,0
168.609,1417388,3069.0,360,3161,1
169.003,1417508,619.0,63,688,0
169.78,1417756,3089.0,319,3161,1
173.435,1418124,2382.0,223,2471,0
175.144,1418656,3079.0,317,3161,1
175.861,1418888,3074.0,345,3161,1
176.453,1419084,2384.0,240,2467,0
179.133,1419140,3073.0,346,3161,1
181.546,1419900,2376.0,253,2471,0
181.654,1419936,3085.0,320,3161,1
182.1,1420084,2389.0,250,2476,0
185.591,1420396,3089.0,314,3161,1
187.022,1420828,2380.0,223,2470,0
187.476,1420976,1598.0,145,1674,0
190.745,1421192,3077.0,323,3161,1
191.03,1421284,3084.0,300,3161,1
191.176,1421332,819.0,126,898,0
192.953,1421896,2379.0,230,2469,0
193.978,1422200,2651.0,252,2749,0
196.605,1422244,2370.0,240,2468,0
198.657,1422896,3064.0,391,3161,1
