time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/total_timesteps,train/value_loss,train/entropy_loss,train/approx_kl,train/clip_range,train/loss,train/learning_rate,train/n_updates,train/explained_variance,train/clip_fraction,train/policy_gradient_loss
1,132.04,3,335,9.700700000000001,732792,,,,,,,,,,
2,134.82,8,234,9.969299999999999,733816,0.6219763420522213,-1.0378348305821419,0.009505639,0.2,0.2919555902481079,0.0001,2856,0.628615140914917,0.026611328125,-0.0033497794647701085
3,135.5,14,216,10.0636,734840,0.6130773015320301,-1.0432308837771416,0.0026798276,0.2,0.27099722623825073,0.0001,2860,0.6055957078933716,0.006591796875,-0.0005450060998555273
4,134.7,20,203,10.019,735864,0.7832784913480282,-1.0227396711707115,0.0011057449,0.2,0.34987008571624756,0.0001,2864,0.5832799673080444,0.0,-0.0012255019682925195
5,136.43,25,198,10.1303,736888,0.7642019465565681,-1.0339856520295143,0.00817212,0.2,0.3427557647228241,0.0001,2868,0.5198529958724976,0.022705078125,-0.0055130955297499895
6,139.43,31,195,10.401699999999998,737912,0.9324046708643436,-1.0519530326128006,0.0036680612,0.2,0.5025306940078735,0.0001,2872,0.44331586360931396,0.002197265625,-0.003512723371386528
7,139.86,36,193,10.3595,738936,0.4080129787325859,-1.0300016477704048,0.0019793678,0.2,0.1719733476638794,0.0001,2876,0.7177509069442749,0.001220703125,-0.0023683072940912098
8,137.38,42,192,10.2627,739960,0.36991794034838676,-1.013205349445343,0.003383284,0.2,0.11892271786928177,0.0001,2880,0.6466847658157349,0.01025390625,-0.005793701973743737
9,134.36,48,191,10.1917,740984,0.7805057652294636,-1.0356664434075356,0.004415184,0.2,0.4489207863807678,0.0001,2884,0.6700906157493591,0.013671875,-0.0023132732894737273
10,131.64,53,191,9.8997,742008,0.47380093671381474,-1.0318594872951508,0.006294451,0.2,0.2350252866744995,0.0001,2888,0.74858558177948,0.026123046875,-0.004263431823346764
11,131.04,59,190,9.884800000000002,743032,0.7081552073359489,-1.05369184166193,0.0042984355,0.2,0.34635698795318604,0.0001,2892,0.63523268699646,0.019775390625,-0.002063675143290311
12,132.65,64,189,9.9644,744056,0.6170926094055176,-1.0476477816700935,0.020006893,0.2,0.2170167863368988,0.0001,2896,0.62244713306427,0.1982421875,-0.0064576838340144604
13,134.09,70,189,10.0075,745080,0.7101069614291191,-1.0563805997371674,0.007939378,0.2,0.25742703676223755,0.0001,2900,0.5201882123947144,0.06982421875,-0.0013149491569492966
14,138.11,75,188,10.2368,746104,0.6254674084484577,-1.0496635511517525,0.0013701817,0.2,0.2759370505809784,0.0001,2904,0.3525086045265198,0.001220703125,-0.0015200393390841782
15,134.13,81,188,9.9572,747128,0.766906600445509,-1.065341793000698,0.005734058,0.2,0.32288578152656555,0.0001,2908,0.38473838567733765,0.01318359375,-0.0020335870794951916
16,134.33,87,187,9.862900000000002,748152,0.6848554778844118,-1.043740563094616,0.0015753167,0.2,0.30116039514541626,0.0001,2912,0.4856055974960327,0.00244140625,0.0005588631320279092
17,136.2,92,187,10.0533,749176,0.821556955575943,-1.0150173157453537,0.007563514,0.2,0.3707851469516754,0.0001,2916,0.5027648210525513,0.008056640625,-0.0040892579418141395
18,137.45,98,187,10.061500000000002,750200,0.5569226182997227,-0.9535594061017036,0.013018154,0.2,0.25956040620803833,0.0001,2920,0.5377891063690186,0.072021484375,-0.0023949173628352582
19,130.6,103,187,9.503900000000002,751224,0.842075988650322,-0.970949824899435,0.011597784,0.2,0.36585330963134766,0.0001,2924,0.44233232736587524,0.06005859375,-0.002382371691055596
20,130.44,109,186,9.6148,752248,0.6767938956618309,-0.9997410364449024,0.0012202961,0.2,0.28395259380340576,0.0001,2928,0.48157888650894165,0.003662109375,0.0007013565627858043
21,132.0,115,186,9.857000000000001,753272,0.5366466157138348,-1.0071930028498173,0.001757428,0.2,0.1681601107120514,0.0001,2932,0.5156129598617554,0.005126953125,-0.0011874754563905299
22,135.66,120,186,10.0277,754296,0.5077979043126106,-1.017469882965088,0.0017267885,0.2,0.19882604479789734,0.0001,2936,0.6988328099250793,0.0029296875,-0.0018525326013332233
23,137.64,126,186,10.113100000000001,755320,0.6511458717286587,-0.9672238454222679,0.003234799,0.2,0.23797616362571716,0.0001,2940,0.5056899785995483,0.005126953125,-0.0004966776468791068
24,137.2,132,186,9.9561,756344,0.668682161718607,-0.9686038158833981,0.004415204,0.2,0.32002314925193787,0.0001,2944,0.623227596282959,0.003662109375,-0.0027566595235839486
25,141.15,137,185,10.2649,757368,0.9256990253925323,-0.9242702089250088,0.00287742,0.2,0.35855987668037415,0.0001,2948,0.5258782505989075,0.004150390625,-0.0014390770811587572
26,142.0,143,186,10.3702,758392,0.6343630440533161,-0.914108719676733,0.007816124,0.2,0.2504774034023285,0.0001,2952,0.5365597009658813,0.041015625,-0.006580166227649897
27,141.96,148,185,10.258400000000002,759416,0.5610258188098669,-0.9207943677902222,0.0057516894,0.2,0.22048260271549225,0.0001,2956,0.6428348422050476,0.04833984375,-0.003230419213650748
28,140.22,154,185,10.120599999999998,760440,0.4045910071581602,-0.9335247725248337,0.007828938,0.2,0.10718712210655212,0.0001,2960,0.674812912940979,0.024169921875,-0.0039308334671659395
29,139.76,159,185,10.1128,761464,0.8883787430822849,-0.9832586757838726,0.0011133594,0.2,0.41109350323677063,0.0001,2964,0.5829421281814575,0.00244140625,-0.0008650072850286961
30,142.33,165,185,10.3445,762488,0.46462079882621765,-0.9746578708291054,0.003459428,0.2,0.16882646083831787,0.0001,2968,0.7418272495269775,0.006591796875,-0.003314957531983964
31,143.47,170,185,10.439300000000001,763512,0.35568681359291077,-0.9011226780712605,0.007276033,0.2,0.1464328169822693,0.0001,2972,0.7480742931365967,0.0390625,-0.001341567636700347
32,148.52,176,185,10.782099999999998,764536,0.5996573809534311,-0.9222603216767311,0.0030737598,0.2,0.2229677140712738,0.0001,2976,0.541196346282959,0.005615234375,-0.003021186275873333
33,148.32,182,185,10.8255,765560,0.6844777353107929,-0.9480944015085697,0.002081398,0.2,0.25597119331359863,0.0001,2980,0.5857076048851013,0.003173828125,-0.0031516579329036176
34,147.61,187,185,10.7644,766584,0.8221589177846909,-0.9864853322505951,0.018836645,0.2,0.37455055117607117,0.0001,2984,0.5110040903091431,0.152099609375,-0.004501121235080063
35,146.81,193,185,10.633099999999999,767608,0.6310344561934471,-0.9940461367368698,0.00876704,0.2,0.2230207324028015,0.0001,2988,0.4949408769607544,0.05517578125,-0.0016501240897923708
36,148.98,198,185,10.7573,768632,0.6781256794929504,-1.0036830343306065,0.00283465,0.2,0.2629654109477997,0.0001,2992,0.45221418142318726,0.006591796875,-0.000369987785234116
37,145.13,204,185,10.470900000000002,769656,0.7357392758131027,-1.0030742771923542,0.007535683,0.2,0.24368539452552795,0.0001,2996,0.4734104871749878,0.046875,-0.0036718135816045105
38,146.1,210,185,10.620899999999999,770680,1.0218619219958782,-1.038648933172226,0.0042944765,0.2,0.43975934386253357,0.0001,3000,0.36931145191192627,0.014404296875,0.0030903462320566177
39,149.27,215,185,10.830300000000001,771704,0.6819849871098995,-1.0204293131828308,0.0013065538,0.2,0.3410985469818115,0.0001,3004,0.5389765501022339,0.000244140625,-0.001303496101172641
40,149.05,221,185,10.809,772728,0.45567722246050835,-1.0002315118908882,0.013152914,0.2,0.17018333077430725,0.0001,3008,0.6893515586853027,0.06298828125,-0.004541018686722964
41,150.03,226,185,11.0077,773752,0.508307084441185,-0.9828960001468658,0.0038490668,0.2,0.2066332995891571,0.0001,3012,0.6618934273719788,0.010498046875,-0.003412267076782882
42,146.21,232,184,10.7902,774776,0.4528021700680256,-0.9957791641354561,0.006952744,0.2,0.20472094416618347,0.0001,3016,0.7752465009689331,0.080322265625,-0.0073690550634637475
43,147.67,238,184,10.877699999999999,775800,1.1624459102749825,-0.9865512624382973,0.0022277907,0.2,0.4859227240085602,0.0001,3020,0.43402159214019775,0.001708984375,-0.00470515905180946
44,151.04,243,184,11.074399999999999,776824,0.5125223360955715,-0.9749652519822121,0.0055354424,0.2,0.2233111560344696,0.0001,3024,0.6340855360031128,0.010009765625,-0.002743645425653085
45,149.3,249,184,10.916300000000001,777848,0.678807195276022,-0.9746023081243038,0.005085727,0.2,0.2551267147064209,0.0001,3028,0.5050954818725586,0.015625,-0.003956605505663902
46,144.15,254,184,10.633099999999999,778872,0.7043347433209419,-0.9503744095563889,0.0114191305,0.2,0.26872801780700684,0.0001,3032,0.5681674480438232,0.03955078125,-0.0037091528647579253
47,145.08,260,184,10.670500000000002,779896,0.8397379778325558,-0.9468770064413548,0.005457035,0.2,0.3615862727165222,0.0001,3036,0.5914148092269897,0.02197265625,-0.00019137619528919458
48,146.79,266,184,10.8258,780920,0.823820423334837,-0.9057975821197033,0.011638704,0.2,0.3080565631389618,0.0001,3040,0.47819703817367554,0.038330078125,-0.0040886313072405756
49,141.06,271,184,10.281600000000001,781944,0.8096067905426025,-0.8538138456642628,0.006778806,0.2,0.3844841420650482,0.0001,3044,0.3676432967185974,0.0322265625,-0.003398166096303612
50,137.07,277,184,10.0708,782968,0.8309905230998993,-0.8283923715353012,0.005992662,0.2,0.4138612449169159,0.0001,3048,0.49609553813934326,0.03125,-0.001608657097676769
51,134.13,282,184,9.895999999999999,783992,0.7663097828626633,-0.799947950989008,0.0008620407,0.2,0.31740283966064453,0.0001,3052,0.6393694877624512,0.001708984375,-0.0005363076052162796
52,128.84,288,184,9.390800000000002,785016,0.5764123424887657,-0.801795057952404,0.0014421097,0.2,0.26938101649284363,0.0001,3056,0.6728254556655884,0.0048828125,-0.0027356153004802763
53,123.86,293,184,9.0107,786040,0.46745195239782333,-0.7903639636933804,0.0011125416,0.2,0.1673501878976822,0.0001,3060,0.7999489307403564,0.00048828125,-0.0014050235331524163
54,127.47,299,184,9.249,787064,0.39070331677794456,-0.8506768308579922,0.0072958004,0.2,0.18477024137973785,0.0001,3064,0.7429319620132446,0.06591796875,-0.0011319560289848596
55,127.45,305,184,9.258,788088,0.396836219355464,-0.8271947205066681,0.000933133,0.2,0.15810459852218628,0.0001,3068,0.7059953212738037,0.0029296875,-0.0019278262043371797
56,124.05,310,184,9.0311,789112,0.5333445705473423,-0.8552204519510269,0.0051475586,0.2,0.2705633342266083,0.0001,3072,0.3607833981513977,0.076904296875,-0.0022257672681007534
57,121.58,316,184,8.8238,790136,0.7199531979858875,-0.827858317643404,0.0039719953,0.2,0.3221311867237091,0.0001,3076,0.5449689626693726,0.014404296875,-0.0009435907995793968
58,122.06,322,184,8.7683,791160,0.866026408970356,-0.9093191511929035,0.007363604,0.2,0.43819475173950195,0.0001,3080,0.3795652985572815,0.099853515625,-0.006753355963155627
59,124.85,327,184,9.0597,792184,0.5197961740195751,-0.8482848107814789,0.007835806,0.2,0.19251152873039246,0.0001,3084,0.5704336166381836,0.02783203125,-0.003302662051282823
60,121.45,333,184,8.8052,793208,0.4972483403980732,-0.870479691773653,0.01157131,0.2,0.21409785747528076,0.0001,3088,0.5376782417297363,0.0927734375,-0.0018820151162799448
61,122.29,338,184,8.9348,794232,0.723088376224041,-0.8871975615620613,0.010075072,0.2,0.2727995812892914,0.0001,3092,0.5917337536811829,0.0576171875,-0.0032596079690847546
62,122.02,344,184,9.0091,795256,0.6165121793746948,-0.8999637737870216,0.0013784214,0.2,0.305463969707489,0.0001,3096,0.6369627714157104,0.001220703125,-0.0004303556343074888
63,125.23,349,184,9.2208,796280,0.5958916917443275,-0.9040441699326038,0.008457494,0.2,0.2464107871055603,0.0001,3100,0.6078522801399231,0.037841796875,-0.0022876531875226647
64,127.84,355,184,9.3709,797304,0.667710542678833,-0.9042106233537197,0.008156143,0.2,0.3130132257938385,0.0001,3104,0.43895208835601807,0.033203125,-0.00172595281037502
65,131.58,361,184,9.6874,798328,0.7288337163627148,-0.9079515859484673,0.005694208,0.2,0.40053197741508484,0.0001,3108,0.5630544424057007,0.02978515625,-0.0009291607711929828
66,131.35,366,184,9.6209,799352,0.6042236164212227,-0.9179318659007549,0.0037664294,0.2,0.28684133291244507,0.0001,3112,0.5932348966598511,0.02197265625,-0.0005613220855593681
67,129.49,372,184,9.5484,800376,0.5050991866737604,-0.9356429912149906,0.0087204985,0.2,0.16970522701740265,0.0001,3116,0.6860702633857727,0.0830078125,-0.004447374929441139
68,130.51,378,184,9.6425,801400,0.8345714136958122,-0.9381981529295444,0.011841127,0.2,0.3780711889266968,0.0001,3120,0.4652557969093323,0.1123046875,-0.0002894889912568033
69,130.54,383,184,9.630600000000001,802424,0.7127165272831917,-0.9509689584374428,0.0031609861,0.2,0.34482091665267944,0.0001,3124,0.4639679193496704,0.05712890625,-0.0019242611597292125
70,133.42,389,184,9.814400000000001,803448,0.6514236070215702,-0.9749511033296585,0.008436974,0.2,0.29829227924346924,0.0001,3128,0.5388439297676086,0.059814453125,-0.0021812933846376836
71,130.43,394,184,9.639899999999999,804472,0.5982342213392258,-0.9977464750409126,0.017493289,0.2,0.2056117206811905,0.0001,3132,0.6094969511032104,0.105712890625,-0.0032928666623774916
72,129.74,400,184,9.6541,805496,0.5971757844090462,-1.0007994696497917,0.007376354,0.2,0.24405483901500702,0.0001,3136,0.6833021640777588,0.0224609375,-0.0006904491456225514
73,132.54,405,184,9.789100000000001,806520,0.5001356340944767,-1.0007268823683262,0.0039531584,0.2,0.1898507922887802,0.0001,3140,0.6625569462776184,0.01513671875,-0.0005639324663206935
74,133.59,411,184,9.9033,807544,0.37975530698895454,-0.9849813356995583,0.0070439526,0.2,0.14184312522411346,0.0001,3144,0.7090044021606445,0.03125,-0.003021082578925416
75,135.2,417,184,10.0009,808568,0.5943857952952385,-0.9875015765428543,0.008163471,0.2,0.2693682014942169,0.0001,3148,0.6708585023880005,0.03955078125,-0.004345515335444361
76,137.04,422,184,10.1791,809592,0.6235185377299786,-1.0004347041249275,0.0074067223,0.2,0.2570030689239502,0.0001,3152,0.617393970489502,0.021484375,-0.003189370210748166
77,134.03,428,184,10.1357,810616,0.5868351329118013,-1.0267722681164742,0.012378059,0.2,0.23511070013046265,0.0001,3156,0.5504406094551086,0.050537109375,-0.004415769697516225
78,132.52,433,184,10.0861,811640,1.0415548123419285,-1.0171194300055504,0.008967301,0.2,0.5623253583908081,0.0001,3160,0.372437059879303,0.037109375,-0.00555479945614934
79,134.11,439,184,10.1952,812664,0.7661753259599209,-1.013642430305481,0.012197408,0.2,0.34585240483283997,0.0001,3164,0.47914034128189087,0.087890625,-0.0043330659391358495
80,136.89,444,184,10.4669,813688,0.5872804671525955,-1.0029170252382755,0.0039027957,0.2,0.2731569707393646,0.0001,3168,0.5015466213226318,0.022705078125,7.712963270023465e-05
