time/iterations,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,train/learning_rate,train/loss,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/clip_range,train/approx_kl,train/clip_fraction,rollout/ep_rew_mean,train/entropy_loss,train/n_updates
32,196,2453492,167,265.59,2.5e-05,0.18283820152282715,-0.001557488227263093,0.5052426066249609,0.5010579824447632,0.2,0.0022233024,0.010009765625,18.729750000000003,-0.3050397280603647,9559
33,202,2454516,167,261.27,2.5e-05,0.010950176976621151,-0.0038722902245353907,0.055339141050353646,0.7858561277389526,0.2,0.0007140771,0.00244140625,18.469250000000002,-0.2252987902611494,9563
34,208,2455540,167,260.67,2.5e-05,0.13859672844409943,-0.001131861616158858,0.7835276145488024,0.3779039978981018,0.2,0.001257875,0.00390625,18.2892,-0.2486608289182186,9567
35,214,2456564,167,262.05,2.5e-05,0.3873384892940521,-0.0018069054349325597,0.49759501963853836,0.5287013053894043,0.2,0.0011269897,0.005859375,18.241899999999998,-0.30452373065054417,9571
36,220,2457588,167,261.79,2.5e-05,0.03205752372741699,-0.004359480459243059,0.09323040535673499,0.8314619660377502,0.2,0.001079624,0.0048828125,18.2397,-0.28735898062586784,9575
37,226,2458612,167,261.2,2.5e-05,0.0404813252389431,-0.003138974861940369,0.10497694881632924,0.7112337350845337,0.2,0.0014532561,0.00439453125,18.2149,-0.26133153587579727,9579
38,232,2459636,167,261.2,2.5e-05,0.01097727008163929,-0.003179547842592001,0.05336798634380102,0.884960412979126,0.2,0.0011290665,0.005126953125,18.214900000000004,-0.26502734143286943,9583
39,239,2460660,167,262.92,2.5e-05,0.006513569038361311,-0.0007707675104029477,0.03574252547696233,0.6551523208618164,0.2,0.00026159734,0.000732421875,18.506300000000003,-0.2165557648986578,9587
40,245,2461684,167,264.31,2.5e-05,0.0038294000551104546,-0.001245266874320805,0.019481870403978974,0.7320280075073242,0.2,0.001739532,0.009033203125,18.641450000000003,-0.22199617605656385,9591
41,251,2462708,166,264.76,2.5e-05,0.003965887241065502,-0.006124049250502139,0.0491982651874423,0.7415833473205566,0.2,0.0041369414,0.01904296875,18.616500000000002,-0.24666831642389297,9595
42,257,2463732,166,264.21,2.5e-05,0.007872502319514751,-0.0032905834959819913,0.05841714655980468,0.8135260343551636,0.2,0.0007683611,0.003173828125,18.641000000000005,-0.2560082655400038,9599
43,263,2464756,167,264.84,2.5e-05,-0.0017803949303925037,-0.001504681771621108,0.015051493362989277,0.7834526300430298,0.2,0.0009542093,0.00390625,18.6158,-0.2277358854189515,9603
44,269,2465780,167,267.54,2.5e-05,0.06316123157739639,-0.0030910265049897134,0.15408793836832047,0.7994246482849121,0.2,0.001686112,0.007080078125,18.722749999999998,-0.32650989666581154,9607
45,275,2466804,167,268.74,2.5e-05,0.024527613073587418,-0.003967607888625935,0.06836243928410113,0.8187075257301331,0.2,0.00292176,0.01171875,18.698600000000003,-0.2533229934051633,9611
46,281,2467828,167,267.76,2.5e-05,0.0017043780535459518,-0.005379323207307607,0.0363823848310858,0.9110092520713806,0.2,0.0044965637,0.020751953125,18.749350000000003,-0.27534207701683044,9615
47,287,2468852,167,268.14,2.5e-05,0.0034239303786307573,-0.0017987564206123352,0.014323325362056494,0.8540492057800293,0.2,0.0013023848,0.004638671875,18.72655,-0.23492785170674324,9619
48,293,2469876,167,267.37,2.5e-05,0.019263479858636856,-0.002434526788420044,0.037232346716336906,0.8890731334686279,0.2,0.00096166215,0.00390625,18.726700000000005,-0.25884286034852266,9623
49,300,2470900,167,267.37,2.5e-05,-0.0018724286928772926,-0.001482256455346942,0.007067504106089473,0.9158344268798828,0.2,0.0007432088,0.002685546875,18.726700000000005,-0.23368150927126408,9627
50,306,2471924,167,270.79,2.5e-05,-0.004194463603198528,-0.0020752944401465356,0.0046952763077570125,0.9260175228118896,0.2,0.001204021,0.004638671875,19.210050000000003,-0.24233298003673553,9631
51,312,2472948,167,270.79,2.5e-05,0.009822256863117218,-0.003987319229054265,0.03831481887027621,0.6554793119430542,0.2,0.00364836,0.02490234375,19.209500000000002,-0.26245733443647623,9635
52,318,2473972,167,271.71,2.5e-05,0.020430687814950943,-0.002426141349133104,0.05896633863449097,0.7808358669281006,0.2,0.0019654117,0.014892578125,19.237700000000004,-0.2957562059164047,9639
53,324,2474996,167,272.73,2.5e-05,0.008440794423222542,-0.0038940036320127547,0.055446764337830245,0.8788576126098633,0.2,0.0018249712,0.007080078125,19.53225,-0.3108467645943165,9643
54,330,2476020,167,274.58,2.5e-05,-0.0029726545326411724,-0.003242046746890992,0.021334149118047208,0.7690858840942383,0.2,0.0037247632,0.025634765625,19.6493,-0.2566830785945058,9647
55,336,2477044,167,274.31,2.5e-05,0.011498842388391495,-0.0042355129844509065,0.055065808817744255,0.877166211605072,0.2,0.0013106198,0.00732421875,19.649050000000003,-0.2936528492718935,9651
56,342,2478068,167,273.19,2.5e-05,-0.0028500594198703766,-0.002795131571474485,0.011706323421094567,0.8478951454162598,0.2,0.0009723667,0.004150390625,19.56035,-0.2526132082566619,9655
57,348,2479092,167,274.22,2.5e-05,0.4388870894908905,-0.0002897988015320152,0.6499423515051603,0.35429805517196655,0.2,0.0017716102,0.009765625,19.55935,-0.33439435064792633,9659
58,354,2480116,167,275.04,2.5e-05,0.009494166821241379,-0.0032304279739037156,0.04179200483486056,0.8879740834236145,0.2,0.002527866,0.012451171875,19.763250000000003,-0.29141259752213955,9663
59,360,2481140,167,274.67,2.5e-05,-0.008034090511500835,-0.002077906276099384,0.007330772001296282,0.8699893355369568,0.2,0.0006283913,0.0009765625,19.7876,-0.2510624574497342,9667
60,366,2482164,167,274.98,2.5e-05,0.019617445766925812,-0.0018638365727383643,0.06024571438319981,0.6866273880004883,0.2,0.0009759107,0.005615234375,19.68895,-0.25714677665382624,9671
61,372,2483188,167,274.57,2.5e-05,0.4727756083011627,0.0004035376477986574,0.8532350435853004,0.44387179613113403,0.2,0.0007878521,0.003173828125,19.892049999999998,-0.28155942261219025,9675
62,378,2484212,167,273.74,2.5e-05,0.017371835187077522,-0.002500213129678741,0.038024052628315985,0.7829640507698059,0.2,0.0016239427,0.009521484375,19.940700000000003,-0.26376911252737045,9679
63,385,2485236,167,272.74,2.5e-05,0.007368105463683605,-0.0010672310600057244,0.02552572696004063,0.34589898586273193,0.2,0.0006376295,0.00146484375,19.990600000000004,-0.251921184360981,9683
64,391,2486260,167,272.74,2.5e-05,0.008369271643459797,-0.0014149831840768456,0.01696549862390384,0.6137880086898804,0.2,0.0012950132,0.005126953125,19.9906,-0.26560840103775263,9687
65,397,2487284,167,272.26,2.5e-05,-0.00036294804885983467,-0.001050237740855664,0.008342647488461807,0.8139002323150635,0.2,0.00024715322,0.00146484375,19.83685,-0.27168394438922405,9691
66,403,2488308,167,274.31,2.5e-05,0.37188082933425903,-0.000860334956087172,0.53516018204391,0.4861629009246826,0.2,0.00076708,0.001953125,19.811850000000003,-0.33693490736186504,9695
67,409,2489332,167,273.92,2.5e-05,0.0134116904810071,-0.0061249713471625,0.06766073522157967,0.9061720371246338,0.2,0.005680698,0.0283203125,19.812200000000004,-0.2865472473204136,9699
68,415,2490356,167,274.41,2.5e-05,0.017302287742495537,-0.0012815955560654402,0.04685333790257573,0.7723631858825684,0.2,0.0007895839,0.0029296875,19.703699999999998,-0.29708022251725197,9703
69,421,2491380,167,274.41,2.5e-05,0.09873420000076294,-0.0033869589387904853,0.4440786512568593,0.6186217069625854,0.2,0.0034830342,0.01416015625,19.703150000000004,-0.35752285085618496,9707
70,427,2492404,167,272.1,2.5e-05,-0.004411397501826286,-0.003419760847464204,0.018358224479015917,0.8089239597320557,0.2,0.0007399118,0.00390625,19.769000000000002,-0.25914878491312265,9711
71,433,2493428,167,272.1,2.5e-05,-0.006366090849041939,-0.0034199528745375574,0.015346908417996019,0.677148699760437,0.2,0.001598826,0.00732421875,19.769000000000002,-0.2681937189772725,9715
72,439,2494452,167,272.15,2.5e-05,0.04162248224020004,-0.004558617540169507,0.07780039380304515,0.860640287399292,0.2,0.0025840742,0.019775390625,19.7681,-0.3398843929171562,9719
73,445,2495476,167,272.38,2.5e-05,0.002701789140701294,-0.006434405760955997,0.026960913906805217,0.7914050817489624,0.2,0.002963035,0.01123046875,19.769450000000003,-0.2760431542992592,9723
74,451,2496500,167,272.0,2.5e-05,0.031445905566215515,-0.002384295570664108,0.1206078389659524,0.8332805633544922,0.2,0.0013060803,0.005615234375,19.792250000000003,-0.2943615335971117,9727
75,457,2497524,167,274.56,2.5e-05,0.0003082994371652603,-0.0013708688202314079,0.03842972870916128,0.9448707103729248,0.2,0.0013770714,0.003173828125,19.37885,-0.28347957506775856,9731
76,463,2498548,167,274.99,2.5e-05,0.21475587785243988,-0.0004653266369132325,0.793075617402792,0.6961853504180908,0.2,0.0009894321,0.002197265625,19.356,-0.30386348627507687,9735
77,470,2499572,167,274.99,2.5e-05,0.021557552739977837,-0.002640787628479302,0.05400975723750889,0.8316935896873474,0.2,0.0013586665,0.0048828125,19.377000000000002,-0.26968067325651646,9739
78,476,2500596,167,274.99,2.5e-05,-9.224750101566315e-05,-0.0008887411677278578,0.016733882250264287,0.6768505573272705,0.2,0.0004981633,0.001708984375,19.37755,-0.25202552881091833,9743
79,482,2501620,167,273.63,2.5e-05,-0.0069575002416968346,-0.002783308387733996,0.009261694707674906,0.8239873051643372,0.2,0.0026713754,0.011962890625,19.402800000000003,-0.25596102233976126,9747
80,488,2502644,167,273.62,2.5e-05,-0.006056665442883968,-0.002100611302012112,0.005812454546685331,0.882407546043396,0.2,0.0016574301,0.006103515625,19.402850000000004,-0.2541612833738327,9751
81,494,2503668,167,271.3,2.5e-05,-0.01154222059994936,-0.004141247278312221,0.004744672405649908,0.89267498254776,0.2,0.0028256336,0.017578125,19.24875,-0.26168585009872913,9755
82,501,2504692,167,269.6,2.5e-05,0.1912277340888977,-0.0015070306835696101,0.4334086775779724,0.4168424606323242,0.2,0.00082148117,0.004150390625,19.0921,-0.26137847639620304,9759
83,507,2505716,167,270.74,2.5e-05,0.28652310371398926,-0.004357538826297969,0.4934796616435051,0.4737629294395447,0.2,0.0015033074,0.005615234375,19.33695,-0.27887998893857,9763
84,513,2506740,167,270.74,2.5e-05,0.006481892429292202,-0.0014322858187370002,0.026349821942858398,0.01408851146697998,0.2,0.00040571322,0.00146484375,19.337500000000002,-0.24658503010869026,9767
85,519,2507764,167,271.34,2.5e-05,0.0030463123694062233,-0.003840472607407719,0.02432930824579671,0.6069542169570923,0.2,0.0024190699,0.00830078125,19.28955,-0.2561926329508424,9771
86,525,2508788,167,271.35,2.5e-05,0.019726384431123734,-0.0048282722709700465,0.06930555449798703,0.8211924433708191,0.2,0.0025882209,0.011474609375,19.28765,-0.28852594271302223,9775
87,531,2509812,167,273.97,2.5e-05,0.011906570754945278,-0.006643269793130457,0.0401773793855682,0.8843522071838379,0.2,0.0062992787,0.01611328125,19.648750000000003,-0.27131568919867277,9779
88,538,2510836,167,273.6,2.5e-05,-0.0014376062899827957,-0.0048440187238156796,0.031075810897164047,0.9100932478904724,0.2,0.0038146188,0.018798828125,19.673000000000002,-0.2771110497415066,9783
89,544,2511860,167,271.93,2.5e-05,-0.003680190537124872,-0.0028944766672793776,0.008416317694354802,0.8684731721878052,0.2,0.0014985867,0.006103515625,19.4928,-0.26038508024066687,9787
90,550,2512884,167,271.2,2.5e-05,0.2434556782245636,-0.003046675497898832,0.37543828412890434,0.46638745069503784,0.2,0.0017537905,0.007080078125,19.2879,-0.282804561778903,9791
91,557,2513908,167,270.96,2.5e-05,0.17827586829662323,-0.0022017084120307118,0.516244824975729,0.5237542390823364,0.2,0.0017401895,0.00732421875,19.311,-0.34331855922937393,9795
92,563,2514932,167,271.91,2.5e-05,0.010511963628232479,-0.002282533620018512,0.045566247310489416,0.6795737147331238,0.2,0.0008000403,0.001220703125,19.4419,-0.2720540277659893,9799
93,569,2515956,167,270.91,2.5e-05,0.016879359260201454,-0.002972177346237004,0.05035472265444696,0.8194034099578857,0.2,0.0008491368,0.00439453125,19.395899999999997,-0.2992784436792135,9803
94,576,2516980,167,268.52,2.5e-05,0.11979544162750244,-0.0009709273581393063,0.3989849528297782,0.5568228960037231,0.2,0.0007931908,0.001708984375,19.2165,-0.28778548538684845,9807
95,582,2518004,166,268.51,2.5e-05,0.015595181845128536,-0.0034614182950463146,0.03255250782240182,0.8942265510559082,0.2,0.0008394949,0.00390625,19.3266,-0.27484037540853024,9811
96,589,2519028,166,269.71,2.5e-05,0.060843709856271744,-0.004923499072901905,0.11777368886396289,0.6356556415557861,0.2,0.001105468,0.005126953125,19.1908,-0.30019377917051315,9815
97,595,2520052,166,268.8,2.5e-05,0.13208985328674316,-0.003648234560387209,0.3773081414401531,0.711158275604248,0.2,0.002258329,0.010009765625,19.0476,-0.31004696525633335,9819
98,601,2521076,166,267.55,2.5e-05,0.1196344792842865,-0.003040912648430094,0.47636693762615323,0.3243693709373474,0.2,0.0029300358,0.01416015625,19.072650000000003,-0.2961593456566334,9823
99,607,2522100,166,267.73,2.5e-05,0.007114162668585777,-0.0036395664610608947,0.0346131285186857,0.7879250049591064,0.2,0.0012855332,0.006103515625,19.032400000000003,-0.2707127630710602,9827
100,613,2523124,166,267.73,2.5e-05,0.0058210864663124084,-0.002292841993039474,0.036072233924642205,0.8990693688392639,0.2,0.00040341174,0.000732421875,19.032400000000003,-0.2939887307584286,9831
101,620,2524148,166,265.17,2.5e-05,-0.007159671746194363,-0.0034875473502324894,0.007639254734385759,0.869376003742218,0.2,0.0015276093,0.009521484375,19.445800000000006,-0.2674173293635249,9835
102,626,2525172,166,265.0,2.5e-05,0.00024026690516620874,-0.0009231179574271664,0.005398613327997737,0.8906029462814331,0.2,0.00028361537,0.001220703125,19.469,-0.2681227922439575,9839
103,632,2526196,166,265.43,2.5e-05,0.009870273992419243,-0.004130700894165784,0.04633693769574165,0.6822015643119812,0.2,0.0011682705,0.005859375,19.446099999999998,-0.28140237741172314,9843
104,638,2527220,166,265.46,2.5e-05,0.041589923202991486,-0.0017974618240259588,0.08676289301365614,0.759020209312439,0.2,0.0006342918,0.001953125,19.350350000000002,-0.29259122535586357,9847
105,644,2528244,166,265.46,2.5e-05,0.10669258236885071,-0.002760440664133057,0.07650008797645569,0.6144845485687256,0.2,0.00082579104,0.004150390625,19.350350000000002,-0.2671375973150134,9851
106,650,2529268,166,265.46,2.5e-05,-0.0014878069050610065,-0.0019058161124121398,0.0061318416555877775,0.8897315263748169,0.2,0.0015378324,0.008056640625,19.327350000000003,-0.26333929132670164,9855
107,656,2530292,166,267.33,2.5e-05,0.02933191880583763,-0.0025309170014224946,0.046954979887232184,0.5616486668586731,0.2,0.0022389516,0.00732421875,19.492100000000004,-0.26170620881021023,9859
108,662,2531316,167,268.47,2.5e-05,0.012843845412135124,-0.005769900337327272,0.038581702276133,0.8282005786895752,0.2,0.0027841516,0.013916015625,19.672250000000002,-0.27762656938284636,9863
109,667,2532340,167,268.85,2.5e-05,0.005535596515983343,-0.0027630982222035527,0.04236958280671388,0.7714001536369324,0.2,0.0021920567,0.00732421875,19.51335,-0.26922771893441677,9867
110,674,2533364,167,267.74,2.5e-05,0.15721642971038818,-0.0004148655862081796,0.3944058697670698,0.6892752647399902,0.2,0.00067658623,0.002197265625,19.3703,-0.3108941875398159,9871
111,679,2534388,167,268.28,2.5e-05,0.29820728302001953,-0.0017283079796470702,0.46832440700381994,0.42211204767227173,0.2,0.0007544693,0.001708984375,19.34875,-0.2716537360101938,9875
112,685,2535412,167,268.73,2.5e-05,0.01808209717273712,-0.004296954837627709,0.07912394311279058,0.9065259099006653,0.2,0.0019642115,0.0087890625,19.32725,-0.33707818016409874,9879
113,691,2536436,167,268.02,2.5e-05,0.014816575683653355,-0.0034851475211326033,0.05024966015480459,0.9092124104499817,0.2,0.00079824793,0.003173828125,19.350900000000003,-0.275141348131001,9883
114,697,2537460,167,268.02,2.5e-05,-0.005712558049708605,-0.001626771583687514,0.011995302833383903,0.8469346761703491,0.2,0.0011908737,0.00390625,19.350900000000003,-0.23971524368971586,9887
115,703,2538484,167,269.93,2.5e-05,-0.008905841037631035,-0.0021227934921626,0.006423226775950752,0.8948565721511841,0.2,0.0020920972,0.00927734375,19.50695,-0.24673100374639034,9891
116,709,2539508,167,269.23,2.5e-05,0.008534161373972893,-0.004397187527501956,0.03889018530026078,0.8553256392478943,0.2,0.005029585,0.02197265625,19.531600000000005,-0.25822186283767223,9895
117,715,2540532,167,268.01,2.5e-05,-0.004395185969769955,-0.002980118297273293,0.014610270678531379,0.7841724157333374,0.2,0.0015506984,0.003662109375,19.4904,-0.25721616204828024,9899
118,721,2541556,167,267.66,2.5e-05,0.13456197082996368,-0.003230077214539051,0.5573556441813707,-0.0294417142868042,0.2,0.00091111835,0.003173828125,19.4993,-0.25621384754776955,9903
119,727,2542580,167,269.12,2.5e-05,-0.00013567134737968445,-0.003536698641255498,0.024518307647667825,0.8970330357551575,0.2,0.0029720487,0.011962890625,19.72465,-0.27758826687932014,9907
120,733,2543604,167,268.87,2.5e-05,0.004799873102456331,-0.003820786369033158,0.03211614105384797,0.6528158783912659,0.2,0.0013677658,0.012451171875,19.74735,-0.26150296721607447,9911
121,739,2544628,167,271.27,2.5e-05,0.03652496635913849,-0.002329771901713684,0.10869118547998369,0.8412480354309082,0.2,0.0015721619,0.010986328125,19.69715,-0.3048646058887243,9915
122,745,2545652,167,270.6,2.5e-05,0.039790477603673935,-0.0039200780156534165,0.07477384409867227,0.9225486516952515,0.2,0.0021801572,0.009765625,19.720250000000004,-0.2724685724824667,9919
123,751,2546676,167,270.07,2.5e-05,-0.004407027270644903,-0.0038288472569547594,0.012335795618128031,0.865075945854187,0.2,0.0025059967,0.010986328125,19.832950000000004,-0.2420280622318387,9923
124,757,2547700,167,270.98,2.5e-05,0.004401634447276592,-0.003275417984696105,0.007513485848903656,0.8784851431846619,0.2,0.0033993414,0.0205078125,19.976150000000004,-0.2510717883706093,9927
125,763,2548724,167,269.09,2.5e-05,0.007553330156952143,-0.0028690253020613454,0.03644597728271037,0.9002019166946411,0.2,0.001775424,0.0078125,19.705550000000002,-0.26878688111901283,9931
126,769,2549748,167,269.12,2.5e-05,0.6734046339988708,-1.503567909821868e-05,0.9225378949195147,0.3375307321548462,0.2,0.00044418866,0.0029296875,19.7055,-0.26687289122492075,9935
127,775,2550772,167,269.64,2.5e-05,0.010136811062693596,-0.0045210461830720305,0.04358675330877304,0.6525874137878418,0.2,0.0015185694,0.01025390625,19.68015,-0.26742425560951233,9939
128,781,2551796,167,268.07,2.5e-05,0.01454970333725214,-0.0030680874187964946,0.0421480976510793,0.8996260166168213,0.2,0.0020170442,0.011962890625,19.485500000000005,-0.2823575921356678,9943
129,787,2552820,167,267.86,2.5e-05,0.15147510170936584,-0.0013813567929901183,0.4566453155130148,0.455852746963501,0.2,0.0015151952,0.0048828125,19.48525,-0.2958021406084299,9947
130,793,2553844,167,268.06,2.5e-05,0.01127445325255394,-0.002667128690518439,0.02936855796724558,0.8856098651885986,0.2,0.0013847493,0.00439453125,19.555899999999998,-0.2698086444288492,9951
131,799,2554868,167,266.91,2.5e-05,0.001764313317835331,-0.001959137589437887,0.029147882130928338,0.8697486519813538,0.2,0.0017940046,0.005615234375,19.4105,-0.2565303687006235,9955
132,805,2555892,167,266.91,2.5e-05,0.18331187963485718,-0.0015216000319924206,0.4390068957582116,0.318636953830719,0.2,0.00089604704,0.002197265625,19.433500000000002,-0.2585007483139634,9959
133,811,2556916,167,266.62,2.5e-05,-0.006170281674712896,-0.002401336096227169,0.009061007644049823,0.8423286080360413,0.2,0.0014514632,0.007080078125,19.448850000000004,-0.2422217670828104,9963
134,817,2557940,167,266.61,2.5e-05,0.00022706389427185059,-0.00283101451350376,0.015091232373379171,0.6000553965568542,0.2,0.0017517628,0.01123046875,19.448850000000004,-0.2519890023395419,9967
135,823,2558964,167,267.62,2.5e-05,0.004033559933304787,-0.005948734578851145,0.04184256785083562,0.9212514162063599,0.2,0.0044572097,0.01708984375,19.60445,-0.2711779270321131,9971
136,829,2559988,167,269.36,2.5e-05,0.002607259899377823,-0.00402441291953437,0.03242924192454666,0.8208075165748596,0.2,0.001052771,0.0068359375,19.72445,-0.2585527477785945,9975
137,835,2561012,167,268.22,2.5e-05,0.01057844702154398,-0.004456349852262065,0.0475416558329016,0.8869009613990784,0.2,0.0014366633,0.010986328125,19.793950000000002,-0.2762659238651395,9979
138,841,2562036,167,267.76,2.5e-05,-0.005884927231818438,-0.0034646838321350515,0.0038158765237312764,0.934486985206604,0.2,0.0020182375,0.011474609375,19.81735,-0.23573595937341452,9983
139,847,2563060,167,267.91,2.5e-05,-0.003852991620078683,-0.0015143500932026654,0.006412710135919042,0.8755340576171875,0.2,0.0016237961,0.004638671875,19.7948,-0.2391303712502122,9987
140,854,2564084,167,268.33,2.5e-05,0.018883099779486656,-0.001426156610250473,0.038708103937096894,0.8298546075820923,0.2,0.0008630156,0.0068359375,19.79495,-0.2449126522988081,9991
141,860,2565108,167,268.77,2.5e-05,0.01028604805469513,-0.00487158028408885,0.0376154218101874,0.8874704241752625,0.2,0.0017014993,0.01318359375,19.772100000000002,-0.26835550740361214,9995
