elapsed_seconds,timesteps,return,length,max_x,completed,game_score,score_gain,coins,objective_reward_sum,one_ups,custom_one_up_bonus,augmented_score_gain,flag_height_bonus,flag_touch_y,flag_top_tier
6.375,2421796,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
6.375,2421796,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
6.375,2421796,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
6.914,2421952,3089.0,307,3175,1,900,900,2,18.39500000000001,0,0,900,100,145,0
12.686,2422868,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
12.686,2422868,3095.0,268,3175,1,5700,5700,2,20.825000000000024,0,0,5700,5000,30,1
12.686,2422868,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
13.233,2423024,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
14.059,2423272,1052.0,101,1126,0,200,200,0,2.8599999999999937,0,0,200,0,,0
18.937,2423940,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
19.353,2424056,3083.0,297,3175,1,900,900,1,18.36500000000001,0,0,900,400,139,0
19.524,2424096,3096.0,268,3175,1,900,900,2,18.430000000000025,0,0,900,100,160,0
20.375,2424344,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
25.428,2425012,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
25.841,2425128,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
26.001,2425168,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
26.852,2425416,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
32.159,2426200,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
32.318,2426240,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
32.388,2426252,3081.0,310,3175,1,5600,5600,1,20.70500000000002,0,0,5600,5000,10,1
33.178,2426488,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
38.468,2427272,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
38.675,2427324,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
39.474,2427560,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
44.152,2428152,3055.0,478,3175,1,1200,1200,2,18.37499999999999,0,0,1200,400,133,0
44.805,2428344,3095.0,268,3175,1,5700,5700,2,20.825000000000024,0,0,5700,5000,30,1
45.67,2428600,3087.0,319,3175,1,1200,1200,2,18.535000000000014,0,0,1200,400,139,0
45.803,2428632,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
50.45,2429224,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
51.111,2429416,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
51.982,2429672,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
52.125,2429704,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
56.911,2430296,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
57.572,2430488,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
61.879,2430976,3086.0,326,3175,1,1300,1300,2,18.58000000000002,0,0,1300,400,129,0
63.202,2431368,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
63.398,2431416,3065.0,428,3175,1,1200,1200,2,18.424999999999997,0,0,1200,400,130,0
63.893,2431560,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
68.214,2432048,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
69.537,2432440,3095.0,268,3175,1,5700,5700,2,20.825000000000024,0,0,5700,5000,30,1
69.723,2432488,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
70.232,2432632,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
74.517,2433120,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
75.821,2433512,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
76.006,2433560,3095.0,268,3175,1,5700,5700,2,20.825000000000024,0,0,5700,5000,30,1
76.507,2433704,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
77.2,2433916,1053.0,101,1127,0,200,200,0,2.8649999999999936,0,0,200,0,,0
80.692,2434172,2382.0,263,2472,0,800,800,2,9.809999999999997,0,0,800,0,,0
80.891,2434232,1886.0,168,1959,0,800,800,2,7.329999999999989,0,0,800,0,,0
82.74,2434776,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
83.473,2434988,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
87.136,2435244,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
87.362,2435304,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
89.203,2435848,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
89.929,2436060,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
93.549,2436316,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
94.563,2436596,3086.0,323,3175,1,1000,1000,2,18.430000000000014,0,0,1000,100,158,0
95.719,2436920,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
99.084,2437132,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
100.003,2437388,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
100.998,2437668,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
102.128,2437992,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
102.33,2438052,1704.0,166,1791,0,200,200,0,6.119999999999983,0,0,200,0,,0
105.565,2438204,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
107.553,2438740,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
108.704,2439064,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
108.942,2439124,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
112.308,2439276,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
114.192,2439812,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
118.837,2440340,3077.0,319,3175,1,600,600,1,18.18500000000001,0,0,600,100,153,0
118.9,2440348,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
119.057,2440384,3089.0,315,3175,1,1000,1000,2,18.445000000000014,0,0,1000,100,148,0
120.819,2440884,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
125.476,2441412,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
125.538,2441420,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
125.704,2441456,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
131.085,2442264,3083.0,345,3175,1,5900,5900,2,20.86500000000001,0,0,5900,5000,15,1
131.848,2442484,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
131.912,2442492,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
132.069,2442528,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
137.754,2443336,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
138.529,2443556,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
138.589,2443564,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
138.742,2443600,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
140.612,2444168,1031.0,208,1126,0,200,200,0,2.754999999999997,0,0,200,0,,0
140.826,2444228,1745.0,157,1817,0,700,700,2,6.574999999999985,0,0,700,0,,0
