time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/learning_rate,train/clip_fraction,train/n_updates,train/entropy_loss,train/approx_kl,train/explained_variance,train/clip_range,train/loss,train/value_loss,train/policy_gradient_loss
1006624,157.39,182,599,12.683799999999998,107,0.0001,0.0107421875,3920,-0.8183038644492626,0.0018440161,0.6124972105026245,0.2,0.5367183089256287,1.2854648232460022,0.0018841330893337727
1007648,154.84,182,605,12.608400000000001,108,0.0001,0.00244140625,3924,-0.8067989870905876,0.0023335237,0.5257314443588257,0.2,0.3367561399936676,0.9586036428809166,-0.001509460576926358
1008672,160.96,182,611,13.056699999999996,109,0.0001,0.00634765625,3928,-0.8566451333463192,0.002551287,0.44118160009384155,0.2,0.4665886461734772,0.9699019603431225,-0.0028628900181502104
1009696,160.13,182,616,12.9372,110,0.0001,0.066162109375,3932,-0.846871193498373,0.007834516,0.6856299638748169,0.2,0.26518145203590393,0.6246456820517778,-0.0004775881243404001
1010720,157.6,182,622,12.8478,111,0.0001,0.1015625,3936,-0.8216143622994423,0.013729704,0.6717880368232727,0.2,0.2709580957889557,0.6723294369876385,-0.006333900208119303
1011744,163.8,182,628,13.172300000000005,112,0.0001,0.017578125,3940,-0.7899915650486946,0.003888506,0.6334147453308105,0.2,0.43763467669487,0.8556869067251682,0.000657578682876192
1012768,163.82,182,633,13.295399999999999,113,0.0001,0.060791015625,3944,-0.8192914985120296,0.008042279,0.7072180509567261,0.2,0.18943755328655243,0.6067520622164011,-0.0041197987156920135
1013792,166.1,182,639,13.4079,114,0.0001,0.012939453125,3948,-0.7597829587757587,0.0037282892,0.6735122203826904,0.2,0.3700609803199768,0.6476511713117361,-0.0017791784484870732
1014816,167.27,182,644,13.566499999999998,115,0.0001,0.015380859375,3952,-0.8561703264713287,0.0039032553,0.589531421661377,0.2,0.2895515561103821,0.8595521673560143,-0.004049882874824107
1015840,167.72,182,650,13.604800000000001,116,0.0001,0.05712890625,3956,-0.7357953377068043,0.010624055,0.6335457563400269,0.2,0.31645089387893677,0.6301977206021547,-0.004159647010965273
1016864,172.45,182,655,13.7725,117,0.0001,0.0224609375,3960,-0.7812414690852165,0.0032983283,0.6406584978103638,0.2,0.30458760261535645,0.6902722455561161,-0.0028386815974954516
1017888,172.96,182,661,13.880500000000001,118,0.0001,0.066650390625,3964,-0.8004487492144108,0.010334742,0.628486156463623,0.2,0.44880589842796326,0.8405680768191814,-0.004318013146985322
1018912,170.84,182,667,13.6719,119,0.0001,0.095947265625,3968,-0.8048259764909744,0.00900132,0.6263279914855957,0.2,0.36160770058631897,0.7350250780582428,-0.005293656955473125
1019936,167.66,182,672,13.4265,120,0.0001,0.02880859375,3972,-0.8109070621430874,0.005827527,0.4344649910926819,0.2,0.41477152705192566,1.1118163652718067,-9.767554001882672e-05
1020960,168.56,182,678,13.5263,121,0.0001,0.03076171875,3976,-0.8061985969543457,0.0043568467,0.5762184262275696,0.2,0.38033509254455566,0.8073121830821037,-0.006115076772402972
1021984,166.05,182,684,13.367300000000002,122,0.0001,0.015380859375,3980,-0.748449619859457,0.004112627,0.7373799085617065,0.2,0.17200453579425812,0.46652097441256046,-0.0002900366671383381
1023008,170.36,182,690,13.649,123,0.0001,0.05322265625,3984,-0.7534910477697849,0.004820333,0.6269518136978149,0.2,0.3198559582233429,0.7449044547975063,-0.006581154186278582
1024032,171.73,182,695,13.7627,124,0.0001,0.075439453125,3988,-0.7879903428256512,0.0101592885,0.5790883302688599,0.2,0.37106576561927795,0.727475006133318,-0.0051373380701988935
1025056,172.2,182,701,13.864,125,0.0001,0.039794921875,3992,-0.7678985446691513,0.0038481017,0.681403636932373,0.2,0.3198959529399872,0.6304754670709372,-0.003366280347108841
1026080,173.42,182,706,13.969000000000001,126,0.0001,0.013671875,3996,-0.7661859840154648,0.004147112,0.7601362466812134,0.2,0.22063183784484863,0.5153502635657787,-0.00456032674992457
1027104,174.2,182,712,14.051200000000001,127,0.0001,0.087890625,4000,-0.7266165465116501,0.0058601433,0.7357393503189087,0.2,0.18958428502082825,0.5390223376452923,-0.004459993928321637
1028128,175.42,182,718,14.1304,128,0.0001,0.067138671875,4004,-0.7388161048293114,0.009171779,0.6366661787033081,0.2,0.47194117307662964,1.0303325690329075,-0.005854210088727996
1029152,176.59,182,723,14.3139,129,0.0001,0.060791015625,4008,-0.7155053168535233,0.005832117,0.7183957099914551,0.2,0.15919651091098785,0.47158314660191536,-0.005062834097770974
1030176,176.74,182,729,14.203300000000002,130,0.0001,0.069580078125,4012,-0.8276759348809719,0.009581329,0.6743242740631104,0.2,0.3631134629249573,1.0753121860325336,-0.004746169550344348
1031200,173.86,182,734,14.126900000000003,131,0.0001,0.0654296875,4016,-0.7208238318562508,0.006172992,0.6462947726249695,0.2,0.42645734548568726,0.7306968495249748,-0.0076545149204321206
1032224,168.81,182,740,13.7479,132,0.0001,0.02587890625,4020,-0.7098289467394352,0.007037728,0.6860402822494507,0.2,0.24058635532855988,0.6348479334264994,-0.0017735529399942607
1033248,167.12,182,745,13.714400000000001,133,0.0001,0.0224609375,4024,-0.7514052465558052,0.0019830319,0.6176347732543945,0.2,0.527574360370636,1.1140319965779781,-0.0028849690570496023
1034272,165.0,182,751,13.496500000000001,134,0.0001,0.0390625,4028,-0.7319573126733303,0.0056165974,0.6701040267944336,0.2,0.3163660764694214,0.6685908809304237,-0.004944490967318416
1035296,163.73,182,756,13.383100000000002,135,0.0001,0.025390625,4032,-0.7419089153409004,0.00456863,0.7933396697044373,0.2,0.24976438283920288,0.47046810016036034,-0.004101894039195031
1036320,168.24,182,762,13.7278,136,0.0001,0.018798828125,4036,-0.7016229182481766,0.0036916689,0.5395557284355164,0.2,0.3328031003475189,0.7544478997588158,-0.0036612967669498175
1037344,166.15,182,768,13.716499999999998,137,0.0001,0.050048828125,4040,-0.7419032454490662,0.0038301505,0.7342737913131714,0.2,0.3167491555213928,0.6737187132239342,-0.00830239086644724
1038368,165.71,182,773,13.573799999999999,138,0.0001,0.01318359375,4044,-0.7147149220108986,0.0027327116,0.6414777040481567,0.2,0.33682912588119507,0.8699561581015587,-0.002596040110802278
1039392,166.36,182,779,13.613999999999999,139,0.0001,0.019775390625,4048,-0.725446131080389,0.005110667,0.6744441986083984,0.2,0.2813243567943573,0.6643957197666168,-0.0011343765509082004
1040416,168.9,182,784,13.6642,140,0.0001,0.026123046875,4052,-0.6632998995482922,0.0038101613,0.7372866868972778,0.2,0.13252349197864532,0.4196933154016733,-0.0026184888556599617
1041440,165.44,182,791,13.400599999999999,141,0.0001,0.0576171875,4056,-0.6812437437474728,0.010674448,0.6930413246154785,0.2,0.19170762598514557,0.5551052950322628,-0.004981603677151725
1042464,166.02,182,797,13.494399999999999,142,0.0001,0.036865234375,4060,-0.6681313030421734,0.0034979535,0.704922080039978,0.2,0.19511860609054565,0.5254473332315683,-0.00447007326874882
1043488,165.6,182,802,13.345000000000002,143,0.0001,0.06494140625,4064,-0.6783838011324406,0.0066386135,0.7092626094818115,0.2,0.24387933313846588,0.6280323974788189,-0.0064193259458988905
