time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/policy_gradient_loss,rollout/ep_len_mean,train/explained_variance,train/clip_range,train/value_loss,rollout/ep_rew_mean,train/entropy_loss,train/clip_fraction,train/n_updates,train/loss,train/learning_rate,train/approx_kl
2421748,1,3,301,,,,,,,,,,,,
2422772,2,9,215,-0.0008482517296215519,277.75,0.9720034003257751,0.2,0.08023684797808528,20.25875,-0.15468989033252,0.001220703125,9439,0.016949370503425598,1e-05,0.0003073216
2423796,3,15,194,-0.0001876847818493843,226.0,0.8837602138519287,0.2,0.16480847680941224,15.735000000000003,-0.18547539599239826,0.00146484375,9443,0.03224994242191315,1e-05,0.00031152152
2424820,4,21,186,-0.0008803858363535255,237.2,0.44340717792510986,0.2,1.5776953622698784,16.94366666666667,-0.1918481606990099,0.0009765625,9447,0.8134255409240723,1e-05,0.00027962367
2425844,5,28,181,-0.000739234616048634,243.68421052631578,0.7688015103340149,0.2,0.17276039347052574,17.77236842105263,-0.18473841436207294,0.0,9451,0.03285219892859459,1e-05,8.1840786e-05
2426868,6,34,177,-0.0012943118636030704,247.04545454545453,0.618941068649292,0.2,0.1964680226519704,18.19613636363636,-0.18555863946676254,0.000732421875,9455,0.05889381468296051,1e-05,0.00033914938
2427892,7,40,176,-0.001325158344116062,252.96153846153845,0.7581326961517334,0.2,0.11954709002748132,18.518076923076926,-0.18699935637414455,0.0009765625,9459,0.05267767235636711,1e-05,0.00041178206
2428916,8,47,173,-0.0014203408209141344,250.09677419354838,0.8423013091087341,0.2,0.11142958095297217,18.317741935483873,-0.23158744256943464,0.00048828125,9463,0.042537711560726166,1e-05,0.00038302975
2429940,9,53,171,-0.0006032855599187315,252.14285714285714,0.5290191173553467,0.2,0.4920841511338949,18.610571428571426,-0.20377252623438835,0.00048828125,9467,0.272784560918808,1e-05,0.0001958026
2430964,10,59,171,-0.0019066715030930936,256.0,0.650670051574707,0.2,0.0966061013750732,18.77987179487179,-0.1932060867547989,0.0009765625,9471,0.04453650861978531,1e-05,0.00044755562
