decision,raw_frames,x,y,max_x,action,action_name,prob_0,prob_1,prob_2,prob_3,prob_4,action_entropy_nats,native_reward,native_reward_sum,no_progress_decisions,life,game_time,flag_get,terminated,truncated,game_score,score_gain,coins,one_ups,custom_one_up_bonus,augmented_score_gain,flag_height_bonus,flag_touch_y,flag_score_tier,flag_top_tier,post_flag_frames,flag_resolution_complete,flag_resolution_status,objective_reward,objective_reward_sum
1,4,40,79,40,0,NOOP,0.11526592075824738,0.36135390400886536,0.1551409214735031,0.22919858992099762,0.1390407383441925,1.5179213285446167,0.0,0.0,1,2,400,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
2,8,40,79,40,3,right+B,0.11526592075824738,0.36135390400886536,0.1551409214735031,0.22919858992099762,0.1390407383441925,1.5179213285446167,0.0,0.0,2,2,400,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
3,12,43,79,43,1,right,0.11522582173347473,0.36126139760017395,0.15531666576862335,0.2290334552526474,0.13916271924972534,1.5180649757385254,3.0,3.0,0,2,400,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
4,16,47,79,47,1,right,0.11530866473913193,0.3615249693393707,0.15539300441741943,0.22877049446105957,0.13900282979011536,1.517951250076294,4.0,7.0,0,2,400,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
5,20,52,79,52,1,right,0.11532633751630783,0.3617880046367645,0.1556122899055481,0.2279992401599884,0.13927407562732697,1.5180611610412598,4.0,11.0,0,2,399,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
6,24,59,79,59,0,NOOP,0.1157517209649086,0.3619683086872101,0.15691761672496796,0.22373723983764648,0.14162515103816986,1.5198593139648438,7.0,18.0,0,2,399,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
7,28,64,79,64,1,right,0.11561382561922073,0.36245113611221313,0.1543799489736557,0.22701746225357056,0.14053764939308167,1.5180894136428833,5.0,23.0,0,2,399,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
8,32,71,79,71,1,right,0.11533842235803604,0.36317577958106995,0.15612463653087616,0.22430604696273804,0.1410551369190216,1.518457293510437,7.0,30.0,0,2,399,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
9,36,78,79,78,1,right,0.11565835028886795,0.36402463912963867,0.15785126388072968,0.2200639843940735,0.14240173995494843,1.519453763961792,7.0,37.0,0,2,399,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
10,40,85,93,85,4,right+A+B,0.11552664637565613,0.36381465196609497,0.15796349942684174,0.2219252586364746,0.14077000319957733,1.5187844038009644,6.0,43.0,0,2,398,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
11,44,92,109,92,4,right+A+B,0.11511025577783585,0.36787036061286926,0.1551618129014969,0.2224646657705307,0.1393928974866867,1.5148725509643555,7.0,50.0,0,2,398,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
