rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/time_elapsed,train/approx_kl,train/n_updates,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/entropy_loss,train/loss,train/learning_rate,train/clip_range
101.86,311,7.278600000000001,415952,1,3,,,,,,,,,,
104.37,222,7.5601,416976,2,9,0.015908068,1620,0.057373046875,-0.004164449201198295,0.8255560733377934,0.2753082513809204,-1.0381064340472221,0.38939058780670166,0.0001,0.2
101.9,204,7.3861,418000,3,15,0.01014824,1624,0.027587890625,-0.0025564523530192673,0.5822481159120798,0.504738986492157,-1.0282109379768372,0.25516024231910706,0.0001,0.2
99.59,196,7.2131,419024,4,20,0.0039650574,1628,0.003173828125,-0.0021905288158450276,0.5500850882381201,0.523659348487854,-1.0374055430293083,0.2605323791503906,0.0001,0.2
102.19,191,7.3953999999999995,420048,5,26,0.0057928534,1632,0.011962890625,-0.0032557138765696436,0.44461366534233093,0.6500430107116699,-0.9824447743594646,0.1837860345840454,0.0001,0.2
108.27,188,7.815199999999999,421072,6,32,0.0029445475,1636,0.0029296875,0.000687193765770644,0.736988253891468,0.6138433218002319,-0.9902010671794415,0.3477022647857666,0.0001,0.2
111.83,185,8.0543,422096,7,38,0.0059535173,1640,0.00439453125,-0.002432524604955688,0.5692126825451851,0.6289834976196289,-0.9828377328813076,0.32041093707084656,0.0001,0.2
114.83,181,8.2552,423120,8,45,0.005598172,1644,0.027099609375,0.0017299764440394938,0.9993294812738895,0.34611785411834717,-0.9652165994048119,0.4577447175979614,0.0001,0.2
121.38,180,8.5516,424144,9,51,0.0013217086,1648,0.00048828125,0.0006300357636064291,0.4331882167607546,0.6589796543121338,-1.02048459649086,0.1755780577659607,0.0001,0.2
124.17,179,8.806400000000002,425168,10,56,0.002870251,1652,0.011474609375,0.00029996540979482234,0.51120868884027,0.5396326184272766,-0.9943952113389969,0.23618631064891815,0.0001,0.2
126.13,179,8.9482,426192,11,62,0.005918581,1656,0.00830078125,-0.003820778743829578,0.6259822063148022,0.6138579845428467,-1.0175829157233238,0.28606873750686646,0.0001,0.2
125.45,178,8.966700000000001,427216,12,68,0.002956051,1660,0.006591796875,-0.0005401764065027237,0.7399735860526562,0.43925940990448,-1.0234839916229248,0.39082083106040955,0.0001,0.2
130.75,178,9.2811,428240,13,74,0.009322613,1664,0.029541015625,-0.0007751230441499501,0.8119702190160751,0.24473923444747925,-1.0374106541275978,0.37498006224632263,0.0001,0.2
131.18,178,9.385500000000002,429264,14,80,0.01195677,1668,0.05126953125,-0.0030485927127301693,0.7147778011858463,0.424007773399353,-1.0414931029081345,0.3136984407901764,0.0001,0.2
129.26,178,9.2244,430288,15,86,0.0012177461,1672,0.001953125,-0.0009324866405222565,0.8050774335861206,0.18663698434829712,-1.0070804804563522,0.2824832797050476,0.0001,0.2
132.13,178,9.324200000000001,431312,16,92,0.0025528446,1676,0.0029296875,-0.0001839245669543743,0.6649062354117632,0.400423526763916,-1.0168899483978748,0.26194536685943604,0.0001,0.2
126.48,177,8.9533,432336,17,97,0.008242666,1680,0.040283203125,-0.0013854626449756324,0.5288540609180927,0.6344641447067261,-0.9877637252211571,0.22887234389781952,0.0001,0.2
125.8,177,8.8738,433360,18,103,0.002767062,1684,0.033203125,-0.0009050024673342705,0.8125456608831882,0.44945448637008667,-0.9998295344412327,0.34850960969924927,0.0001,0.2
126.21,176,8.869599999999998,434384,19,109,0.007965468,1688,0.031005859375,-0.0005585576291196048,0.5053084511309862,0.5526294708251953,-1.0253842175006866,0.19654561579227448,0.0001,0.2
122.64,176,8.523599999999998,435408,20,115,0.0135612,1692,0.033447265625,-0.0052360616537043825,0.7161144353449345,0.3661147356033325,-1.045925434678793,0.2965284287929535,0.0001,0.2
124.16,176,8.7376,436432,21,121,0.0026377272,1696,0.0068359375,-0.0015623638464603573,0.7635444551706314,0.33911895751953125,-0.9527273178100586,0.35320982336997986,0.0001,0.2
