decision,raw_frames,x,y,max_x,action,action_name,prob_0,prob_1,prob_2,prob_3,prob_4,action_entropy_nats,native_reward,native_reward_sum,no_progress_decisions,life,game_time,flag_get,terminated,truncated
1,4,40,93,40,2,right+A,0.0011791721917688847,0.0016996401827782393,0.38190096616744995,0.14990408718585968,0.46531611680984497,1.0268723964691162,0.0,0.0,1,2,400,0,0,0
2,8,42,109,42,2,right+A,0.0011480507673695683,0.001653281389735639,0.38274693489074707,0.1451530009508133,0.46929875016212463,1.0211164951324463,2.0,2.0,0,2,400,0,0,0
3,12,44,122,44,4,right+A+B,0.0011337309842929244,0.0016372360987588763,0.38258281350135803,0.14384935796260834,0.47079676389694214,1.019368290901184,2.0,4.0,0,2,400,0,0,0
4,16,48,132,48,2,right+A,0.0011981914285570383,0.0017292972188442945,0.38249027729034424,0.1477380096912384,0.4668441712856293,1.0247962474822998,4.0,8.0,0,2,400,0,0,0
5,20,53,139,53,2,right+A,0.0012223200174048543,0.0017699162708595395,0.3810671269893646,0.15165318548679352,0.4642874002456665,1.0293269157409668,4.0,12.0,0,2,399,0,0,0
6,24,58,142,58,2,right+A,0.0012265368131920695,0.0017701800679787993,0.3794892728328705,0.15253782272338867,0.46497610211372375,1.0300250053405762,5.0,17.0,0,2,399,0,0,0
7,28,65,143,65,2,right+A,0.0011111489729955792,0.0016051048878580332,0.38527345657348633,0.14689016342163086,0.4651200771331787,1.0231373310089111,7.0,24.0,0,2,399,0,0,0
8,32,72,136,72,4,right+A+B,0.0010143296094611287,0.0014774068258702755,0.3830054998397827,0.14163020253181458,0.4728725552558899,1.0151631832122803,7.0,31.0,0,2,399,0,0,0
9,36,79,119,79,2,right+A,0.0010880809277296066,0.001584857003763318,0.38470375537872314,0.14449796080589294,0.4681253731250763,1.019988775253296,7.0,38.0,0,2,399,0,0,0
10,40,86,99,86,2,right+A,0.001049840939231217,0.0015281301457434893,0.38638782501220703,0.1409309208393097,0.47010329365730286,1.0155177116394043,6.0,44.0,0,2,398,0,0,0
11,44,93,79,93,4,right+A+B,0.0011397175258025527,0.0016566463746130466,0.381984144449234,0.1486273556947708,0.4665921926498413,1.0249570608139038,7.0,51.0,0,2,398,0,0,0
12,48,101,79,101,4,right+A+B,0.0011941716074943542,0.001710787182673812,0.3875714838504791,0.14512860774993896,0.4643949270248413,1.022615909576416,8.0,59.0,0,2,398,0,0,0
13,52,111,79,111,2,right+A,0.0012315047206357121,0.0017265924252569675,0.3880757689476013,0.13604018092155457,0.47292599081993103,1.0120776891708374,10.0,69.0,0,2,398,0,0,0
14,56,122,79,122,2,right+A,0.0012563330819830298,0.0017563223373144865,0.36703017354011536,0.152626633644104,0.4773305356502533,1.027322769165039,11.0,80.0,0,2,398,0,0,0
15,60,134,79,134,4,right+A+B,0.0015820094849914312,0.0022044081706553698,0.35552486777305603,0.18301977217197418,0.4576690196990967,1.0598725080490112,11.0,91.0,0,2,397,0,0,0
16,64,146,79,146,4,right+A+B,0.0016084326198324561,0.0022082102950662374,0.3261668086051941,0.23314344882965088,0.43687307834625244,1.0905309915542603,12.0,103.0,0,2,397,0,0,0
17,68,158,79,158,4,right+A+B,0.001775463460944593,0.0024283244274556637,0.33527299761772156,0.26679179072380066,0.3937314450740814,1.1117548942565918,12.0,115.0,0,2,397,0,0,0
18,72,170,79,170,2,right+A,0.0021392882335931063,0.0029829535633325577,0.3232850432395935,0.3164577782154083,0.3551349639892578,1.1273179054260254,12.0,127.0,0,2,397,0,0,0
19,76,182,79,182,3,right+B,0.0023147626779973507,0.0032310527749359608,0.30137163400650024,0.377463161945343,0.3156193196773529,1.1257790327072144,12.0,139.0,0,2,397,0,0,0
20,80,194,79,194,3,right+B,0.002425517188385129,0.003445872338488698,0.2572643756866455,0.41332119703292847,0.32354307174682617,1.1136963367462158,11.0,150.0,0,2,396,0,0,0
21,84,206,79,206,3,right+B,0.0020071477629244328,0.002869184361770749,0.2680150866508484,0.27134212851524353,0.4557664096355438,1.0942221879959106,12.0,162.0,0,2,396,0,0,0
22,88,218,97,218,4,right+A+B,0.0009142988128587604,0.0012894744286313653,0.3018905520439148,0.08667522668838501,0.6092303991317749,0.8904300332069397,12.0,174.0,0,2,396,0,0,0
23,92,230,117,230,4,right+A+B,0.00039670203113928437,0.0005403128452599049,0.33888888359069824,0.02893236093223095,0.6312417387962341,0.7667924165725708,12.0,186.0,0,2,396,0,0,0
24,96,242,133,242,2,right+A,0.0006341092521324754,0.0008853802573867142,0.3479626178741455,0.05127190425992012,0.5992460250854492,0.8373959064483643,12.0,198.0,0,2,396,0,0,0
25,100,254,147,254,2,right+A,0.0014428060967475176,0.0022826234344393015,0.2919817864894867,0.20660503208637238,0.4976876974105835,1.0558525323867798,11.0,209.0,0,2,395,0,0,0
26,104,266,156,266,4,right+A+B,0.0022545636165887117,0.0037555729504674673,0.14777474105358124,0.5858325958251953,0.2603825330734253,0.9808981418609619,12.0,221.0,0,2,395,0,0,0
27,108,278,160,278,3,right+B,0.002769042504951358,0.004645271692425013,0.12825363874435425,0.6704305410385132,0.1939014494419098,0.8908004760742188,12.0,233.0,0,2,395,0,0,0
28,112,290,152,290,2,right+A,0.002989661181345582,0.00536156864836812,0.16834937036037445,0.5767468214035034,0.24655260145664215,1.0079927444458008,12.0,245.0,0,2,395,0,0,0
29,116,302,133,302,2,right+A,0.002135186456143856,0.003926074597984552,0.3170725405216217,0.273732453584671,0.4031338095664978,1.1199685335159302,12.0,257.0,0,2,395,0,0,0
