decision,raw_frames,x,y,max_x,action,action_name,prob_0,prob_1,prob_2,prob_3,prob_4,action_entropy_nats,native_reward,native_reward_sum,no_progress_decisions,life,game_time,flag_get,terminated,truncated
21,84,249,147,249,4,right+A+B,2.869973343422316e-07,4.7961384552763775e-06,0.004480401054024696,7.380112492683111e-06,0.9955071210861206,0.028863493353128433,12.0,205.0,0,2,396,0,0,0
22,88,261,156,261,4,right+A+B,4.18585068473476e-06,0.00011160709254909307,0.004194760695099831,0.0006544279749505222,0.9950350522994995,0.033779919147491455,12.0,217.0,0,2,396,0,0,0
23,92,273,162,273,4,right+A+B,5.004432750865817e-05,0.0026381798088550568,0.0008085338049568236,0.8649285435676575,0.13157473504543304,0.41428273916244507,12.0,229.0,0,2,396,0,0,0
24,96,285,163,285,3,right+B,1.2857025240009534e-06,9.294712072005495e-05,1.134038825512107e-06,0.9998472929000854,5.733032230637036e-05,0.001608328428119421,12.0,241.0,0,2,396,0,0,0
25,100,297,151,297,3,right+B,4.576700121106114e-06,0.00023262304603122175,1.1945658116019331e-05,0.9996095299720764,0.00014141213614493608,0.0037821270525455475,11.0,252.0,0,2,395,0,0,0
26,104,308,131,308,4,right+A+B,0.0001003632351057604,0.0013233355712145567,0.42782676219940186,0.013682534918189049,0.5570670366287231,0.7575787305831909,11.0,263.0,0,2,395,0,0,0
27,108,306,111,308,3,right+B,0.00016679297550581396,0.00229057390242815,0.20480532944202423,0.07157911360263824,0.7211582064628601,0.7646289467811584,0.0,263.0,1,2,395,0,0,0
28,112,307,91,308,3,right+B,0.00027342193061485887,0.004375610500574112,0.0688987746834755,0.716792643070221,0.20965953171253204,0.7765370011329651,0.0,263.0,2,2,395,0,0,0
29,116,310,102,310,3,right+B,6.563525676028803e-05,0.0013180498499423265,0.003947296179831028,0.9866880774497986,0.007980911992490292,0.082996666431427,2.0,265.0,0,2,395,0,0,0
30,120,314,101,314,3,right+B,2.8754890081472695e-05,0.0007051670690998435,0.0009480489534325898,0.9963963627815247,0.0019216062501072884,0.02763359248638153,4.0,269.0,0,2,394,0,0,0
