decision,raw_frames,x,y,max_x,action,action_name,prob_0,prob_1,prob_2,prob_3,prob_4,action_entropy_nats,native_reward,native_reward_sum,no_progress_decisions,life,game_time,flag_get,terminated,truncated,game_score,score_gain,coins,one_ups,custom_one_up_bonus,augmented_score_gain,flag_height_bonus,flag_touch_y,flag_score_tier,flag_top_tier,post_flag_frames,flag_resolution_complete,flag_resolution_status,objective_reward,objective_reward_sum
1,4,40,79,40,3,right+B,0.11526592075824738,0.36135390400886536,0.1551409214735031,0.22919858992099762,0.1390407383441925,1.5179213285446167,0.0,0.0,1,2,400,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
2,8,42,79,42,0,NOOP,0.11522582173347473,0.36126139760017395,0.15531666576862335,0.2290334552526474,0.13916271924972534,1.5180649757385254,2.0,2.0,0,2,400,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
3,12,43,79,43,3,right+B,0.1153290644288063,0.361376017332077,0.1553238332271576,0.22882971167564392,0.13914133608341217,1.5180755853652954,1.0,3.0,0,2,400,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
4,16,46,79,46,3,right+B,0.11537976562976837,0.36187541484832764,0.1552182286977768,0.22832146286964417,0.13920512795448303,1.5178719758987427,3.0,6.0,0,2,400,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
5,20,51,79,51,1,right,0.11539702862501144,0.3617035150527954,0.15614625811576843,0.2272321730852127,0.13952094316482544,1.5184714794158936,4.0,10.0,0,2,399,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
6,24,58,79,58,1,right,0.11547523736953735,0.36147841811180115,0.15650106966495514,0.2256205826997757,0.14092467725276947,1.5194334983825684,7.0,17.0,0,2,399,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
7,28,66,79,66,3,right+B,0.11551735550165176,0.3623538613319397,0.15397807955741882,0.22742027044296265,0.1407303810119629,1.5180062055587769,8.0,25.0,0,2,399,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
8,32,76,79,76,1,right,0.11544664949178696,0.3632179796695709,0.15611694753170013,0.22355885803699493,0.14165952801704407,1.5187840461730957,10.0,35.0,0,2,399,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
9,36,88,79,88,3,right+B,0.11603450775146484,0.3639981150627136,0.15796566009521484,0.21953000128269196,0.14247176051139832,1.5197762250900269,12.0,47.0,0,2,399,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
10,40,100,79,100,3,right+B,0.11503481864929199,0.3677005171775818,0.15489700436592102,0.22309812903404236,0.13926951587200165,1.514754056930542,11.0,58.0,0,2,398,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
11,44,112,79,112,1,right,0.11575975269079208,0.3650132119655609,0.18230962753295898,0.18233340978622437,0.15458394587039948,1.5267012119293213,12.0,70.0,0,2,398,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
12,48,124,79,124,3,right+B,0.11337491124868393,0.3560999929904938,0.21175213158130646,0.14886999130249023,0.16990293562412262,1.5279309749603271,12.0,82.0,0,2,398,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
13,52,136,97,136,4,right+A+B,0.10704584419727325,0.34734228253364563,0.23406684398651123,0.12742063403129578,0.18412436544895172,1.5204733610153198,12.0,94.0,0,2,398,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
14,56,148,117,148,2,right+A,0.10929539799690247,0.34877362847328186,0.2133575975894928,0.13684439659118652,0.19172897934913635,1.5277583599090576,12.0,106.0,0,2,398,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
15,60,160,132,160,1,right,0.11276160925626755,0.347324401140213,0.1864948570728302,0.17126967012882233,0.18214944005012512,1.5389798879623413,11.0,117.0,0,2,397,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
16,64,172,134,172,3,right+B,0.11207015812397003,0.3551039695739746,0.14409375190734863,0.20519939064979553,0.18353271484375,1.5282304286956787,12.0,129.0,0,2,397,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
17,68,184,123,184,3,right+B,0.1151186153292656,0.35100311040878296,0.1237621083855629,0.2272154837846756,0.18290071189403534,1.5223512649536133,12.0,141.0,0,2,397,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
18,72,196,104,196,3,right+B,0.11389029771089554,0.3459935486316681,0.1091279536485672,0.2673441767692566,0.1636440008878708,1.505279302597046,12.0,153.0,0,2,397,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
19,76,208,84,208,1,right,0.12137272953987122,0.33423519134521484,0.1280713677406311,0.22092321515083313,0.19539757072925568,1.5380717515945435,12.0,165.0,0,2,397,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
20,80,216,79,216,1,right,0.11788401007652283,0.33675792813301086,0.1759236603975296,0.17520074546337128,0.19423368573188782,1.547728180885315,7.0,172.0,0,2,396,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
21,84,223,79,223,1,right,0.10793394595384598,0.313558965921402,0.26848340034484863,0.12629538774490356,0.18372829258441925,1.5296008586883545,7.0,179.0,0,2,396,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
22,88,230,93,230,2,right+A,0.09501948207616806,0.2729344666004181,0.3185023069381714,0.07060827314853668,0.24293549358844757,1.4733622074127197,7.0,186.0,0,2,396,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
23,92,237,108,237,3,right+B,0.08429032564163208,0.2190869152545929,0.35682353377342224,0.039547402411699295,0.3002517819404602,1.3978307247161865,7.0,193.0,0,2,396,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
24,96,244,114,244,4,right+A+B,0.09438838809728622,0.25410833954811096,0.3080148994922638,0.05760274454951286,0.28588566184043884,1.4560205936431885,7.0,200.0,0,2,396,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
25,100,251,112,251,1,right,0.09643183648586273,0.24745020270347595,0.2787684500217438,0.06024843081831932,0.3171011209487915,1.4606695175170898,6.0,206.0,0,2,395,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
26,104,258,100,258,4,right+A+B,0.11351953446865082,0.3138660788536072,0.18618685007095337,0.13834808766841888,0.24807941913604736,1.5431534051895142,7.0,213.0,0,2,395,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
27,108,265,79,265,1,right,0.11486217379570007,0.32629603147506714,0.14943699538707733,0.17367930710315704,0.23572546243667603,1.5427387952804565,7.0,220.0,0,2,395,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
28,112,272,93,272,4,right+A+B,0.117109015583992,0.3330605924129486,0.13253766298294067,0.18253031373023987,0.23476238548755646,1.5358467102050781,7.0,227.0,0,2,395,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
29,116,279,109,279,4,right+A+B,0.11797540634870529,0.32692790031433105,0.12093394994735718,0.17699994146823883,0.257162868976593,1.5288643836975098,7.0,234.0,0,2,395,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
30,120,286,121,286,0,NOOP,0.12216328829526901,0.30461326241493225,0.1393081694841385,0.13681170344352722,0.2971036434173584,1.5262449979782104,6.0,240.0,0,2,394,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
31,124,293,125,293,4,right+A+B,0.11966176331043243,0.26853248476982117,0.16009822487831116,0.10347550362348557,0.3482320308685303,1.5024802684783936,7.0,247.0,0,2,394,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
32,128,300,119,300,4,right+A+B,0.12491390854120255,0.27029910683631897,0.15553243458271027,0.12039071321487427,0.3288639187812805,1.5234822034835815,7.0,254.0,0,2,394,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
33,132,307,105,307,0,NOOP,0.12773682177066803,0.284006804227829,0.15243948996067047,0.17808771133422852,0.25772911310195923,1.563814640045166,7.0,261.0,0,2,394,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
34,136,314,85,314,0,NOOP,0.1269877851009369,0.2958599925041199,0.15095537900924683,0.2145279049873352,0.21166902780532837,1.5666923522949219,7.0,268.0,0,2,394,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
35,140,321,97,321,1,right,0.1296488642692566,0.2985656261444092,0.16671256721019745,0.24486981332302094,0.16020312905311584,1.5623424053192139,6.0,274.0,0,2,393,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
36,144,328,101,328,4,right+A+B,0.1219717338681221,0.3032068610191345,0.17676840722560883,0.27479028701782227,0.12326276302337646,1.5377802848815918,8.0,282.0,0,2,393,0,0,0,100,100,0,0,0.0,100.0,0,,,False,0,False,not_reached,0.1,0.1
37,148,335,96,335,2,right+A,0.1214660108089447,0.3059428632259369,0.23644472658634186,0.20872624218463898,0.12742020189762115,1.5489109754562378,7.0,289.0,0,2,393,0,0,0,100,100,0,0,0.0,100.0,0,,,False,0,False,not_reached,0.0,0.1
38,152,342,81,342,1,right,0.1152871772646904,0.3055242896080017,0.2701168656349182,0.17966671288013458,0.1294049620628357,1.5379160642623901,7.0,296.0,0,2,393,0,0,0,100,100,0,0,0.0,100.0,0,,,False,0,False,not_reached,0.0,0.1
39,156,349,93,349,2,right+A,0.10911576449871063,0.28865179419517517,0.3004907965660095,0.16625313460826874,0.13548848032951355,1.530802607536316,7.0,303.0,0,2,393,0,0,0,100,100,0,0,0.0,100.0,0,,,False,0,False,not_reached,0.0,0.1
40,160,356,109,356,4,right+A+B,0.10948914289474487,0.2871350646018982,0.28375476598739624,0.1819329559803009,0.1376880407333374,1.540938377380371,6.0,309.0,0,2,392,0,0,0,100,100,0,0,0.0,100.0,0,,,False,0,False,not_reached,0.0,0.1
41,164,363,114,363,2,right+A,0.10562966763973236,0.28094810247421265,0.30609947443008423,0.1673867255449295,0.13993600010871887,1.5308868885040283,14.0,323.0,0,2,392,0,0,0,300,300,1,0,0.0,300.0,0,,,False,0,False,not_reached,0.2,0.30000000000000004
42,168,370,103,370,3,right+B,0.10078377276659012,0.29079610109329224,0.32064417004585266,0.13653001189231873,0.15124601125717163,1.5126971006393433,7.0,330.0,0,2,392,0,0,0,300,300,1,0,0.0,300.0,0,,,False,0,False,not_reached,0.0,0.30000000000000004
43,172,377,84,377,1,right,0.0925973653793335,0.28169918060302734,0.356094092130661,0.1229560524225235,0.14665329456329346,1.4841477870941162,7.0,337.0,0,2,392,0,0,0,300,300,1,0,0.0,300.0,0,,,False,0,False,not_reached,0.0,0.30000000000000004
44,176,384,79,384,1,right,0.0694027692079544,0.21937890350818634,0.48534920811653137,0.05478011071681976,0.17108899354934692,1.329969882965088,7.0,344.0,0,2,392,0,0,0,300,300,1,0,0.0,300.0,0,,,False,0,False,not_reached,0.0,0.30000000000000004
45,180,391,93,391,2,right+A,0.05138947069644928,0.15655535459518433,0.578450083732605,0.0260495375841856,0.18755556643009186,1.1684240102767944,6.0,350.0,0,2,391,0,0,0,300,300,1,0,0.0,300.0,0,,,False,0,False,not_reached,0.0,0.30000000000000004
46,184,398,109,398,2,right+A,0.03561592847108841,0.1114879846572876,0.6081950664520264,0.010187269188463688,0.23451371490955353,1.0526217222213745,7.0,357.0,0,2,391,0,0,0,300,300,1,0,0.0,300.0,0,,,False,0,False,not_reached,0.0,0.30000000000000004
47,188,405,121,405,0,NOOP,0.02914762683212757,0.08068685978651047,0.6177797913551331,0.00558318430557847,0.266802579164505,0.9851659536361694,7.0,364.0,0,2,391,0,0,0,300,300,1,0,0.0,300.0,0,,,False,0,False,not_reached,0.0,0.30000000000000004
48,192,412,125,412,2,right+A,0.04907314479351044,0.13717499375343323,0.5245274901390076,0.01381133496761322,0.27541297674179077,1.1731655597686768,7.0,371.0,0,2,391,0,0,0,300,300,1,0,0.0,300.0,0,,,False,0,False,not_reached,0.0,0.30000000000000004
49,196,419,119,419,0,NOOP,0.07850246131420135,0.21784333884716034,0.38314980268478394,0.04047464579343796,0.2800297737121582,1.385558843612671,7.0,378.0,0,2,391,0,0,0,300,300,1,0,0.0,300.0,0,,,False,0,False,not_reached,0.0,0.30000000000000004
50,200,426,105,426,2,right+A,0.10208212584257126,0.2993014454841614,0.2908199727535248,0.08948985487222672,0.21830670535564423,1.5014015436172485,6.0,384.0,0,2,390,0,0,0,300,300,1,0,0.0,300.0,0,,,False,0,False,not_reached,0.0,0.30000000000000004
51,204,433,85,433,1,right,0.10959632694721222,0.338513046503067,0.24112693965435028,0.15125519037246704,0.15950843691825867,1.5304653644561768,7.0,391.0,0,2,390,0,0,0,300,300,1,0,0.0,300.0,0,,,False,0,False,not_reached,0.0,0.30000000000000004
